id,prompt,k_kode,land,verdikjedeledd,pastand,type,status,niva,tall,enhet,data_aar,kilde_url,utgiver,publisert,lokator,sitat,kildetype,sikkerhet,kommentar,kildefil
R1-SE-002,R1,K2,Sverige,kommunale måltider,"235 kommuner besvarte beredskapsspørsmålet og 60 prosent oppga beredskapsplan for matforsyningen til skole, vård og omsorg.",tall,,,60,prosent,2021,https://www.riksdagen.se/sv/dokument-och-lagar/dokument/statens-offentliga-utredningar/livsmedelsberedskap-for-en-ny-tid_hcb38/html/,SOU 2024:8 / Sveriges riksdag,2024,Avsnitt om offentliga måltider,60 procent av de 235 kommuner som besvarat enkäten,primær,godt_dokumentert,SOU gjengir Livsmedelsverkets kartlegging.,R1-maltider.md
R1-SE-003,R1,K2,Sverige,kommunale måltider,"Livsmedelsverket beskriver beredskapsplanen som relevant for strømbrudd, drikkevannsproblemer og uteblitt råvareleveranse.",fakta,,,,,2021,https://www.livsmedelsverket.se/matvanor-halsa--miljo/maltider-i-vard-skola-och-omsorg/fakta-om-offentliga-maltider/fakta-kommunovergripande,Livsmedelsverket,senast granskad 2022-11-08,Avsnitt om beredskap,"elavbrott, dricksvattenproblem eller utebliven leverans av råvaror",primær,godt_dokumentert,"Resultatsiden gjengir innholdet, men ikke verifisert ordrett spørreskjemaformulering.",R1-maltider.md
R1-SE-004,R1,K2,Sverige,nasjonal indikator,NIL 2025 gjenbruker 2021-indikatoren; 60-prosenttallet er ikke en ny 2025-undersøkelse.,tolkning,,,60,prosent,2021,"Direkte NIL-dokument-URL ikke verifisert i dette søket; Jordbruksverket, 'Livsmedelsförsörjningen i siffror – Nyckeltal och indikatorer (NIL 2025)'",Jordbruksverket,2025-06-30,Indikator om offentliga måltider,Livsmedelsförsörjningen i siffror,primær,delvis,Tids- og metodekoblingen verifiseres mot Livsmedelsverket/SOU; direkte NIL-fil-URL er et dokumentasjonsgap.,R1-maltider.md
R1-SE-005,R1,K2,Sverige,offentlige måltider,Beredskapshåndboken er rettet primært mot ledere for måltidsorganisasjoner.,veileder,,,,,2022,https://www.livsmedelsverket.se/om-oss/publikationer/sok-publikationer/handbocker-och-verktyg/beredskapshandbok-for-offentliga-maltider?pub=show,Livsmedelsverket,2022; side senast granskad 2024-01-17,Publikasjonsbeskrivelse,vänder sig primärt till chefer för måltidsorganisationen,primær,godt_dokumentert,"84 sider, ISBN 978-91-7714-283-6.",R1-maltider.md
R1-SE-006,R1,K2,Sverige,offentlige måltider,Håndboken skal støtte både overordnet beredskapsplan og kontinuitetsplaner i hvert kjøkken.,veileder,,,,,2022,https://www.livsmedelsverket.se/om-oss/publikationer/sok-publikationer/handbocker-och-verktyg/beredskapshandbok-for-offentliga-maltider?pub=show,Livsmedelsverket,2022,Publikasjonsbeskrivelse,beredskapsplaner för hela måltidsverksamheten samt kontinuitetsplaner och andra dokument som behövs i varje kök,primær,godt_dokumentert,Direkte PDF: https://www.livsmedelsverket.se/globalassets/publikationsdatabas/handbocker-verktyg/beredskapshandbok-for-offentliga-maltider-2022/beredskapshandbok_for_offentliga_maltider_2022_webb.pdf,R1-maltider.md
R1-SE-007,R1,K1,Sverige,kommunale kjøkken,"I omtrent halvparten av kommunene hadde mer enn 80 prosent av måltidspersonalet storkjøkken-, kokke- eller tilsvarende utdanning.",tall,,,80,prosent,2021,https://www.livsmedelsverket.se/matvanor-halsa--miljo/maltider-i-vard-skola-och-omsorg/fakta-om-offentliga-maltider/fakta-kommunovergripande,Livsmedelsverket,senast granskad 2022-11-08,Avsnitt om kompetens,"mer än 80 procent av personalen storköksutbildning, kockutbildning eller liknande.",primær,godt_dokumentert,Omtrent halvparten av kommunene.,R1-maltider.md
R1-SE-008,R1,K1,Sverige,offentlige kjøkken,"Håndboken og tilhørende materiell behandler strøm, vann, personell, IT/kommunikasjon, utstyr/lokaler og matvarer som kritiske avhengigheter.",veileder,,,,,2022,https://www.livsmedelsverket.se/globalassets/publikationsdatabas/handbocker-verktyg/beredskapshandbok-for-offentliga-maltider-2022/beredskapshandbok_for_offentliga_maltider_2022_webb.pdf,Livsmedelsverket,2022,Kontinuitet/kritiska beroenden; side ikke teknisk verifisert,"Måltidskedjan är beroende av fungerande transporter, dricksvatten och strömförsörjning",primær,delvis,PDF kunne ikke gjengis fra Livsmedelsverkets server i verktøyet; triangulert mot myndighetsmateriale.,R1-maltider.md
R1-SE-009,R1,K1,Sverige,offentlige kjøkken,"MATtankens øvelsesmateriale bruker personell, matvarer, lokaler/utstyr, kommunikasjon/IT/tele og strøm som avhengigheter i måltidsberedskap.",veileder,,,,,2023,https://www.landsbygdsnatverket.se/mattanken/erfarenhetsbank/erfarenhetsbank/aktiviteterochovningarsomstarkerberedskapen.5.432589a718a87276a00f232b.html,MATtanken / Landsbygdsnätverket,2023–2024 prosjektperiode; side senere oppdatert,Övning 1,"Personal, livsmedel, lokaler och utrustning, kommunikation/IT/tele, el.",primær,godt_dokumentert,"Støttemateriale, ikke lov.",R1-maltider.md
R1-SE-010,R1,K1,Sverige,kommunale kjøkken,I gjennomsnitt var litt over halvparten av de kommunale kjøkkenene tilberedningskjøkken.,tall,,,,andel,2021,https://www.livsmedelsverket.se/matvanor-halsa--miljo/maltider-i-vard-skola-och-omsorg/fakta-om-offentliga-maltider/fakta-kommunovergripande,Livsmedelsverket,senast granskad 2022-11-08,Avsnitt om kökstyp,I genomsnitt är drygt hälften av de kommunala köken ett tillagningskök.,primær,godt_dokumentert,Nasjonal kommunekartlegging.,R1-maltider.md
R1-SE-011,R1,K1,Sverige,kommunale kjøkken,Livsmedelsverket oppgir økt fleksibilitet som fordel ved eget tilberedningskjøkken fremfor mottakskjøkken.,fakta,,,,,2021,https://www.livsmedelsverket.se/matvanor-halsa--miljo/maltider-i-vard-skola-och-omsorg/fakta-om-offentliga-maltider/fakta-kommunovergripande,Livsmedelsverket,senast granskad 2022-11-08,Avsnitt om kökstyp,Fördelen med eget tillagningskök istället för mottagningskök är ökad flexibilitet.,primær,godt_dokumentert,Kilden oppgir også høyere kompetansebehov i tilberedningskjøkken.,R1-maltider.md
R1-SE-012,R1,K1,Sverige,skole/sentralkjøkken,Skolverket peker på at skoler kan stå uten måltider dersom sentralkjøkkenet ikke kan forberede eller tilberede mat under strømbrudd.,veileder,,,,,2026,https://www.skolverket.se/larande-och-trygghet/trygghet-vardegrund-och-arbetsmiljo/beredskap/fore-krisen-forebygga/utbildning/ova-pa-olika-former-av-kriser,Skolverket,senast uppdaterad 2026-03-25,Scenario om uteblivna matleveranser,Om maten inte kan förberedas eller tillagas vid centralkök kan skolor komma att stå utan måltider.,primær,godt_dokumentert,Direkte kobling mellom sentral produksjonsavhengighet og bortfall.,R1-maltider.md
R1-SE-013,R1,K1,Sverige,skolekjøkken,Fågelbärets skole øvde uvarslet på strømbrudd og udrikkelig vann; kjøkkenet gikk fra varm til kald lunsj.,case,,,,,2026,https://www.sverigesradio.se/artikel/strommen-gick-sa-loste-rosemarie-skollunchen-kan-handa,Sveriges Radio P4 Kalmar,2026; eksakt dato ikke eksponert i tilgjengelig utdrag,Nyhetsartikkel,i stället för varm lunch fick personalen laga kall mat till eleverna.,sekundær,godt_dokumentert,"Øvelse, ikke reell hendelse.",R1-maltider.md
R1-SE-014,R1,K2,Sverige,anskaffede måltidstjenester,Private leverandører kan produsere i egne anlegg eller kjøkken ved institusjonene; beredskapskrav forekommer i anskaffelser.,fakta,,,,,2024,https://www.riksdagen.se/sv/dokument-och-lagar/dokument/statens-offentliga-utredningar/livsmedelsberedskap-for-en-ny-tid_hcb38/html/,SOU 2024:8 / Sveriges riksdag,2024,Kapittel om viktiga samhällsfunktioner/offentliga måltider,Det förekommer att krav ställs på leverantörerna att ha beredskap,primær,godt_dokumentert,"Kilden sier 'förekommer', ikke universelt krav.",R1-maltider.md
R1-DK-001,R1,K2,Danmark,kommunal og regional helse,Kommuner og regioner har ansvar for planlegging av sundhedsberedskabet og skal vedta plan én gang per valgperiode.,lov_eller_krav,,,1,plan per valgperiode,2023,https://www.retsinformation.dk/eli/retsinfo/2023/9484,Indenrigs- og Sundhedsministeriet / Sundhedsstyrelsen,VEJ nr 9484 af 25-05-2023; offentliggjort 17-06-2023,Avsnitt om ansvar og planlægning,Kommuner og regioner har ansvar for planlægning af sundhedsberedskabet,primær,godt_dokumentert,Generelt helseberedskapskrav.,R1-maltider.md
R1-DK-002,R1,K2,Danmark,sykehus,"Sykehusenes beredskapsplanlegging skal omfatte funksjonssvikt som strøm-, telefon-, vann- og IT-bortfall.",veileder,,,,,2023,https://www.retsinformation.dk/eli/retsinfo/2023/9484,Sundhedsstyrelsen,2023-05-25,Avsnitt om sygehusberedskab,"Herunder gælder håndtering af funktionssvigt – fx svigt af elektricitet, telefoni, vand og it.",primær,godt_dokumentert,Ikke kjøkkenspesifikt.,R1-maltider.md
R1-DK-003,R1,K2,Danmark,kommunal madservice,KL anbefaler at kommuner avklarer hvilket servicenivå som kan opprettholdes for borgere med kommunalt levert mat under langvarig strømbrudd.,veileder,,,,,2026,https://www.kl.dk/klima-og-erhverv/teknik-og-miljoe/beredskab-i-kommunerne/beredskabsplanlaegning/opmaerksomhedspunkter-til-beredskabsplanlaegning,KL,opdateret 2026-05-21,Længerevarende strømafbrydelse / madservice,"hvilket serviceniveau som de kan have for madservice til de borgere, som får leveret mad af kommunen",sekundær,godt_dokumentert,"KL er kommunenes organisasjon, ikke lovgiver.",R1-maltider.md
R1-DK-004,R1,K2,Danmark,offentlige måltider,Nasjonal måltidsspesifikk indikator for beredskapsplan/lager ble ikke funnet.,tolkning,,,,,2026,,Avgrenset kildesøk,2026-09-15,Søkelogg G,,primær,delvis,Fraværsfunn.,R1-maltider.md
R1-DK-005,R1,K2,Danmark,offentlige kjøkken,"Nasjonal fordeling mellom produksjonskjøkken, mottakskjøkken, sentralkjøkken og private kontrakter ble ikke funnet i sammenlignbar form.",tolkning,,,,,2026,,Avgrenset kildesøk,2026-09-15,Søkelogg G,,primær,delvis,Københavnermodellen er holdt utenfor som beredskapsbevis i tråd med avgrensningen.,R1-maltider.md
R1-DK-006,R1,K2,Danmark,offentlige måltider,Reell strøm/vann/IT/leveransehendelse med dokumentert offentlig måltidshåndtering ble ikke funnet etter kildekriteriene.,tolkning,,,,,2026,,Avgrenset kildesøk,2026-09-15,Søkelogg G,,primær,delvis,Ikke bevis for fravær av hendelser.,R1-maltider.md
R1-FI-001,R1,K2,Finland,sosial- og helsetjenester,Velferdsområdene skal bygge beredskap på planer og opprettholde beredskapen gjennom regelmessige øvelser og andre tiltak.,lov_eller_krav,,,,,2023,https://finlex.fi/fi/lainsaadanto/saadoskokoelma/2023/308,Valtioneuvosto / Finlex,2023-03-02; julkaistu 2023-03-08,1 §,Hyvinvointialueen tulee ylläpitää valmiuttaan säännöllisin harjoituksin ja muin toimenpitein.,primær,godt_dokumentert,Bindende forskrift.,R1-maltider.md
R1-FI-002,R1,K2,Finland,sosial- og helsetjenester,"Planene skal sikre tilstrekkelige personell-, lokale-, materiellressurser og støttetjenester.",lov_eller_krav,,,,,2023,https://finlex.fi/fi/lainsaadanto/saadoskokoelma/2023/308,Valtioneuvosto / Finlex,2023-03-02,1 §,"henkilöstö-, tila- ja materiaaliresurssien sekä tukipalveluiden toiminnan riittävyyden varmistamiseksi",primær,godt_dokumentert,Matservice kan inngå som støttetjeneste; forskriften nevner ikke kjøkken særskilt.,R1-maltider.md
R1-FI-003,R1,K2,Finland,private helseleverandører,Velferdsområdet skal kreve beredskaps- og kontinuitetsplanlegging fra private tjenesteytere.,lov_eller_krav,,,,,2023,https://finlex.fi/fi/lainsaadanto/saadoskokoelma/2023/308,Valtioneuvosto / Finlex,2023-03-02,4 §,suunnitelmaa valmiudesta ja jatkuvuudenhallinnasta,primær,godt_dokumentert,Relevant når matservice er kontraktsutsatt.,R1-maltider.md
R1-FI-004,R1,K2,Finland,food service,Food Services Pool ble etablert i Huoltovarmuusorganisaatio i 2024 for samarbeid om forsyningsberedskap og forebygging av kontinuitetskriser.,fakta,,,,,2024,https://www.huoltovarmuuskeskus.fi/a/ruokapalvelut-mukaan-huoltovarmuusorganisaatioon,Huoltovarmuuskeskus,2024-01-11,Ingress,Se tukee ruokapalvelutoimijoiden yhteistyötä huoltovarmuuden kehittämisessä,primær,godt_dokumentert,Etableringsmelding.,R1-maltider.md
R1-FI-005,R1,K2,Finland,food service,"Poolens oppgaver inkluderer forsyningsberedskapsplanlegging, veiledning og oppfølging av virksomheters beredskap samt register over kritiske virksomheter.",fakta,,,,,2026,https://www.mara.fi/toimiala/huoltovarmuus.html,Matkailu- ja Ravintolapalvelut MaRa ry,publiseringsdato ikke oppgitt; tilgjengelig 2026,Ruokapalvelupoolin tehtävät,toimialan yritysten varautumisen ohjaaminen ja seuranta,primær,godt_dokumentert,MaRa er poolens vertsorganisasjon.,R1-maltider.md
R1-FI-006,R1,K2,Finland,food service,Poolen støtter virksomheter som produserer lovpålagt matforsyning og tjenester/logistikk for samfunnskritiske aktører.,fakta,,,,,2026,https://www.huoltovarmuuskeskus.fi/toimialat/elintarvikehuolto/elintarvikehuoltosektori,Huoltovarmuuskeskus,publiseringsdato ikke oppgitt; tilgjengelig 2026,Ruokapalvelupooli,Ruokapalvelupooli varmistaa food service -toimialan jatkuvuuden vakavissa häiriötilanteissa.,primær,godt_dokumentert,Offisiell poolbeskrivelse.,R1-maltider.md
R1-FI-007,R1,K2,Finland,skole barnehage helse omsorg,"Regjeringens forsyningsberedskapsmål peker særskilt på matservice i skole, småbarnspedagogikk og sosial- og helsetjenester.",fakta,,,,,2024,https://finlex.fi/fi/laki/alkup/2024/20240568,Valtioneuvosto / Finlex,2024-10-24,Avsnitt om elintarvikehuolto/ruokapalvelut,Tärkeimpiä toimijoita tässä ovat koulujen ja varhaiskasvatuksen sekä sosiaali- ja terveydenhuollon yksiköiden ruokapalvelut,primær,godt_dokumentert,Nasjonalt forsyningsberedskapsmål.,R1-maltider.md
R1-FI-008,R1,K2,Finland,food service,Food Services Pool deltok i LVV26-bordøvelser om regional beredskap og hensyn til kommunale/velferdsområdenes mattjenester.,case,,,,,2026,https://www.linkedin.com/posts/virpikulomaa_lvv26-ruokapalvelupooli-activity-7460049830451613696-xYX5,Virpi Kulomaa / LinkedIn,2026,Innlegg om LVV26,Ruokapalvelupooli on ollut kevään aikana mukana ... LVV26 valtakunnallisen valmiusharjoituksen pöytäpeleissä.,sekundær,svakt,"Aktivitet dokumentert, men ikke formell øvelsesevaluering.",R1-maltider.md
R1-FI-009,R1,K2,Finland,offentlige måltider,Reell strøm/vann/IT/leveransehendelse med dokumentert offentlig måltidshåndtering ble ikke funnet etter kriteriene.,tolkning,,,,,2026,,Avgrenset kildesøk,2026-09-15,Søkelogg G,,primær,delvis,Fraværsfunn.,R1-maltider.md
R1-IS-001,R1,K2,Island,sivil beredskap,"Almannavarnir opererer med nasjonale, generelle og geografiske responseplaner.",fakta,,,,,2026,https://www.almannavarnir.is/forvarnir-og-fraedsla/vidbragdsaaetlanir/,Almannavarnir / Ríkislögreglustjóri,side opprinnelig publisert ca. 2016; tilgjengelig 2026,Viðbragðsáætlanir,Í almannavarnaskipulaginu eru þrjár tegundir viðbragðsáætlana,primær,godt_dokumentert,"Generelt, ikke måltidsspesifikt.",R1-maltider.md
R1-IS-002,R1,K2,Island,vannforsyning,Almannavarnir publiserer særskilt responseplan for Vestmannaeyjar ved brudd på vannledning.,fakta,,,,,2024,https://www.almannavarnir.is/utgefid-efni/,Almannavarnir / Ríkislögreglustjóri,tilgjengelig 2026,Viðbragðsáætlanir,Viðbragðsáætlun fyrir Vestmannaeyjar vegna rofs á vatnslögn,primær,godt_dokumentert,Relevant vannberedskap; ingen funnet kobling til måltidsproduksjon.,R1-maltider.md
R1-IS-003,R1,K2,Island,offentlige kjøkken,"Nasjonal kartlegging av produksjons-, mottaks- og sentralkjøkken eller outsourcing ble ikke funnet.",tolkning,,,,,2026,,Avgrenset kildesøk,2026-09-15,Søkelogg G,,primær,delvis,Fraværsfunn.,R1-maltider.md
R1-IS-004,R1,K2,Island,offentlige måltider,Måltidsspesifikk nasjonal beredskapsmåling eller dokumentert faktisk avbruddscase ble ikke funnet.,tolkning,,,,,2026,,Avgrenset kildesøk,2026-09-15,Søkelogg G,,primær,delvis,Fraværsfunn.,R1-maltider.md
R2-NORD-001,R2,OVELSE,Norden,hele matsystemet,"Nordic Food Alert ble gjennomført som en todagers krisesimulering/stress-test i Stockholm 8.–9. oktober 2024, ikke som operativ feltøvelse.",øvelse,,,2,dager,2024,https://pub.norden.org/temanord2025-528/chapter-1-project-overview.html,Nordisk ministerråd,12.03.2025,"kap. 1, prosjektoversikt","two-day crisis simulation workshop in Stockholm on October 8–9, 2024",arrangørens rapport,høy,Rapporten er ikke en uavhengig evaluering.,R2-ovelser.md
R2-NORD-002,R2,SCENARIO,Norden,fôr; gjødsel; jordbruk; fiskeri; havbruk; kjøtt; logistikk; handel,"Scenarioet utviklet en kaskadekrise over om lag 18 måneder med fôr-/fosfatmangel, svikt i fisk og svineproduksjon, cyber- og logistikkforstyrrelser og sosial uro.",øvelse,,,18,måneder,2025-2026,https://pub.norden.org/temanord2025-528/chapter-2-scenario-and-methodology.html,Nordisk ministerråd,12.03.2025,"kap. 2, Scenario Development og scenarioets tre deler",chain reaction of cascading impacts,arrangørens rapport,høy,Fiktivt scenario; ikke observerte hendelser.,R2-ovelser.md
R2-NORD-003,R2,DELTAKERE,Norden,hele matsystemet,"Deltakersurveyen hadde 21 svar: 11 offentlig sektor, 6 akademia/tredje sektor, 3 næringsliv og 1 annet; dette er ikke dokumentert som total deltakerfordeling.",fakta,,,21,surveyrespondenter,2024,https://pub.norden.org/temanord2025-528/annex-1-participant-survey-results.html,Nordisk ministerråd,12.03.2025,"Annex 1, respondentprofil",21 respondents,arrangørens deltakersurvey,høy,"Fordelingen gjelder respondentene, ikke nødvendigvis alle som var til stede.",R2-ovelser.md
R2-NORD-004,R2,ROLLE,Norden,styring og koordinering,"Rollespillet skulle eksponere ulike verdensbilder og interessekonflikter; rapporten beskriver samtidig kortsiktighet, siloer og bekreftelsesbias i første respons.",læringsrapport,,,,,2024,https://pub.norden.org/temanord2025-528/chapter-2-scenario-and-methodology.html,Nordisk ministerråd,12.03.2025,"kap. 2, Policy Simulation Roles og Run of show","short-term focus, decision silos, confirmation bias",arrangørens rapport,høy,"Beskrivelse av øvelsesdynamikk, ikke målt operativ ytelse.",R2-ovelser.md
R2-NORD-005,R2,INFO,Norden,styring; informasjon,"Øvelsen brukte videoer, nyheter, sosiale medier og appbaserte lobbyinnspill/avstemninger; respondentene beskrev kunnskapsutveksling som verdifull, men tidspress begrenset diskusjon.",læringsrapport,,,,,2024,https://pub.norden.org/temanord2025-528/annex-1-participant-survey-results.html,Nordisk ministerråd,12.03.2025,"Annex 1, samarbeid, format og læringsmekanismer",time constraints,arrangørens deltakersurvey,høy,"Tester informasjons- og meningsutveksling, ikke teknisk samband.",R2-ovelser.md
R2-NORD-006,R2,KOORD,Norden,hele matsystemet,Rapportens avsluttende læring fremhever systematisk stress-testing og samarbeid på tvers av sektorer og landegrenser; surveyen etterlyste flere verdikjede- og infrastruktursyn.,læringsrapport,,,,,2024,https://pub.norden.org/temanord2025-528/chapter-4-conclusions-and-next-steps.html,Nordisk ministerråd,12.03.2025,"kap. 4, Conclusions","enhanced stress-testing, cross-sector (and cross-border) collaboration",arrangørens rapport,høy,Normativ konklusjon fra arrangørrapporten.,R2-ovelser.md
R2-NORD-007,R2,OVELSE,Finland,svineproduksjon; slakteri; myndighet,"Potsi 2020 øvde afrikansk svinepest gjennom flere deløvelser, og Ruokavirasto viser til fire sluttrapporter med observasjoner/anbefalinger.",evaluering,,,4,sluttrapporter,2020,https://www.ruokavirasto.fi/elaimet/elainten-terveys-ja-elaintaudit/elaintautien-vastustaminen-ja-valvonta/elaintautivalmius/valmiusharjoitukset/,Ruokavirasto,oppdatert 05.01.2026,avsnitt Potsi 2020,Potsi 2020,myndighetsside og arrangørrapporter,høy,"Dette er myndighetens egne sluttrapporter, ikke uavhengig evaluering.",R2-ovelser.md
R2-NORD-008,R2,OVELSE,Finland,matindustri; handel; vann; drivstoff; logistikk; IKT,TIETO20 var en omfattende offentlig–privat cyberberedskapsøvelse som inkluderte matindustri og handel/distribusjon sammen med andre kritiske sektorer.,øvelse,,,,,2020-2021,https://www.huoltovarmuuskeskus.fi/a/tieto20-harjoitus-testaa-yhteistoimintaa-laajassa-kyberhairiotilanteessa,Huoltovarmuuskeskus,12.02.2020,hele kunngjøringen,TIETO20-harjoitus testaa yhteistoimintaa laajassa kyberhäiriötilanteessa,myndighetskilde,høy,Formell offentlig sluttevaluering ikke funnet i avgrenset søk.,R2-ovelser.md
R2-NORD-009,R2,OVELSE,Finland,hele matforsyningen; vann; energi; logistikk,TIETO26 ble lansert med matforsyning som hovedtema og mer enn 180 organisasjoner; den skal teste beslutningskjeder og avhengigheter på tvers av forsyningssektorer.,øvelse,,,180+,organisasjoner,2026,https://www.huoltovarmuuskeskus.fi/en/a/tieto26-exercise-strengthens-cooperation-in-case-of-emergencies-focus-on-food-supply,Huoltovarmuuskeskus,17.03.2026,hele kunngjøringen,TIETO26 exercise strengthens cooperation in case of emergencies – focus on food supply,myndighetskilde,høy,Pågående/planlagt hovedfase i 2026; ingen offentlig evaluering funnet ved 15.09.2026.,R2-ovelser.md
R2-NORD-010,R2,OVELSE,Norge,fjørfe; svin,"Alle Mattilsynets regioner gjennomførte i 2023 felt- og table-top-øvelser om fugleinfluensa og svinepest, også med eksterne aktører.",øvelse,,,,,2023,https://www.mattilsynet.no/om-mattilsynet/arsrapport-2023,Mattilsynet,"2024, eksakt dato ikke oppgitt i hentet HTML",Beredskap – Gjennomførte øvelser,Alle regionene har gjennomført både felt og table-top-øvelser med fokus på fugleinfluensa og svinepest,myndighetens årsrapport,høy,Separat offentlig evalueringsrapport ikke funnet.,R2-ovelser.md
