row_type,model,field,source_value,record_count,class_name,needs_action,reason
source_value,BusinessRelationship,source,BioMar,4,free_text,yes,Free-text source label needs manual taxonomy review
source_value,BusinessRelationship,source,Sjømatrådet,4,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,Estimat basert på ASKO-selskapene samlet,4,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Aftale om Groent Danmark,4,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,"Årsrapporter 2024, Konkurransetilsynet verdikjedestudie",4,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,DLF/HUI Research marknadsdata 2024,4,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,DST/Dansk Erhverv markedsdata 2024,4,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Evida Biogasstatus 2024,4,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Jordbruksverket Livsmedelskonsumtion av animalier 2024,4,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Konkurransetilsynet 2021,4,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Konkurransetilsynet 2022,4,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Konkurransetilsynet 2023,4,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Konkurransetilsynet 2024,4,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Konkurransetilsynet 2025,4,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,PTY/NielsenIQ 2023,4,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,PTY/NielsenIQ 2025,4,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,PTY/Päivittäistavarakauppa ry markkina-analyysi 2024,4,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,SSB Arealstatistikk,4,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Statistics Finland Energy supply and consumption 2024,4,free_text,yes,Free-text source label needs manual taxonomy review
source_value,Insight,source,Bronnoysund/offentligdata MCP,4,registry_label_without_locator,yes,"Registry/API label lacks URL, access date, or local snapshot path"
source_value,BusinessRelationship,source,Bransjeavtalen 2017-2030,3,free_text,yes,Free-text source label needs manual taxonomy review
source_value,BusinessRelationship,source,Matsentralen Årsrapport 2024,3,free_text,yes,Free-text source label needs manual taxonomy review
source_value,BusinessRelationship,source,TGTG Partnerliste 2024,3,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Konkurransetilsynet/bransjeanalyse,3,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Miljødirektoratet 2020,3,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Miljødirektoratet 2023,3,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Miljødirektoratet 2025 est.,3,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Samkeppniseftirlitið / Hagar markedsdata 2024,3,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,SSB/Landbruksdirektoratet markedsdata 2024,3,registry_label_without_locator,yes,"Registry/API label lacks URL, access date, or local snapshot path"
source_value,Insight,source,9. mars-motet,3,free_text,yes,Free-text source label needs manual taxonomy review
source_value,Insight,source,Forskningsrunde 2026-04-20 / Eiendomsmakt-rapport,3,free_text,yes,Free-text source label needs manual taxonomy review
source_value,Insight,source,Forskningsrunde 2026-04-20 / HORECA-analyse,3,free_text,yes,Free-text source label needs manual taxonomy review
source_value,Insight,source,"Forskningsrunde 2026-04-20 / Makt, fryktkultur og enforcement",3,free_text,yes,Free-text source label needs manual taxonomy review
source_value,Insight,source,Perplexity-research avhandlinger,3,free_text,yes,Free-text source label needs manual taxonomy review
source_value,Insight,source,Perplexity-research food access,3,free_text,yes,Free-text source label needs manual taxonomy review
source_value,Insight,source,Perplexity-research sirkulaert,3,free_text,yes,Free-text source label needs manual taxonomy review
source_value,BusinessRelationship,source,Årsrapport 2024,2,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,Regnskap 2024,2,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyOwnership,source,Brønnøysund,2,registry_label_without_locator,yes,"Registry/API label lacks URL, access date, or local snapshot path"
source_value,CountryMetric,source,Luke agri-food foreign trade partner refetch,2,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Naturvårdsverket 2023,2,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,NielsenIQ/Dagligvarehandelen,2,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,NielsenIQ/Dagligvarehandelen est.,2,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Nordic Nutrition Recommendations 2023,2,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,SCB ImpTotalKNAr partner refetch,2,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,SSB 08801 partner refetch,2,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,SSB/NIBIO Landskogtakseringen,2,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,SSB/Sjømatrådet,2,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,StatBank SITC2R4 partner refetch,2,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Statistics Iceland UTA06201 partner extract,2,free_text,yes,Free-text source label needs manual taxonomy review
source_value,Insight,source,Forskningsrunde 2026-04-20 / Alternative distribusjonskanaler,2,free_text,yes,Free-text source label needs manual taxonomy review
source_value,Insight,source,Forskningsrunde 2026-04-20 / Failed-entrants-rapport,2,free_text,yes,Free-text source label needs manual taxonomy review
source_value,Insight,source,Governance-arkitektur-analyse 2026,2,free_text,yes,Free-text source label needs manual taxonomy review
source_value,Insight,source,Kryssegment-analyse,2,free_text,yes,Free-text source label needs manual taxonomy review
source_value,Insight,source,Perplexity-research offentlige rapporter,2,free_text,yes,Free-text source label needs manual taxonomy review
source_value,Insight,source,Sirkularitet-research,2,free_text,yes,Free-text source label needs manual taxonomy review
source_value,Insight,source,Tenketanker/NGO,2,free_text,yes,Free-text source label needs manual taxonomy review
source_value,BusinessRelationship,source,BAMA,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,BusinessRelationship,source,BAMA/NorgesGruppen,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,BusinessRelationship,source,Felleskjøpet,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,BusinessRelationship,source,gartnerhallen.no,1,domain_only,yes,Bare domain or domain label without a source URL
source_value,BusinessRelationship,source,KFST beslutning 26. mars 2025,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,BusinessRelationship,source,KKV FCCA 2024 / PTY,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,BusinessRelationship,source,Konkurrensverket Rapport 2024:5,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,BusinessRelationship,source,Lantmannen.com,1,domain_only,yes,Bare domain or domain label without a source URL
source_value,BusinessRelationship,source,mn24.no,1,domain_only,yes,Bare domain or domain label without a source URL
source_value,BusinessRelationship,source,Mowi Industry Handbook,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,BusinessRelationship,source,Nofima Prosjektoversikt,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,BusinessRelationship,source,NorgesGruppen/Dagrofa samarbeidsavtale,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,BusinessRelationship,source,Norsk Kylling/Reitan,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,BusinessRelationship,source,Reitan årsrapport,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,BusinessRelationship,source,Reitan Retail Årsrapport 2024,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Årsrapport 2020 (EUR 3 760M, kurs ~10.7)",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Årsrapport 2020 (USD 11.6B, kurs ~9.4)",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Årsrapport 2021 (EUR 4 630M, kurs ~10.2)",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Årsrapport 2021 (USD 16.6B, kurs ~8.6)",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Årsrapport 2022 (EUR 5 478M, kurs ~10.1)",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Årsrapport 2022 (USD 24.1B, kurs ~9.6)",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Årsrapport 2023 (EUR 5 500M, kurs ~11.4)",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Årsrapport 2023 (USD 15.6B, kurs ~10.5)",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Årsrapport 2024 (EUR 5 599M, kurs ~11.4)",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Årsrapport 2024 (USD 13.9B, kurs ~10.7)",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,Årsresultat 2024,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,Austevoll Seafood Årsrapport 2022,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,Austevoll Seafood Årsrapport 2023,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,Austevoll Seafood Årsrapport 2024,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Axfood Årsredovisning 2020. SEK 53.5B, 1 SEK ≈ 0.97 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Axfood Årsredovisning 2021. SEK 55.8B, 1 SEK ≈ 0.97 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Axfood Årsredovisning 2022. SEK 63.0B, 1 SEK ≈ 0.98 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Axfood Årsredovisning 2023. SEK 67.4B, 1 SEK ≈ 1.00 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Axfood Year-End Report 2024. SEK 84.1B, 1 SEK ≈ 1.00 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Coop Danmark Årsrapport 2020. DKK 38B, 1 DKK ≈ 1.42 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Coop Danmark Årsrapport 2021. DKK 39B, 1 DKK ≈ 1.43 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Coop Danmark Årsrapport 2022. DKK 41B, 1 DKK ≈ 1.48 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Coop Danmark Årsrapport 2023. DKK 32B, 1 DKK ≈ 1.54 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Coop Danmark Årsrapport 2024. DKK 33.6B, 1 DKK ≈ 1.55 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Coop Sverige/KF Årsredovisning 2020. SEK 38.5B, 1 SEK ≈ 0.97 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Coop Sverige/KF Årsredovisning 2021. SEK 39.2B, 1 SEK ≈ 0.97 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Coop Sverige/KF Årsredovisning 2022. SEK 40.8B, 1 SEK ≈ 0.98 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Coop Sverige/KF Årsredovisning 2023. SEK 42.5B, 1 SEK ≈ 1.00 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Coop Sverige/KF Årsredovisning 2024. ~SEK 48.3B (combined coops), 1 SEK ≈ 1.00 NOK. SEK 2.7B operating loss.",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Dagrofa Årsrapport 2020. DKK 14B, 1 DKK ≈ 1.42 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Dagrofa Årsrapport 2021. DKK 15B, 1 DKK ≈ 1.43 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Dagrofa Årsrapport 2022. DKK 16B, 1 DKK ≈ 1.48 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Dagrofa Årsrapport 2023. DKK 17B, 1 DKK ≈ 1.54 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Dagrofa Corporate Presentation 2024. DKK ~20B, 1 DKK ≈ 1.55 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat basert på markedsandel ~30%. ISK ~42.5B, 1 ISK ≈ 0.08 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat basert på Reitan Retail årsrapport + markedsandel 14%. DKK ~26B, 1 DKK ≈ 1.55 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. ~SEK 3.9B, 1 SEK ≈ 0.97 NOK. Markedsandel ~4.5%",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. ~SEK 4.2B, 1 SEK ≈ 0.97 NOK. Markedsandel ~4.8%",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. ~SEK 4.9B, 1 SEK ≈ 0.98 NOK. Markedsandel ~5.2%",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. ~SEK 5.3B, 1 SEK ≈ 1.00 NOK. Markedsandel ~5.8%",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. ~SEK 5.9B (USD 555M), 1 SEK ≈ 1.00 NOK. Schwarz Group annual report.",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. DKK 20B, 1 DKK ≈ 1.42 NOK. Markedsandel ~12%",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. DKK 22B, 1 DKK ≈ 1.43 NOK. Markedsandel ~13%",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. DKK 24B, 1 DKK ≈ 1.48 NOK. Markedsandel ~14%",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. DKK 25B, 1 DKK ≈ 1.54 NOK. Markedsandel ~14%",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. EUR ~1.6B, 1 EUR ≈ 10.7 NOK. Markedsandel ~8%",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. EUR ~1.7B, 1 EUR ≈ 10.2 NOK. Markedsandel ~8.5%",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. EUR ~1.99B, 1 EUR ≈ 11.5 NOK. Statista/Lidl Finland.",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. EUR ~1.9B, 1 EUR ≈ 10.1 NOK. Markedsandel ~9%",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. EUR ~1.9B, 1 EUR ≈ 11.4 NOK. Markedsandel ~9.2%",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. ISK ~40B, 1 ISK ≈ 0.070 NOK. Markedsandel ~28%",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. ISK ~42B, 1 ISK ≈ 0.072 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. ISK ~42B, 1 ISK ≈ 0.077 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. ISK ~48B, 1 ISK ≈ 0.073 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. ISK ~50B, 1 ISK ≈ 0.070 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. ISK ~53B, 1 ISK ≈ 0.072 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. ISK ~59B, 1 ISK ≈ 0.073 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. ISK ~60B (inkl. Lyfja fra juli 2024), 1 ISK ≈ 0.08 NOK. Festi Q4 2024.",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Estimat. ISK ~65B, 1 ISK ≈ 0.077 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"ICA Gruppen Årsrapport 2020. SEK 121.7B, 1 SEK ≈ 0.97 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"ICA Gruppen Årsrapport 2021. SEK 125.8B, 1 SEK ≈ 0.97 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"ICA Gruppen Årsrapport 2022. SEK 137.8B, 1 SEK ≈ 0.98 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"ICA Gruppen Årsrapport 2023. SEK 142.7B, 1 SEK ≈ 1.00 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"ICA Gruppen Årsrapport 2024. SEK 157.2B, 1 SEK ≈ 1.00 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Kesko Annual Report 2024. EUR 11.92B, 1 EUR ≈ 11.5 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Kesko vuosikertomus 2020. EUR 10.7B, 1 EUR ≈ 10.7 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Kesko vuosikertomus 2021. EUR 11.3B, 1 EUR ≈ 10.2 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Kesko vuosikertomus 2022. EUR 12.1B, 1 EUR ≈ 10.1 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Kesko vuosikertomus 2023. EUR 11.4B, 1 EUR ≈ 11.4 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,Nofima Årsrapport 2020,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,Nofima Årsrapport 2021,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,Nofima Årsrapport 2022,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,Nofima Årsrapport 2023,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,Proff.no 2023,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,Proff.no 2024,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Salling Group Annual Report 2024. DKK 72.2B, 1 DKK ≈ 1.55 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Salling Group Årsrapport 2020. DKK 58B, 1 DKK ≈ 1.42 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Salling Group Årsrapport 2021. DKK 60B, 1 DKK ≈ 1.43 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Salling Group Årsrapport 2022. DKK 66B, 1 DKK ≈ 1.48 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"Salling Group Årsrapport 2023. DKK 70B, 1 DKK ≈ 1.54 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"SOK Financial Statements Bulletin 2024. EUR 14.3B (retail sales), 1 EUR ≈ 11.5 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"SOK tilinpäätös 2020. EUR 12.3B, 1 EUR ≈ 10.7 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"SOK tilinpäätös 2021. EUR 13.1B, 1 EUR ≈ 10.2 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"SOK tilinpäätös 2022. EUR 13.7B, 1 EUR ≈ 10.1 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,"SOK tilinpäätös 2023. EUR 14.3B, 1 EUR ≈ 11.4 NOK",1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyOwnership,source,Austevoll Seafood årsrapport 2024,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyOwnership,source,Axfood Pressrelease 2024-10-29,1,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyOwnership,source,Brønnøysund/Årsrapport,1,registry_label_without_locator,yes,"Registry/API label lacks URL, access date, or local snapshot path"
source_value,CompanyOwnership,source,Mowi Borsmeld. jan 2025 / GlobeNewswire,1,free_text,yes,Free-text source label needs manual taxonomy review
