id,slug,title,filePath,contentLength,pattern,action,rationale
cmq8rsni70011ekvmnamdezrv,external-mdpi-2071-1050-13-11-6231-turku-circular-food,Managing a Circular Food System in Sustainable Urban Farming. Experimental Research at the Turku University Campus (Finland),external/mdpi-2071-1050-13-11-6231-turku-circular-food.pdf,632,external,null_filepath,"content preserved (632 chars), filePath broken — null filePath, keep DB record"
cmq8rsni50010ekvmnsgx0e5v,external-prop-33-l-2019-2020,Prop. 33 L (2019-2020) Lov om god handelsskikk,external/prop-33-l-2019-2020.pdf,569,external,null_filepath,"content preserved (569 chars), filePath broken — null filePath, keep DB record"
cmp8xypxx00nvvvvmwdn9zzu3,external/notion/funding-map,Funding Map,external/notion/funding-map.md,5453,external,add_research_prefix,file exists at research/external/notion/funding-map.md — filePath missing 'research/' prefix
cmq8rsnif0016ekvmmrf87rct,external-kfst-ok-coop-afgoerelse-2024-06-26,OK a.m.b.a. erhvervelse af Coop Danmark A/S,external/kfst-ok-coop-afgoerelse-2024-06-26.md,768,external,null_filepath,"content preserved (768 chars), filePath broken — null filePath, keep DB record"
cmq8rsnih0017ekvm9fs87cg8,external-nesa-food-water-2030-programme,Food and Water 2030 Programme,external/nesa-food-water-2030-programme.md,940,external,null_filepath,"content preserved (940 chars), filePath broken — null filePath, keep DB record"
cmp8xyptq00nevvvmqiyzn45u,external/barekraft/sec-mat-prod-03-bla-bio-konomi-teknisk-detalj,SEC-MAT-PROD-03: Blå Bioøkonomi – Teknisk Detalj (Teknisk Dypdykk),external/barekraft/SEC-MAT-PROD-03-Blå-Bioøkonomi-Teknisk-Detalj.md,5034,external,add_research_prefix,file exists at research/external/barekraft/SEC-MAT-PROD-03-Blå-Bioøkonomi-Teknisk-Detalj.md — filePath missing 'research/' prefix
cmp8xypt300navvvmpx5dbh99,external/barekraft/sec-mat-03-emballasje-og-ppwr,SEC-MAT-03: Emballasje og PPWR i Matsektoren,external/barekraft/SEC-MAT-03-Emballasje-og-PPWR.md,2550,external,add_research_prefix,file exists at research/external/barekraft/SEC-MAT-03-Emballasje-og-PPWR.md — filePath missing 'research/' prefix
cmp8xypt600nbvvvm1chbcnw2,external/barekraft/sec-mat-kost-01-nordisk-kosthold-og-beredskap,SEC-MAT-KOST-01: Nordisk Kosthold og Beredskap,external/barekraft/SEC-MAT-KOST-01-Nordisk-Kosthold-og-Beredskap.md,2654,external,add_research_prefix,file exists at research/external/barekraft/SEC-MAT-KOST-01-Nordisk-Kosthold-og-Beredskap.md — filePath missing 'research/' prefix
cmp8xyptj00ncvvvmsnampja3,external/barekraft/sec-mat-prod-01-nordisk-havbruk-og-for,SEC-MAT-PROD-01: Nordisk Havbruk og Fôr-revolusjonen,external/barekraft/SEC-MAT-PROD-01-Nordisk-Havbruk-og-For.md,2585,external,add_research_prefix,file exists at research/external/barekraft/SEC-MAT-PROD-01-Nordisk-Havbruk-og-For.md — filePath missing 'research/' prefix
cmp8xypue00nfvvvmuusz4cir,external/barekraft/sec-mat-reg-01-matsvinn-detaljert-lovverk,SEC-MAT-REG-01: Matsvinn – Detaljert Lovverk (Norge & EU),external/barekraft/SEC-MAT-REG-01-Matsvinn-Detaljert-Lovverk.md,5441,external,add_research_prefix,file exists at research/external/barekraft/SEC-MAT-REG-01-Matsvinn-Detaljert-Lovverk.md — filePath missing 'research/' prefix
cmp8xypui00ngvvvmzlogi2wd,external/barekraft/sec-mat-reg-02-emballasje-i-matsektoren-detalj,SEC-MAT-REG-02: Emballasje i Matsektoren – Teknisk Mapping (PPWR),external/barekraft/SEC-MAT-REG-02-Emballasje-i-Matsektoren-Detalj.md,5470,external,add_research_prefix,file exists at research/external/barekraft/SEC-MAT-REG-02-Emballasje-i-Matsektoren-Detalj.md — filePath missing 'research/' prefix
cmp8xypup00nivvvmk8f73fu5,external/barekraft/sec-mat-tek-01-fremtidens-matteknologi,SEC-MAT-TEK-01: Fremtidens Matteknologi i Norden,external/barekraft/SEC-MAT-TEK-01-Fremtidens-Matteknologi.md,2559,external,add_research_prefix,file exists at research/external/barekraft/SEC-MAT-TEK-01-Fremtidens-Matteknologi.md — filePath missing 'research/' prefix
cmp8xypt000n9vvvmhatjj1w3,external/barekraft/sec-mat-02-sirkulaere-prosesser-og-biooekonomi,SEC-MAT-02: Sirkulære Prosesser og Bioøkonomi,external/barekraft/SEC-MAT-02-Sirkulaere-Prosesser-og-Biooekonomi.md,2591,external,add_research_prefix,file exists at research/external/barekraft/SEC-MAT-02-Sirkulaere-Prosesser-og-Biooekonomi.md — filePath missing 'research/' prefix
cmp8xypvr00novvvmjbp3xjaq,external/fjls-cooperation-programme-2025-2030,"Nordic Co-operation Programme for Fisheries, Aquaculture, Agriculture, Food and Forestry 2025-2030",external/fjls-cooperation-programme-2025-2030.md,1369,external,add_research_prefix,file exists at research/external/fjls-cooperation-programme-2025-2030.md — filePath missing 'research/' prefix
cmp8xypvy00npvvvmq512iyyd,external/nch-contract/contract-201-2503-p25013,Contract — Nordic Circular Hotspot transition groups 2025-2026,external/nch-contract/contract-201-2503-P25013.md,7521,external,add_research_prefix,file exists at research/external/nch-contract/contract-201-2503-P25013.md — filePath missing 'research/' prefix
cmp8xypv500nlvvvmfwl8c9zs,external/coffee-forest/sources,Fuglen Docs - Source Map,external/coffee-forest/SOURCES.md,2420,external,add_research_prefix,file exists at research/external/coffee-forest/SOURCES.md — filePath missing 'research/' prefix
cmp8xypvl00nnvvvmt2zqtlzf,external/coffee-forest/research_review_eudr,Research Review: EUDR Compliance & Technical Feasibility for Fuglen Coffee,external/coffee-forest/research_review_eudr.md,2694,external,add_research_prefix,file exists at research/external/coffee-forest/research_review_eudr.md — filePath missing 'research/' prefix
cmp8xypy700nxvvvmgpk12jw8,external/notion/nordic-house-mote,Nordic House møte,external/notion/nordic-house-mote.md,5053,external,add_research_prefix,file exists at research/external/notion/nordic-house-mote.md — filePath missing 'research/' prefix
cmp8xypuu00njvvvmi2ukrfz9,external/barekraft/sec-mat-tek-02-biotech-og-fremtidens-proteiner-detalj,SEC-MAT-TEK-02: Biotech og Fremtidens Proteiner – Teknisk Fordypning,external/barekraft/SEC-MAT-TEK-02-Biotech-og-Fremtidens-Proteiner-Detalj.md,5328,external,add_research_prefix,file exists at research/external/barekraft/SEC-MAT-TEK-02-Biotech-og-Fremtidens-Proteiner-Detalj.md — filePath missing 'research/' prefix
cmpcc64ra00nujmvmkcygdgxm,external/circular-cities/19-nordic-added-value,Nordic Added Value: The Case for a Nordic Circular City Approach,external/circular-cities/19-nordic-added-value.md,43158,external,add_research_prefix,file exists at research/external/circular-cities/19-nordic-added-value.md — filePath missing 'research/' prefix
cmp8xypw200nqvvvmn7w54v8h,external/ni-soknad/soknad-ncc-fase-2,Nordic Ecosystem for Circular Construction (NECC),external/ni-soknad/soknad-ncc-fase-2.md,7511,external,add_research_prefix,file exists at research/external/ni-soknad/soknad-ncc-fase-2.md — filePath missing 'research/' prefix
cmp8xypy400nwvvvmooumrn3s,external/notion/nch-hovedside,Nordic circular hotspot,external/notion/nch-hovedside.md,2201,external,add_research_prefix,file exists at research/external/notion/nch-hovedside.md — filePath missing 'research/' prefix
cmp8xypx800nuvvvmgq1r6paq,external/notion/biosirkel,Biosirkel,external/notion/biosirkel.md,527,external,add_research_prefix,file exists at research/external/notion/biosirkel.md — filePath missing 'research/' prefix
cmp8xypum00nhvvvmpgfa6g17,external/barekraft/sec-mat-reg-03-danmark-co2-avgift-landbruk,SEC-MAT-REG-03: Danmark CO2-Avgift på Biologiske Prosesser (Landbruk),external/barekraft/SEC-MAT-REG-03-Danmark-CO2-Avgift-Landbruk.md,4557,external,add_research_prefix,file exists at research/external/barekraft/SEC-MAT-REG-03-Danmark-CO2-Avgift-Landbruk.md — filePath missing 'research/' prefix
cmpcc64qm00nsjmvma2ff0vbv,external/circular-cities/07-horizon-europe-call-analysis,Horizon Europe Call Analysis: Circular Cities,external/circular-cities/07-horizon-europe-call-analysis.md,26359,external,add_research_prefix,file exists at research/external/circular-cities/07-horizon-europe-call-analysis.md — filePath missing 'research/' prefix
cmpcc64qw00ntjmvmay6yn7i5,external/circular-cities/15-nordic-policy-landscape,Nordic Circular City Policy Landscape,external/circular-cities/15-nordic-policy-landscape.md,45166,external,add_research_prefix,file exists at research/external/circular-cities/15-nordic-policy-landscape.md — filePath missing 'research/' prefix
cmp8xypze00o0vvvmz1k9m9p7,external/vision-2030-indicators,Nordic Indicators for Our Vision 2030,external/vision-2030-indicators.md,1276,external,add_research_prefix,file exists at research/external/vision-2030-indicators.md — filePath missing 'research/' prefix
cmp8xypwy00nsvvvmp769ydg5,external/nordic-food-ma-2020-2025,Nordic Food System M&A Activity 2020-2025,external/nordic-food-ma-2020-2025.md,8398,external,add_research_prefix,file exists at research/external/nordic-food-ma-2020-2025.md — filePath missing 'research/' prefix
cmp8xypz600nzvvvmh621cd5v,external/vision-2030-declaration,Our Vision 2030,external/vision-2030-declaration.md,1271,external,add_research_prefix,file exists at research/external/vision-2030-declaration.md — filePath missing 'research/' prefix
cmp8xypuz00nkvvvmal88xqku,external/circular-cities/sa-02-mat-og-biomasse,A2. Mat og biomasse (Food & Biomass),external/circular-cities/SA-02-mat-og-biomasse.md,27006,external,add_research_prefix,file exists at research/external/circular-cities/SA-02-mat-og-biomasse.md — filePath missing 'research/' prefix
cmpboyhc600nw3ovmk23qtn3z,external/nch-methodology/jt-tg-methodology-bch-tallin-2026-05-06,Untitled,external/nch-methodology/jt-tg-methodology-bch-tallin-2026-05-06.md,7703,external,add_research_prefix,file exists at research/external/nch-methodology/jt-tg-methodology-bch-tallin-2026-05-06.md — filePath missing 'research/' prefix
cmp8xypzm00o1vvvmgn7mjq8h,external/vision-2030-status-report-2023,The Nordic Region - a sustainable and integrated region? Our Vision 2030 Status Report 2023,external/vision-2030-status-report-2023.md,1250,external,add_research_prefix,file exists at research/external/vision-2030-status-report-2023.md — filePath missing 'research/' prefix
cmp8xypx200ntvvvmkvtxx1yv,external/notion/biosirkel-studietur-zero-waste-scotland,Biosirkel studietur-møte zero waste scotland,external/notion/biosirkel-studietur-zero-waste-scotland.md,3223,external,add_research_prefix,file exists at research/external/notion/biosirkel-studietur-zero-waste-scotland.md — filePath missing 'research/' prefix
cmp8xypva00nmvvvmr3awig1l,external/coffee-forest/prd,Coffee & Forest (EUDR Compliance Platform) PRD,external/coffee-forest/prd.md,6989,external,add_research_prefix,file exists at research/external/coffee-forest/prd.md — filePath missing 'research/' prefix
cmp8xypw900nrvvvm2m9gjm2w,external/nmr-vision-2030,Nordic Bioeconomy Programme: 15 Action Points for Sustainable Change,external/nmr-vision-2030.md,2711,external,add_research_prefix,file exists at research/external/nmr-vision-2030.md — filePath missing 'research/' prefix
cmp8xypyw00nyvvvmipioweko,external/vision-2030-action-plan,Action Plan for Vision 2030,external/vision-2030-action-plan.md,1116,external,add_research_prefix,file exists at research/external/vision-2030-action-plan.md — filePath missing 'research/' prefix
cmq8rsnhg000jekvmfcai7mrs,external-cdrc-priority-places,CDRC Priority Places for Food Index v2.1,external/cdrc-priority-places.md,450,external,null_filepath,"content preserved (450 chars), filePath broken — null filePath, keep DB record"
cmq8rsnhi000kekvm8th1u208,external-oecd-flw-2025,Beyond FLW Reduction Targets: Measuring and Valuing Food Loss and Waste,external/oecd-flw-2025.md,432,external,null_filepath,"content preserved (432 chars), filePath broken — null filePath, keep DB record"
cmq8rsnhj000lekvm5l5vhigm,external-greenpeace-feeding-monster-2021,Feeding a Monster: Vest-afrikansk fiskemel i norsk laksefor,external/greenpeace-feeding-monster-2021.md,500,external,null_filepath,"content preserved (500 chars), filePath broken — null filePath, keep DB record"
cmq8rsnhl000mekvmou6qjq2j,external-etmv-toimintakertomus-2024,Elintarvikemarkkinavaltuutettu toimintakertomus 2024,external/etmv-toimintakertomus-2024.pdf,556,external,null_filepath,"content preserved (556 chars), filePath broken — null filePath, keep DB record"
cmq8rsng10000ekvmcoahov5a,external-nhh-food-steen-2024,NHH FOOD: Prof. Frode Steen markedsanalyse april 2024,external/nhh-food-steen-2024.md,525,external,null_filepath,"content preserved (525 chars), filePath broken — null filePath, keep DB record"
cmq8rsngb0001ekvmel13gspy,external-feedback-blue-empire-2024,Blue Empire: Matsikkerhetskonflikt norsk laksefor og Vest-Afrika,external/feedback-blue-empire-2024.md,564,external,null_filepath,"content preserved (564 chars), filePath broken — null filePath, keep DB record"
cmq8rsnge0002ekvmhgvjcqa0,external-eat-lancet-2025,EAT-Lancet Commission 2.0: Food in the Anthropocene,external/eat-lancet-2025.md,490,external,null_filepath,"content preserved (490 chars), filePath broken — null filePath, keep DB record"
cmq8rsngg0003ekvm021q5h2q,external-jrc-spp-2025,JRC SPP 2025: Green Public Procurement Criteria for Food and Catering,external/jrc-spp-2025.md,536,external,null_filepath,"content preserved (536 chars), filePath broken — null filePath, keep DB record"
cmq8rsngj0004ekvm0gqy3kj3,external-ravareloeftet-2024,Raavareloeftet 2.0 (Bellona + Sjoemat Norge + forselskaper),external/ravareloeftet-2024.md,468,external,null_filepath,"content preserved (468 chars), filePath broken — null filePath, keep DB record"
cmq8rsngk0005ekvmnars2t75,external-skretting-sustainability-2024,Skretting Sustainability Report 2024: MicroBalance FLX,external/skretting-sustainability-2024.md,485,external,null_filepath,"content preserved (485 chars), filePath broken — null filePath, keep DB record"
cmq8rsngm0006ekvmkd4mqbwl,external-statistics-finland-hbs-2012,Statistics Finland HBS 2012: Butikkavstand,external/statistics-finland-hbs-2012.md,465,external,null_filepath,"content preserved (465 chars), filePath broken — null filePath, keep DB record"
cmq8rsngp0007ekvmv07uqzln,external-ecr-dagligvarukartan-2024,ECR Dagligvarukartan 2024/2025,external/ecr-dagligvarukartan-2024.md,444,external,null_filepath,"content preserved (444 chars), filePath broken — null filePath, keep DB record"
cmq8rsngr0008ekvm3vofyt3r,external-nordicfeed-nordforsk,NordicFeed EUR 10M NordForsk-prosjekt: Gjaer/soppprotein,external/nordicfeed-nordforsk.md,473,external,null_filepath,"content preserved (473 chars), filePath broken — null filePath, keep DB record"
cmq8rsngu0009ekvmpotbo2tc,external-prop-4-l-2025-2026,Prop. 4 L (2025-2026) Endringer i lov om god handelsskikk,external/prop-4-l-2025-2026.pdf,553,external,null_filepath,"content preserved (553 chars), filePath broken — null filePath, keep DB record"
cmq8rsngw000aekvmrju25aav,external-press-id3101561-2025,Regjeringen pressemelding id3101561 - konkurransepakke dagligvare (19. mai 2025),external/press-id3101561-2025.pdf,497,external,null_filepath,"content preserved (497 chars), filePath broken — null filePath, keep DB record"
cmq8rsngz000bekvmmhi6uxmd,external-cheffelo-q4-2025,Cheffelo Q4 2025 investor release,external/cheffelo-q4-2025.pdf,470,external,null_filepath,"content preserved (470 chars), filePath broken — null filePath, keep DB record"
cmq8rsnh0000cekvmtv7zt12q,external-motiva-responsible-food-procurement-2026,Motiva - Guide for Responsible Procurement of Food (januar 2026),external/motiva-responsible-food-procurement-2026.pdf,478,external,null_filepath,"content preserved (478 chars), filePath broken — null filePath, keep DB record"
cmq8rsnh3000dekvm84mp4w9g,external-mst-denmark-food-waste-978-87-93529-80-9-2017,Food waste prevention in Denmark — LCA-based scenario analysis,external/mst-denmark-food-waste-978-87-93529-80-9-2017.pdf,651,external,null_filepath,"content preserved (651 chars), filePath broken — null filePath, keep DB record"
cmq8rsnhm000nekvmcsoth0p2,external-meld-st-25-2024-2025-sirkular,Meld. St. 25 (2024-2025) Handlingsplan for sirkulaer oekonomi,external/meld-st-25-2024-2025-sirkular.pdf,507,external,null_filepath,"content preserved (507 chars), filePath broken — null filePath, keep DB record"
cmq8rsnho000oekvmzfqx4jwz,external-nkj-white-paper-2024,NKJ White Paper: Nordic Sustainable Food Systems — 12 intervensjonspunkter,external/nkj-white-paper-2024.md,581,external,null_filepath,"content preserved (581 chars), filePath broken — null filePath, keep DB record"
cmq8rsnhq000pekvms91bau2o,external-halseth-nhh-2023,Lokal HHI i norsk dagligvare: median 1.0 paa postnummernivaet,external/halseth-nhh-2023.md,520,external,null_filepath,"content preserved (520 chars), filePath broken — null filePath, keep DB record"
cmq8rsnhr000qekvmzurbh35d,external-konkurrensverket-2024-4,Naermaste konkurrent-analys: 290 kommuner,external/konkurrensverket-2024-4.md,462,external,null_filepath,"content preserved (462 chars), filePath broken — null filePath, keep DB record"
cmq8rsnht000rekvm1vipzxyt,external-usda-gain-iceland-exporter-guide-2023,USDA GAIN Iceland Exporter Guide,external/usda-gain-iceland-exporter-guide-2023.md,638,external,null_filepath,"content preserved (638 chars), filePath broken — null filePath, keep DB record"
cmq8rsnhu000sekvmh125najl,external-konkurrensverket-2025-5-livsmedel,Konkurrensverket rapport 2025:5 - livsmedelsutredningen,external/konkurrensverket-2025-5-livsmedel.pdf,495,external,null_filepath,"content preserved (495 chars), filePath broken — null filePath, keep DB record"
cmq8rsnhv000tekvm8plly1pt,external-kfst-evaluering-foedevarehandelsloven-2024,KFST Evaluering af foedevarehandelsloven 2024,external/kfst-evaluering-foedevarehandelsloven-2024.pdf,489,external,null_filepath,"content preserved (489 chars), filePath broken — null filePath, keep DB record"
cmq8rsnhx000uekvmm4xj8e8i,external-slu-eriksson-food-chain-sustainability-2016,Food chain sustainability in Sweden,external/slu-eriksson-food-chain-sustainability-2016.pdf,612,external,null_filepath,"content preserved (612 chars), filePath broken — null filePath, keep DB record"
cmq8rsnhy000vekvmzikj43kz,external-nordic-council-low-carbon-circular-transition-2022,Low-carbon circular transition in the Nordics — predictive management and digital platforms,external/nordic-council-low-carbon-circular-transition-2022.pdf,651,external,null_filepath,"content preserved (651 chars), filePath broken — null filePath, keep DB record"
cmq8rsni80012ekvm9hkzcwj0,external-slu-karimi-filamentous-fungi-vinasse-2019,Evaluation of Filamentous Fungal Biomass Cultivated on Vinasse as an Alternative Nutrient Source of Fish Feed,external/slu-karimi-filamentous-fungi-vinasse-2019.pdf,892,external,null_filepath,"content preserved (892 chars), filePath broken — null filePath, keep DB record"
cmq8rsnia0013ekvmknxpw8un,external-frontiers-phosphorus-aquaculture-norway-2023,Circular economy for aquatic food systems: insights from a multiscale phosphorus flow analysis in Norway,external/frontiers-phosphorus-aquaculture-norway-2023.pdf,729,external,null_filepath,"content preserved (729 chars), filePath broken — null filePath, keep DB record"
cmq8rsnic0014ekvm8ynb1o20,external-green-platform-mikroalger,Green Platform NOK 93.3M: Mikroalger CO2-basert,external/green-platform-mikroalger.md,508,external,null_filepath,"content preserved (508 chars), filePath broken — null filePath, keep DB record"
cmq8rsnie0015ekvmp52qy9il,external-nested-circularity-finland-2023,"Nested circularity in food systems: A Nordic case study on connecting biomass, nutrient and energy flows from field scale to continent",external/nested-circularity-finland-2023.pdf,753,external,null_filepath,"content preserved (753 chars), filePath broken — null filePath, keep DB record"
