upload_order,filename,title,packet_type,status,allowed_use,word_count,bytes,recommended_notebooklm_prompt
20,26_DO_NOT_VISUALIZE_REGISTER.md,Do-Not-Visualize Register,evidence,do-not-visualize-yet,Use only according to the status label. Keep caveats and missing cells visible.,4978,37532,"Use 26_DO_NOT_VISUALIZE_REGISTER.md to answer with evidence, caveat, and label. Do not overclaim beyond do-not-visualize-yet."
21,27_IMPORT_AND_RESILIENCE_EVIDENCE.md,Import Nodes And Resilience Evidence,evidence,mixed PCQ/source-shortlist,Use only according to the status label. Keep caveats and missing cells visible.,4078,28257,"Use 27_IMPORT_AND_RESILIENCE_EVIDENCE.md to answer with evidence, caveat, and label. Do not overclaim beyond mixed PCQ/source-shortlist."
22,28_MARINE_AND_WASTE_EVIDENCE.md,Marine And Food Waste Evidence,evidence,mixed PCQ/source-shortlist,Use only according to the status label. Keep caveats and missing cells visible.,5629,41982,"Use 28_MARINE_AND_WASTE_EVIDENCE.md to answer with evidence, caveat, and label. Do not overclaim beyond mixed PCQ/source-shortlist."
23,29_PROTEIN_AND_FEED_EVIDENCE.md,Protein And Feed Evidence,evidence,mixed PCQ/source-shortlist,Use only according to the status label. Keep caveats and missing cells visible.,4967,37943,"Use 29_PROTEIN_AND_FEED_EVIDENCE.md to answer with evidence, caveat, and label. Do not overclaim beyond mixed PCQ/source-shortlist."
24,30_ORGANIC_BIODIVERSITY_POLICY_EVIDENCE.md,"Organic, Biodiversity And Policy Evidence",evidence,mixed PCQ/source-shortlist,Use only according to the status label. Keep caveats and missing cells visible.,5356,45397,"Use 30_ORGANIC_BIODIVERSITY_POLICY_EVIDENCE.md to answer with evidence, caveat, and label. Do not overclaim beyond mixed PCQ/source-shortlist."
25,31_OWNERSHIP_AND_INTEGRATION_EVIDENCE.md,Ownership And Vertical Integration Evidence,evidence,PCQ with empty cells,Use only according to the status label. Keep caveats and missing cells visible.,5438,39818,"Use 31_OWNERSHIP_AND_INTEGRATION_EVIDENCE.md to answer with evidence, caveat, and label. Do not overclaim beyond PCQ with empty cells."
26,32_FIGURE_CANDIDATES_EVIDENCE.md,Figure Candidates Evidence,evidence,internal figure candidates; not publish-ready,Use only according to the status label. Keep caveats and missing cells visible.,3367,24026,"Use 32_FIGURE_CANDIDATES_EVIDENCE.md to answer with evidence, caveat, and label. Do not overclaim beyond internal figure candidates; not publish-ready."
27,33_RESEARCH_PROGRAM_EVIDENCE.md,Research Program Evidence,evidence,program plan; not claim proof,Use only according to the status label. Keep caveats and missing cells visible.,6138,46099,"Use 33_RESEARCH_PROGRAM_EVIDENCE.md to answer with evidence, caveat, and label. Do not overclaim beyond program plan; not claim proof."
28,34_DOMAIN_COVERAGE_EVIDENCE.md,Domain Coverage Evidence,evidence,coverage/gap status,Use only according to the status label. Keep caveats and missing cells visible.,2048,11989,"Use 34_DOMAIN_COVERAGE_EVIDENCE.md to answer with evidence, caveat, and label. Do not overclaim beyond coverage/gap status."
29,35_CAR_REGISTRY_EVIDENCE.md,Circular Food Actor Registry Evidence,evidence,seed registry; not full census,Use only according to the status label. Keep caveats and missing cells visible.,1901,13515,"Use 35_CAR_REGISTRY_EVIDENCE.md to answer with evidence, caveat, and label. Do not overclaim beyond seed registry; not full census."
30,36_WHITEPAPER_AND_ROADMAP_EVIDENCE.md,Whitepaper And Roadmap Evidence,evidence,draft/roadmap context,Use only according to the status label. Keep caveats and missing cells visible.,3218,23676,"Use 36_WHITEPAPER_AND_ROADMAP_EVIDENCE.md to answer with evidence, caveat, and label. Do not overclaim beyond draft/roadmap context."
31,40_OBSIDIAN_HUB_MAP.md,Obsidian Hub Map,map/index,internal context,"Use for navigation, retrieval and orientation; do not cite as standalone external evidence.",1048,8032,Use 40_OBSIDIAN_HUB_MAP.md to navigate to relevant evidence packets before answering.
32,41_VAULT_MASTERPLAN_MAP.md,Vault Masterplan Map,map/index,internal context,"Use for navigation, retrieval and orientation; do not cite as standalone external evidence.",2007,16710,Use 41_VAULT_MASTERPLAN_MAP.md to navigate to relevant evidence packets before answering.
33,42_RESEARCH_OS_MAP.md,Research OS Map,map/index,internal context,"Use for navigation, retrieval and orientation; do not cite as standalone external evidence.",2753,21858,Use 42_RESEARCH_OS_MAP.md to navigate to relevant evidence packets before answering.
34,43_INSIGHT_CHAIN_MAP.md,Insight Chain Map I01-I26,map/index,internal context,"Use for navigation, retrieval and orientation; do not cite as standalone external evidence.",4256,34490,Use 43_INSIGHT_CHAIN_MAP.md to navigate to relevant evidence packets before answering.
35,44_ACTOR_INDEX_MAP.md,Actor Index Map,map/index,internal context,"Use for navigation, retrieval and orientation; do not cite as standalone external evidence.",1916,15198,Use 44_ACTOR_INDEX_MAP.md to navigate to relevant evidence packets before answering.
36,45_CIRCULAR_LOOP_INDEX_MAP.md,Circular Loop Index Map,map/index,internal context,"Use for navigation, retrieval and orientation; do not cite as standalone external evidence.",3703,29531,Use 45_CIRCULAR_LOOP_INDEX_MAP.md to navigate to relevant evidence packets before answering.
37,46_GAP_INDEX_MAP.md,Gap Index Map,map/index,internal context,"Use for navigation, retrieval and orientation; do not cite as standalone external evidence.",3083,24602,Use 46_GAP_INDEX_MAP.md to navigate to relevant evidence packets before answering.
38,47_DATA_FOUNDATION_MAP.md,Data Foundation Map,map/index,internal context,"Use for navigation, retrieval and orientation; do not cite as standalone external evidence.",1368,11883,Use 47_DATA_FOUNDATION_MAP.md to navigate to relevant evidence packets before answering.
39,48_GLOSSARY_AND_LABELS_MAP.md,Glossary And Labels Map,map/index,internal context,"Use for navigation, retrieval and orientation; do not cite as standalone external evidence.",2811,21292,Use 48_GLOSSARY_AND_LABELS_MAP.md to navigate to relevant evidence packets before answering.
40,49_UPLOAD_CHECKLIST_AND_SMOKE_TESTS.md,Upload Checklist And NotebookLM Smoke Tests,map/index,internal context,"Use as navigation and retrieval map, not as standalone external evidence.",363,2278,"Run the full-pack acceptance: identify five sharp insights, each with evidence, caveat, source label and one decision implication."
