check_id,country,domain,target_item,local_status,local_source,claim_or_field_to_verify,primary_source_needed,suggested_source_owner,suggested_source_url_or_path,priority,review_status,import_impact,notes
PCQ-FS-FI-003,FI,primary_delivery,producer delivery proxy,missing,docs/project/forsyningskjede-country-packs/fi.md,No Finnish DeliveryVolume-equivalent is present in DB,Find production delivery or proxy series by grain dairy meat and fish,Luke StatFin or Ruokavirasto,TBD,P0,not_started,required_for_supply_chain_parity,Finland likely needs production/procurement proxy rather than direct delivery table
PCQ-FS-FI-004,FI,relationships,top actor graph,needs_harmonization,research/review/supply-chain-relationships-nordic-review-2026-04-29.csv,At least 20 Finnish relationship candidates are required before Nordic graph status,Primary company or authority source per edge,Company annual reports KKV PTY or registry,TBD,P1,in_progress,required_for_gate_3,Starter candidates are local-research only and held from import
PCQ-FS-FI-005,FI,circularity,country case cards,needs_harmonization,public/data/food-systems/circularity-loops.json,Need at least three FI-specific case cards separated from shared Nordic records,Primary case owner source or official program source,Case owners public reports or Finnish authorities,TBD,P2,not_started,required_for_case_parity,Current baseline has fewer FI-specific loops than SE/DK/NO
PCQ-FS-IS-001,IS,value_chain_processing,processing actor list and 60 pct processing claim,local_research_needs_primary_check,public/data/food-systems/is/value-chain.json,Samherji Brim Vísir Skinney-Thinganes MS Iceland Dairies SS and Ölgerðin plus 60 pct domestic processing claim,Official statistics company reports or sector source,Hagstofa Fiskistofa company reports,TBD,P0,needs_primary_check,required_for_gate_1,Separate seafood processing from domestic non-seafood food industry
PCQ-FS-IS-002,IS,value_chain_distribution,distribution ownership and logistics roles,local_research_needs_primary_check,public/data/food-systems/is/value-chain.json,Aðföng Bakkinn Samkaup Garri Innnes and Reykjavík harbour roles,Company reports registry port authority or sector source,Company reports Icelandic registry or port authority,TBD,P0,needs_primary_check,required_for_gate_1,Confirm ownership and whether each actor is retail logistics HoReCa wholesale or import
PCQ-FS-IS-003,IS,value_chain_horeca,HoReCa scale and foodservice share,local_research_needs_primary_check,public/data/food-systems/is/value-chain.json,800-1000 restaurants and 40-45 pct food consumption through HoReCa/foodservice,Official tourism foodservice or national accounts source,Hagstofa SAF or tourism authority,TBD,P0,needs_primary_check,required_for_gate_1,Do not use as comparable volume until source and definition are fixed
PCQ-FS-IS-004,IS,value_chain_household,household consumption indicators,local_research_needs_primary_check,public/data/food-systems/is/value-chain.json,Fish 83.8 kg per capita food spend 13.2 pct organic share estimate 1.5 pct,Official consumption household expenditure and organic agriculture sources,Hagstofa or relevant ministry,TBD,P0,needs_primary_check,required_for_gate_1,Organic share is a local estimate and should stay low confidence until primary checked
PCQ-FS-IS-005,IS,primary_delivery,producer delivery proxy,proxy_sources_found,docs/project/forsyningskjede-country-packs/is.md,No Icelandic DeliveryVolume-equivalent is present in DB but seafood and agriculture production proxy sources are now identified,Decide whether production proxy basket is acceptable substitute for producer delivery series,Hagstofa Fiskistofa or MAST,research/review/forsyningskjede-production-primary-snapshot-2026-04-29.md,P0,method_decision_needed,required_for_supply_chain_parity,Iceland needs a seafood-first production proxy rather than direct farm delivery parity
PCQ-FS-IS-006,IS,circularity,country case cards and nutrient model,missing,public/data/food-systems/circularity-loops.json,No IS-specific circularity loop and no IS nutrient model country object found,Primary case source or explicit exclusion note,Case owners public reports or Icelandic authorities,TBD,P1,not_started,required_for_case_parity,Either add three IS cases or document why not comparable
PCQ-FS-ALL-001,ALL,infrastructure,geo node country/source fields,needs_harmonization,public/data/food-systems/*.geojson,Global geojsons lack consistent country source_ref confidence and last_verified fields,Normalize node schema and source metadata per feature,Internal data normalization plus primary node sources,public/data/food-systems/,P1,not_started,required_for_map_parity,Do not use map as parity evidence until country fields are normalized
PCQ-FS-ALL-002,ALL,insight_cards,country claim cards,missing,docs/project/forsyningskjede-country-packs/,Each country needs 8-12 claim cards with source strength and uncertainty,Create claim-card register after primary checks,Internal synthesis queue,docs/project/forsyningskjede-country-packs/,P2,not_started,required_for_decision_pack,Claims should cite primary or validated secondary evidence not local notes alone
PCQ-FS-PROD-001,ALL,production_series,minimum production basket,method_decision_recorded,research/review/forsyningskjede-production-method-decision-2026-04-29.md,Current production panel mixes directly comparable oats series with DK primary-checked proxy basket and IS beef fallback,Keep direct oats proxy basket seafood-first and context lanes separate until canonical proxy schema exists,Internal data pipeline plus national statistics,research/review/forsyningskjede-production-series-parity-2026-04-29.csv,P0,method_decision_recorded,required_for_gate_2,Do not show DK proxy basket or IS seafood in same production chart as NO/SE/FI oats without explicit proxy caveat
PCQ-FS-PROD-DK-001,DK,production_series,direct production quantity,method_decision_recorded,research/review/forsyningskjede-production-method-decision-2026-04-29.md,DK currently has only cereals output value in core-series but StatBank confirms a primary snapshot basket for cereals H170 milk pigs potatoes landings and aquaculture,Use HST77 H170 only as caveated proxy lane labelled Oats mixed grains and other grains; no canonical core-series import yet,Danmarks Statistik StatBank,https://api.statbank.dk/v1/tableinfo/HST77?lang=en,P0,method_decision_recorded,required_for_gate_2,"2024 snapshots: cereals 7584.6m kg; H170 274.3m kg; milk 5767.6m kg; pigs 1726.6m kg; potatoes 2997.6m kg; Danish-vessel landings 467478631 kg; aquaculture 46405 tonnes"
PCQ-FS-PROD-IS-001,IS,production_series,food-system production proxy,method_decision_recorded,research/review/forsyningskjede-production-method-decision-2026-04-29.md,IS currently has beef quantity fallback in core-series but official snapshots now confirm seafood-first and agriculture supplement proxies,Use seafood-first lane as country-specific basket with agriculture supplement separate and oats context only; no canonical core-series import yet,Hagstofa Fiskistofa MAST,https://www.statice.is/publications/news-archive/fisheries/fish-catch-and-value-in-2024/,P0,method_decision_recorded,required_for_gate_2,"2024 snapshots: catch about 994k tonnes; aquaculture about 54.8k tonnes; milk 158139 tonnes; total meat 30643 tonnes; potatoes 5514 tonnes; greenhouse/vegetable partial proxy 4232 tonnes; oats 140 tonnes"
