id,decision,review_status,country,theme,priority,source_status,snapshot_status,recommended_action,proposed_verification_level,proposed_record_type,proposed_tone,proposed_frame,proposed_confidence,notes
no-e24-prismoete-2023,metadata_only_manual,pending,no,prispress,P2,candidate_manual,no_snapshot,record_metadata_no_fulltext,secondary_media,media-article,analytical,price-pressure,1,Adds 2023 inflation and public-warning trigger.
no-regjeringen-totalberedskap-2025,keep_existing_review_for_expansion,pending,no,beredskap,P1,already_in_corpus,no_snapshot,use_as_anchor_when_adding_related_entries,primary,government-policy,analytical,preparedness,1,Existing corpus anchor for preparedness narrative.
no-riksrevisjonen-matsikkerhet-2024,ready_for_human_review,pending,no,beredskap,P1,candidate_fetch,snapshot_exists,review_for_media_corpus_import,primary,public-audit,policy,preparedness,4,Should be used as primary preparedness control source.
no-norsus-matsvinn-2024,ready_for_human_review,pending,no,sirkularitet,P2,candidate_fetch,snapshot_exists,review_for_media_corpus_import,secondary,project-case,case-oriented,circularity,3,Bridges media page with circularity and food-waste evidence.
no-nofima-upcycled-2025,ready_for_human_review,pending,no,innovasjon,P2,candidate_fetch,snapshot_exists,review_for_media_corpus_import,secondary_research,research-publication,case-oriented,innovation,3,Innovation/circular food consumer narrative.
no-nofima-upcycled-label-2025,optional_context_review,pending,no,innovasjon,P3,candidate_fetch,snapshot_exists,use_only_if_theme_gap_remains,secondary_research,research-publication,case-oriented,innovation,2,Secondary upcycled-food angle; not Norway-only but useful for consumer framing.
no-e24-nho-uenighet-2026,metadata_only_manual,pending,no,regulering,WATCH,watch_2026,no_snapshot,record_metadata_no_fulltext,secondary_media,media-article,analytical,regulation,1,Current 2026 watch item about vertical integration and regulatory split; not historical chart material yet.
se-konkurrensverket-genomlysning-2024,keep_existing_review_for_expansion,pending,se,markedsmakt,P1,already_in_corpus,no_snapshot,use_as_anchor_when_adding_related_entries,primary,authority-report,policy,competition,1,Existing corpus anchor for Sweden.
se-konkurrensverket-food-knowledge-2025,ready_for_human_review,pending,se,markedsmakt,P1,candidate_fetch,snapshot_exists,review_for_media_corpus_import,primary,authority-hub,policy,competition,4,Collects follow-up analyses and should become Sweden source hub.
se-axfood-citygross-acquires-2024,ready_for_human_review,pending,se,markedsmakt,P1,candidate_fetch,snapshot_exists,review_for_media_corpus_import,secondary_actor,actor-position,actor-position,competition,4,Corporate-side framing of consolidation and competitiveness claims.
se-axfood-citygross-approved-2024,keep_existing_review_for_expansion,pending,se,regulering,P1,already_in_corpus,no_snapshot,use_as_anchor_when_adding_related_entries,secondary_actor,actor-position,actor-position,regulation,1,Existing corpus anchor; pair with authority source if available.
se-regeringen-livsmedelsstrategi-2025,ready_for_human_review,pending,se,beredskap,P1,candidate_fetch,snapshot_exists,review_for_media_corpus_import,primary,government-policy,analytical,preparedness,4,Sweden 2025 shift toward measurable food-production and competitiveness goals.
se-rise-circular-food-2025,ready_for_human_review,pending,se,sirkularitet,P2,candidate_fetch,snapshot_exists,review_for_media_corpus_import,secondary,project-case,case-oriented,circularity,3,Adds public-meal circularity track.
se-ivl-focuse-2025,ready_for_human_review,pending,se,innovasjon,P2,candidate_fetch,snapshot_exists,review_for_media_corpus_import,secondary,project-case,case-oriented,innovation,3,Urban circular food and provisioning angle.
se-circularity-gap-2024,ready_for_human_review,pending,se,sirkularitet,P2,existing_backlog,snapshot_exists,review_for_media_corpus_import,benchmark,benchmark,analytical,circularity,3,Use as benchmark only; do not overstate as media coverage.
se-smartbuilt-gottsunda-2024,optional_context_review,pending,se,sirkularitet,P3,existing_backlog,snapshot_exists,use_only_if_theme_gap_remains,secondary,project-case,case-oriented,circularity,2,Local circular-food case.
dk-kfst-salling-coop-2025,keep_existing_review_for_expansion,pending,dk,regulering,P1,already_in_corpus,no_snapshot,use_as_anchor_when_adding_related_entries,primary,authority-decision,policy,regulation,1,Existing corpus anchor for Denmark.
dk-kfst-salling-coop-pdf-2025,pdf_catalog_before_import,pending,dk,markedsmakt,P1,candidate_fetch,snapshot_exists,catalog_pdf_and_link_sourcedoc_before_import,primary,authority-decision,policy,competition,4,Use for local-market HHI and market-share details.
dk-kfst-price-policy-2025,ready_for_human_review,pending,dk,prispress,P1,candidate_fetch,snapshot_exists,review_for_media_corpus_import,primary,authority-news,policy,price-pressure,4,Adds pricing tools algorithmic pricing and bargaining-power track.
dk-dansk-erhverv-food-prices-2024,ready_for_human_review,pending,dk,prispress,P2,candidate_fetch,snapshot_exists,review_for_media_corpus_import,secondary,industry-analysis,actor-position,price-pressure,3,Industry counter-frame to profit/price-gouging claims.
dk-foodnation-circularity-2024,ready_for_human_review,pending,dk,sirkularitet,P2,existing_backlog,snapshot_exists,review_for_media_corpus_import,secondary_media,industry-analysis,actor-position,circularity,3,Existing circular-food backlog row; can support Denmark circularity profile.
dk-newfood-amcor-crisp-2025,optional_context_review,pending,dk,sirkularitet,P3,existing_backlog,snapshot_exists,use_only_if_theme_gap_remains,secondary,trade-media,case-oriented,circularity,2,Trade-media case; use after official/research material.
dk-usda-gain-retail-2025,pdf_catalog_before_import,pending,dk,markedsmakt,P1,candidate_fetch,snapshot_exists,catalog_pdf_and_link_sourcedoc_before_import,secondary,market-report,analytical,competition,4,Primary comparative market-structure report already referenced elsewhere in project.
fi-kkv-food-market-study-2023,ready_for_human_review,pending,fi,prispress,P1,candidate_fetch,snapshot_exists,review_for_media_corpus_import,primary,authority-news,policy,price-pressure,4,Good starting point for price transmission and food-chain margin logic.
fi-kkv-30-percent-rule-2014,keep_existing_review_for_expansion,pending,fi,regulering,P1,already_in_corpus,no_snapshot,use_as_anchor_when_adding_related_entries,primary,authority-news,policy,regulation,1,Existing corpus anchor; keep as historical baseline outside 2016-2025 trend where needed.
fi-kesko-price-cuts-2025,ready_for_human_review,pending,fi,prispress,P2,candidate_fetch,snapshot_exists,review_for_media_corpus_import,secondary_actor,actor-position,actor-position,price-pressure,3,Corporate response to price-sensitive market and consumer expectations.
fi-pty-grocery-market-2024,ready_for_human_review,pending,fi,markedsmakt,P1,candidate_fetch,snapshot_exists,review_for_media_corpus_import,primary,industry-analysis,actor-position,competition,4,Primary source for 2024 market shares: S Group K Group Lidl etc.
fi-kesko-market-share-2024,ready_for_human_review,pending,fi,markedsmakt,P2,candidate_fetch,snapshot_exists,review_for_media_corpus_import,secondary_actor,actor-position,actor-position,competition,3,Adds corporate interpretation of PTY/Nielsen market-share trend.
fi-kesko-market-share-2025,watch_only_snapshot_available,pending,fi,markedsmakt,WATCH,watch_2026,snapshot_exists,keep_outside_2016_2025_until_period_closed,secondary_actor,actor-position,actor-position,competition,2,Current 2026 publication about 2025 market share; use in update note not 2016-2025 chart until reviewed.
fi-interreg-circular-foodshift-2024,ready_for_human_review,pending,fi,sirkularitet,P2,existing_backlog,snapshot_exists,review_for_media_corpus_import,secondary,project-case,case-oriented,circularity,3,Municipal food-waste reduction and procurement case.
fi-mdpi-turku-circular-campus-2021,blocked_fetch_needs_alternate,pending,fi,innovasjon,P3,existing_backlog,no_snapshot,find_alternate_url_or_manual_source,secondary_research,academic-research,analytical,innovation,1,Academic case for circular urban farming in Finland.
is-samkeppni-report-overview-2024,keep_existing_review_for_expansion,pending,is,markedsmakt,P1,already_in_corpus,no_snapshot,use_as_anchor_when_adding_related_entries,primary,authority-hub,policy,competition,1,Existing corpus anchor; needs exact report URL extraction.
is-samkeppni-festi-lyfja-2024,ready_for_human_review,pending,is,markedsmakt,P1,candidate_fetch,snapshot_exists,review_carefully_for_direct_grocery_relevance,primary,authority-decision,policy,competition,4,Shows adjacent retail concentration and conditions in Iceland.
is-hagar-management-2024-25,pdf_catalog_before_import,pending,is,markedsmakt,P1,candidate_fetch,snapshot_exists,catalog_pdf_and_link_sourcedoc_before_import,secondary_actor,actor-position,actor-position,competition,4,Primary corporate source for market leader and operating context.
is-bifrost-retail-sector,pdf_catalog_before_import,pending,is,markedsmakt,P2,candidate_fetch,snapshot_exists,catalog_pdf_and_link_sourcedoc_before_import,secondary_research,academic-research,analytical,competition,3,Useful academic/educational source for retail concentration context; year must be confirmed.
is-usda-exporter-guide-2023,blocked_fetch_needs_alternate,pending,is,markedsmakt,P2,candidate_fetch,no_snapshot,find_alternate_url_or_manual_source,secondary,market-report,analytical,competition,1,Fallback public market-structure source until exact Retail Foods Annual Iceland 2024 URL is recovered.
is-samkeppnisvisar-grocery-hhi-2021,ready_for_human_review,pending,is,markedsmakt,P1,candidate_fetch,snapshot_exists,review_carefully_for_direct_grocery_relevance,primary,authority-analysis,policy,competition,4,Direct Iceland grocery concentration source with HHI trend for capital region grocery market.
is-geothermal-geofood-2020,optional_context_review,pending,is,sirkularitet,P3,existing_backlog,snapshot_exists,use_only_if_theme_gap_remains,secondary,trade-article,case-oriented,circularity,2,Iceland circular-food case; lower priority than concentration and preparedness material.
is-novia-local-food-2024,optional_context_review,pending,is,innovasjon,P3,existing_backlog,snapshot_exists,use_only_if_theme_gap_remains,secondary,blog,case-oriented,innovation,2,Use as innovation colour only after primary Iceland sources.
nordic-hotspot-beyond-bean-2023,ready_for_human_review,pending,nordic,sirkularitet,P2,existing_backlog,snapshot_exists,review_for_media_corpus_import,secondary,article,case-oriented,circularity,3,Nordic comparative circular-food framing.
nordic-circularity-gap-norway-2024,ready_for_human_review,pending,nordic,sirkularitet,P2,existing_backlog,snapshot_exists,review_for_media_corpus_import,benchmark,benchmark,analytical,circularity,3,Benchmark only; useful for circularity context not media intensity.
nordic-circular-households-pilot-2024,optional_context_review,pending,nordic,sirkularitet,P3,existing_backlog,snapshot_exists,use_only_if_theme_gap_remains,secondary,project-case,case-oriented,circularity,2,Household food-waste reduction pilot across NO SE FI DE EE.
nordic-food-energy-circular-2022,optional_context_review,pending,nordic,sirkularitet,P3,candidate_fetch,snapshot_exists,use_only_if_theme_gap_remains,secondary_research,academic-research,analytical,circularity,2,Open-access academic frame for circular value distribution.
nordic-matsentralen-reports-2024,ready_for_human_review,pending,nordic,beredskap,P2,candidate_fetch,snapshot_exists,review_for_media_corpus_import,secondary,ngo-report-index,analytical,preparedness,3,Food aid and surplus redistribution surface; bridges preparedness and food waste.
