country,domain,subdomain,dataset_or_claim,current_status,target_status,evidence_status,source_path_or_url,source_type,year_or_period,unit,comparability_flag,confidence,next_action,owner,review_status,ui_surface,notes
NO,relationships,business_relationships,Curated supply-chain relationships,normalized,validated,proxy,BusinessRelationship,prisma_db,current,edges,country_specific,high,Use as reference for review schema; avoid using as Nordic completeness signal,,ready_to_use,/forsyningskjede,"106 NO->NO edges; 46 relationship nodes"
NO,registry,companies_metrics,Companies and CountryMetric rows,normalized,validated,observed,Company + CountryMetric,prisma_db,current,rows,country_specific,high,Keep company-stage audit visible because company volume is Norway-dominated,,ready_to_use,/selskap,"55402 Company rows; 140 CountryMetric rows"
NO,insight_cards,country_claims,Land-specific claim cards,missing,comparable,mixed,docs/project/forsyningskjede-country-packs/no.md,markdown,2026,cards,not_started,low,Create 8-12 claim cards after data harmonization,,missing,/forsyningskjede,"No dedicated claim-card file yet"
SE,value_chain,steps,8 target value-chain steps,extracted,comparable,mixed,public/data/food-systems/se/value-chain.json,local_json,2024,steps,partial,medium,Primary-check the seafood backfill and add method notes before validated use,,needs_primary_check,/verdikjede,"8/8 steps after local seafood backfill; seafood still needs primary verification"
SE,value_chain,volume_waste,Step-level volume and waste fields,source_found,comparable,mixed,public/data/food-systems/se/value-chain.json,local_json,2024,tonnes,weak,low,Fill volume and waste fields for most steps,,needs_primary_check,/forsyningskjede,"Volume missing on all listed steps; waste missing on primary through horeca"
SE,primary_delivery,delivery_volume,Primary producer deliveries,missing,comparable,observed,TBD,external_source,TBD,liter_or_kg,not_started,low,Identify Swedish source equivalent or define why no direct equivalent is feasible,,missing,/forsyningskjede,"No SE DeliveryVolume equivalent in DB"
SE,trade_imports,food_group_imports,Six food import groups,comparable,validated,observed,research/data/nordic/trade-groups/normalized/trade-group-imports-annual.csv,local_csv,2015-2025,mixed_currency,comparable_with_flags,high,Use 2024 import-vulnerability card with seafood primary-check caveat,,ready_to_use,/forsyningskjede,"66 annual rows; 792 monthly rows; 2024 top group fish_seafood at 48.6 pct"
SE,core_series,price_trade_production,Food prices trade and production,comparable,validated,observed,research/data/nordic/core-series/,local_csv,monthly_or_annual,index_or_native,comparable_with_flags,high,Preserve index/native-unit split and use oats only as narrow NO/SE/FI production subgroup,,ready_to_use,/sammenligning,"132 price rows; 264 trade rows; 15 production rows; oats 2024 622.5 thousand tonnes"
SE,analysis_panel,harmonized_panel,Nordic harmonized analysis rows,comparable,validated,observed,research/data/nordic/analysis-panel/nordic_harmonized_panel.csv,local_csv,2022-2025,index_or_native,comparable_with_flags,high,Use as cross-country status layer after ledger integration,,ready_to_use,/sammenligning,"411 harmonized rows"
SE,infrastructure,geo_nodes,Hubs ports processing plants aquaculture,source_found,comparable,mixed,public/data/food-systems/se/*.json + global geojson,local_json_geojson,latest,features,weak,low,Add SE infrastructure nodes with country source_ref confidence and last_verified,,needs_primary_check,/kart,"Stores and municipalities exist; global geo files lack country properties"
SE,circularity,loops_cases,Circularity loops and cases,extracted,comparable,mixed,public/data/food-systems/circularity-loops.json,local_json,2026,cases,mixed,medium,Create at least 3 SE-specific case cards and separate Nordic shared records,,needs_harmonization,/sirkularitet,"3 existing loops; shared Nordic records also apply"
SE,nutrient_flows,nutrient_recovery,Nutrient flow object,extracted,comparable,estimated,public/data/food-systems/nutrient-flows.json,local_json,2026,kt_per_year,proxy_model,medium,Keep as estimated model and primary-check Swedish assumptions,,needs_primary_check,/sirkularitet,"SE included in nutrient model"
SE,feed_sourcing,salmon_feed_or_feed_inputs,Feed sourcing relevance,source_found,comparable,mixed,TBD,external_source,TBD,pct_or_tonnes,not_started,low,Decide whether SE needs seafood-feed module or broader livestock/feed import module,,missing,/forsyningskjede,"No SE-specific feed timeseries equivalent in local data"
SE,relationships,business_relationships,Curated supply-chain relationships,extracted,normalized,proxy,BusinessRelationship,prisma_db,current,edges,country_specific,medium,Expand seeded review queue from 6 to 20 candidates and at least 10 approved imports,,needs_harmonization,/forsyningskjede,"5 SE->SE edges; 1 SE->FI edge; 10 relationship nodes; 6 new candidates are hold/needs_primary_check"
SE,registry,companies_metrics,Companies and CountryMetric rows,extracted,normalized,observed,Company + CountryMetric,prisma_db,current,rows,country_specific,medium,Expand top actor registry to minimum 10-15 actors by role,,needs_harmonization,/selskap,"15 Company rows; 27 CountryMetric rows"
SE,insight_cards,country_claims,Land-specific claim cards,missing,comparable,mixed,docs/project/forsyningskjede-country-packs/se.md,markdown,2026,cards,not_started,low,Create 8-12 claim cards after data harmonization,,missing,/forsyningskjede,"No dedicated claim-card set yet"
DK,value_chain,steps,8 target value-chain steps,extracted,comparable,mixed,public/data/food-systems/dk/value-chain.json,local_json,2024,steps,partial,medium,Primary-check the seafood backfill and add method notes before validated use,,needs_primary_check,/verdikjede,"8/8 steps after local seafood backfill; seafood still needs primary verification"
DK,value_chain,volume_waste,Step-level volume and waste fields,source_found,comparable,mixed,public/data/food-systems/dk/value-chain.json,local_json,2024,tonnes,weak,low,Fill volume for processing through waste and waste for primary through horeca,,needs_primary_check,/forsyningskjede,"Volume missing on 6 steps; waste missing on primary through horeca"
DK,primary_delivery,delivery_volume,Primary producer deliveries,missing,comparable,observed,TBD,external_source,TBD,liter_or_kg,not_started,low,Identify Danish source equivalent or define feasible proxy,,missing,/forsyningskjede,"No DK DeliveryVolume equivalent in DB"
DK,trade_imports,food_group_imports,Six food import groups,comparable,validated,observed,research/data/nordic/trade-groups/normalized/trade-group-imports-annual.csv,local_csv,2022-2025,DKK_1000,comparable_with_flags,high,Use 2024 import-vulnerability card with re-export and seafood-hub caveat,,ready_to_use,/forsyningskjede,"30 annual rows; 294 monthly rows; 2024 top group fish_seafood at 30.7 pct"
DK,core_series,price_trade_production,Food prices trade and production,normalized,comparable,observed,research/data/nordic/core-series/ + research/review/forsyningskjede-production-primary-snapshot-2026-04-29.md + research/review/forsyningskjede-production-method-decision-2026-04-29.md,local_csv_and_primary_snapshot,monthly_or_annual,index_or_native,partial,medium,Use HST77 H170 only as caveated proxy lane labelled Oats mixed grains and other grains; do not import into direct core production panel until proxy schema exists,,method_decision_recorded,/sammenligning,"132 price rows; 98 trade rows; 3 production rows; current core-series value fallback 11534 m DKK in 2024; primary snapshot now covers cereals H170 milk pigs potatoes vessel landings and aquaculture"
DK,analysis_panel,harmonized_panel,Nordic harmonized analysis rows,comparable,validated,observed,research/data/nordic/analysis-panel/nordic_harmonized_panel.csv,local_csv,2022-2025,index_or_native,comparable_with_flags,high,Use as cross-country status layer after ledger integration,,ready_to_use,/sammenligning,"233 harmonized rows"
DK,infrastructure,geo_nodes,Hubs ports processing plants aquaculture,source_found,comparable,mixed,public/data/food-systems/dk/*.json + global geojson,local_json_geojson,latest,features,weak,low,Add DK infrastructure nodes with country source_ref confidence and last_verified,,needs_primary_check,/kart,"Stores and municipalities exist; global geo files lack country properties"
DK,circularity,loops_cases,Circularity loops and cases,extracted,comparable,mixed,public/data/food-systems/circularity-loops.json,local_json,2026,cases,mixed,medium,Create at least 3 DK-specific case cards and separate shared Nordic records,,needs_harmonization,/sirkularitet,"3 existing loops; 2 actor cases"
DK,nutrient_flows,nutrient_recovery,Nutrient flow object,extracted,comparable,estimated,public/data/food-systems/nutrient-flows.json,local_json,2026,kt_per_year,proxy_model,medium,Keep as estimated model and primary-check Danish assumptions,,needs_primary_check,/sirkularitet,"DK included in nutrient model"
DK,feed_sourcing,feed_inputs,Feed sourcing relevance,source_found,comparable,mixed,TBD,external_source,TBD,pct_or_tonnes,not_started,low,Build feed/input module around livestock agriculture and seafood where relevant,,missing,/forsyningskjede,"No DK-specific feed timeseries equivalent in local data"
DK,relationships,business_relationships,Curated supply-chain relationships,extracted,normalized,proxy,BusinessRelationship,prisma_db,current,edges,country_specific,medium,Expand seeded review queue from 6 to 20 candidates and at least 10 approved imports,,needs_harmonization,/forsyningskjede,"3 DK->DK edges; 2 NO->DK edges; 6 relationship nodes; 6 new candidates are hold/needs_primary_check"
DK,registry,companies_metrics,Companies and CountryMetric rows,extracted,normalized,observed,Company + CountryMetric,prisma_db,current,rows,country_specific,medium,Expand top actor registry to minimum 10-15 actors by role,,needs_harmonization,/selskap,"6 Company rows; 29 CountryMetric rows"
DK,insight_cards,country_claims,Land-specific claim cards,missing,comparable,mixed,docs/project/forsyningskjede-country-packs/dk.md,markdown,2026,cards,not_started,low,Create 8-12 claim cards after data harmonization,,missing,/forsyningskjede,"No dedicated claim-card set yet"
FI,value_chain,steps,8 target value-chain steps,extracted,comparable,mixed,public/data/food-systems/fi/value-chain.json,local_json,2024,steps,partial,medium,Primary-check the seafood backfill and add method notes before validated use,,needs_primary_check,/verdikjede,"8/8 steps after local seafood backfill; seafood still needs primary verification"
FI,value_chain,volume_waste,Step-level volume and waste fields,source_found,comparable,mixed,public/data/food-systems/fi/value-chain.json,local_json,2024,tonnes,weak,low,Fill volume and waste fields for most steps,,needs_primary_check,/forsyningskjede,"Volume missing on most steps; waste missing on primary through horeca"
FI,primary_delivery,delivery_volume,Primary producer deliveries,missing,comparable,observed,TBD,external_source,TBD,liter_or_kg,not_started,low,Identify Finnish source equivalent or define feasible proxy,,missing,/forsyningskjede,"No FI DeliveryVolume equivalent in DB"
FI,trade_imports,food_group_imports,Six food import groups,comparable,validated,observed,research/data/nordic/trade-groups/normalized/trade-group-imports-annual.csv,local_csv,2015-2024,EUR_1000,comparable_with_flags,high,Use 2024 import-vulnerability card and primary-check cereal drop,,ready_to_use,/forsyningskjede,"60 annual rows; 720 monthly rows; 2024 top group fruit_veg at 31.0 pct"
FI,core_series,price_trade_production,Food prices trade and production,comparable,validated,observed,research/data/nordic/core-series/,local_csv,monthly_or_annual,index_or_native,comparable_with_flags,high,Preserve index/native-unit split and use oats only as narrow NO/SE/FI production subgroup,,ready_to_use,/sammenligning,"132 price rows; 240 trade rows; 15 production rows; oats 2024 1207.5 thousand tonnes"
FI,analysis_panel,harmonized_panel,Nordic harmonized analysis rows,comparable,validated,observed,research/data/nordic/analysis-panel/nordic_harmonized_panel.csv,local_csv,2022-2025,index_or_native,comparable_with_flags,high,Use as cross-country status layer after ledger integration,,ready_to_use,/sammenligning,"387 harmonized rows"
FI,infrastructure,geo_nodes,Hubs ports processing plants aquaculture,source_found,comparable,mixed,public/data/food-systems/fi/*.json + global geojson,local_json_geojson,latest,features,weak,low,Add FI infrastructure nodes with country source_ref confidence and last_verified,,needs_primary_check,/kart,"Stores and municipalities exist; global geo files lack country properties"
FI,circularity,loops_cases,Circularity loops and cases,extracted,comparable,mixed,public/data/food-systems/circularity-loops.json,local_json,2026,cases,mixed,medium,Create at least 3 FI-specific case cards and separate shared Nordic records,,needs_harmonization,/sirkularitet,"1 existing loop; 1 actor case; shared Nordic records also apply"
FI,nutrient_flows,nutrient_recovery,Nutrient flow object,extracted,comparable,estimated,public/data/food-systems/nutrient-flows.json,local_json,2026,kt_per_year,proxy_model,medium,Keep as estimated model and primary-check Finnish assumptions,,needs_primary_check,/sirkularitet,"FI included in nutrient model"
FI,feed_sourcing,feed_inputs,Feed sourcing relevance,source_found,comparable,mixed,TBD,external_source,TBD,pct_or_tonnes,not_started,low,Build feed/input module around agriculture and food industry inputs,,missing,/forsyningskjede,"No FI-specific feed timeseries equivalent in local data"
FI,relationships,business_relationships,Curated supply-chain relationships,extracted,normalized,proxy,BusinessRelationship,prisma_db,current,edges,country_specific,medium,Expand seeded review queue from 6 to 20 candidates and at least 10 approved imports,,needs_harmonization,/forsyningskjede,"3 FI->FI edges; 1 SE->FI edge; 5 relationship nodes; 6 new candidates are hold/needs_primary_check"
FI,registry,companies_metrics,Companies and CountryMetric rows,extracted,normalized,observed,Company + CountryMetric,prisma_db,current,rows,country_specific,medium,Expand top actor registry to minimum 10-15 actors by role,,needs_harmonization,/selskap,"7 Company rows; 25 CountryMetric rows"
FI,insight_cards,country_claims,Land-specific claim cards,missing,comparable,mixed,docs/project/forsyningskjede-country-packs/fi.md,markdown,2026,cards,not_started,low,Create 8-12 claim cards after data harmonization,,missing,/forsyningskjede,"No dedicated claim-card set yet"
IS,value_chain,steps,8 target value-chain steps,extracted,comparable,mixed,public/data/food-systems/is/value-chain.json,local_json,2024,steps,partial,medium,Primary-check the local research backfill and add method notes per new step,,needs_primary_check,/verdikjede,"8/8 steps after local backfill; processing distribution horeca and household still need primary verification"
IS,value_chain,volume_waste,Step-level volume and waste fields,source_found,comparable,mixed,public/data/food-systems/is/value-chain.json,local_json,2024,tonnes,weak,low,Fill volume and waste fields for all steps,,needs_primary_check,/forsyningskjede,"Most Iceland step volume and waste fields remain null"
IS,primary_delivery,delivery_volume,Primary producer deliveries,source_found,comparable,observed,research/review/forsyningskjede-production-primary-snapshot-2026-04-29.md,external_source,2024,tonnes,proxy_model,medium,Decide whether seafood-first production proxy can substitute for delivery-volume parity,,needs_harmonization,/forsyningskjede,"No IS DeliveryVolume equivalent in DB, but primary snapshots now cover catch, aquaculture, milk, meat, potatoes and selected crops"
IS,trade_imports,food_group_imports,Six food import groups,comparable,validated,observed,research/data/nordic/trade-groups/normalized/trade-group-imports-annual.csv,local_csv,2015-2024,source_units,comparable_with_flags,high,Use 2024 import-vulnerability card and primary-check unit/classification,,ready_to_use,/forsyningskjede,"72 annual rows in active annual panel; monthly legacy count differs; 2024 top group fruit_veg at 32.3 pct"
IS,core_series,price_trade_production,Food prices trade and production,normalized,comparable,observed,research/data/nordic/core-series/ + research/review/forsyningskjede-production-primary-snapshot-2026-04-29.md + research/review/forsyningskjede-production-method-decision-2026-04-29.md,local_csv_and_primary_snapshot,monthly_or_annual,index_or_native,partial,medium,Use seafood-first lane as country-specific basket with agriculture supplement shown separately; keep oats as context only and do not import proxy rows until proxy schema exists,,method_decision_recorded,/sammenligning,"132 price rows; 266 trade rows; 16 production rows; current core-series beef fallback 4674 t in 2025; primary snapshot covers seafood, aquaculture, milk, meat, potatoes, selected vegetables, grain and oats"
IS,analysis_panel,harmonized_panel,Nordic harmonized analysis rows,comparable,validated,observed,research/data/nordic/analysis-panel/nordic_harmonized_panel.csv,local_csv,2022-2025,index_or_native,comparable_with_flags,high,Use as cross-country status layer after ledger integration,,ready_to_use,/sammenligning,"414 harmonized rows"
IS,infrastructure,geo_nodes,Hubs ports processing plants aquaculture,source_found,comparable,mixed,public/data/food-systems/is/*.json + global geojson,local_json_geojson,latest,features,weak,low,Add IS infrastructure nodes with country source_ref confidence and last_verified,,needs_primary_check,/kart,"Stores and municipalities exist; global geo files lack country properties"
IS,circularity,loops_cases,Circularity loops and cases,missing,comparable,mixed,public/data/food-systems/circularity-loops.json,local_json,2026,cases,not_started,low,Create at least 3 IS-specific case cards and separate Nordic shared records,,missing,/sirkularitet,"No IS-specific loop count found in current circularity file"
IS,nutrient_flows,nutrient_recovery,Nutrient flow object,missing,comparable,estimated,public/data/food-systems/nutrient-flows.json,local_json,2026,kt_per_year,not_started,low,Add or explicitly exclude IS nutrient model with method note,,missing,/sirkularitet,"IS not present in nutrient countries object"
IS,feed_sourcing,seafood_feed_or_inputs,Feed sourcing relevance,source_found,comparable,mixed,TBD,external_source,TBD,pct_or_tonnes,not_started,low,Build seafood/input module relevant to Icelandic fisheries and aquaculture,,missing,/forsyningskjede,"No IS-specific feed timeseries equivalent in local data"
IS,relationships,business_relationships,Curated supply-chain relationships,source_found,normalized,proxy,BusinessRelationship,prisma_db,current,edges,country_specific,low,Expand seeded review queue from 6 to 20 candidates and at least 10 approved imports,,needs_primary_check,/forsyningskjede,"1 IS->IS edge; 2 relationship nodes; 6 new candidates are hold/needs_primary_check"
IS,registry,companies_metrics,Companies and CountryMetric rows,extracted,normalized,observed,Company + CountryMetric,prisma_db,current,rows,country_specific,medium,Expand top actor registry to minimum 10-15 actors by role,,needs_harmonization,/selskap,"8 Company rows; 22 CountryMetric rows"
IS,insight_cards,country_claims,Land-specific claim cards,missing,comparable,mixed,docs/project/forsyningskjede-country-packs/is.md,markdown,2026,cards,not_started,low,Create 8-12 claim cards after data harmonization,,missing,/forsyningskjede,"No dedicated claim-card set yet"
