source_id,source_path,source_type,scope,status,key_use,caveat,last_checked
src-car-004-regjeringen-bransjeavtale,https://www.regjeringen.no/no/tema/mat-fiske-og-landbruk/mat-og-ernaring/matsvinn/bransjeavtale-om-matsvinn-reduksjon/id2891198/,government,NO,read,Government source for national food-waste agreement and 2030 target,Target is not achieved reduction,2026-06-24
src-car-004-oda-matsvinn,https://sustainability.oda.com/matsvinn,actor-primary,NO,read,Oda food-waste management and own reported waste metric,Do not compare without matching denominator year and scope,2026-06-24
src-car-004-totalctrl-home,https://totalctrl.com/,actor-primary,NO,read,TotalCtrl inventory and food-waste management software positioning,Vendor impact claims need customer/source separation,2026-06-24
src-car-004-totalctrl-about,https://totalctrl.com/about-totalctrl-2/,actor-primary,NO,read,TotalCtrl company food-waste prevention position and milestones,Marketing percentages are not independent national KPI evidence,2026-06-24
src-car-004-havaristen,https://havaristen.no/,actor-primary,NO,read,Havaristen surplus lots date goods and food and drink categories,Not all surplus lots are food waste prevention,2026-06-24
src-car-004-nho-kuttmatsvinn,https://www.nhosh.no/bransjer/drift-og-service/kantine/matsvinn/,sector-page,NO,read,KuttMatsvinn Servering cooperation context,Program row not participant-level outcome proof,2026-06-24
src-car-004-norsus-matsvinn,https://norsus.no/en/forskningsomrade/matsvinn/,public-research,NO,read,NORSUS food-waste research area for mapping causes quantities and measures,Research row not producer or handler coverage,2026-06-24
src-car-004-brreg,https://data.brreg.no/enhetsregisteret/api/enheter,registry-api,NO,read,Org-number municipality founding-year employee-count and status checks,NACE or Brreg activity text is not circular impact proof,2026-06-24
src-car-007-lindum-products,https://lindum.no/produkter,actor-primary,NO,read,Lindum biogas fertilizer compost and soil product role,Broad product page not volume proof,2026-06-24
src-car-007-lindum-organic,https://lindum.no/tjenester/matavfall-avloopsslam-og-biologiske-ressurser,actor-primary,NO,read,Lindum/DMF organic waste food waste sludge and biogas treatment context,Capacity claims need PCQ before KPI use,2026-06-24
src-car-007-greve-dmf-home,https://www.grevebiogass.no/,actor-primary,NO,read,Den Magiske Fabrikken food waste/manure to biogas biofertilizer and green CO2,Facility and company roles must be split,2026-06-24
src-car-007-dmf-contract,https://dmfas.no/aktuelt/den_magiske_fabrikken_vant_stor_kontrakt,actor-primary,NO,read,Greve/Lindum ownership/operator context for food waste and biofertilizer route,Contract value/capacity not impact evidence,2026-06-24
src-car-007-cambi-process,https://www.cambi.com/process,actor-primary,NO/global,read,Cambi thermal hydrolysis for sludge/wet organic waste,Technology provider not facility operator,2026-06-24
src-car-007-oslo-rba,https://www.oslo.kommune.no/avfall-og-gjenvinning/behandlingsanlegg-for-avfall/romerike-biogassanlegg/,municipal-primary,NO,read,Romerike biogassanlegg food waste to biogas/biofertilizer,Ownership may be transitioning,2026-06-24
src-car-007-ivar-grodaland,https://www.ivar.no/grodaland/,actor-primary,NO,read,IVAR Grodaland treats food waste sludge and other organic waste to biogas,Facility-specific source,2026-06-24
src-car-007-ecopro-transport,https://ecopro.no/2024/04/nye-konkurranser-pa-transport-av-matavfall/,actor-primary,NO,read,Ecopro receives municipal food waste and refines it to biogas/biofertilizer,Transport tender not annual production proof,2026-06-24
src-car-007-mjosanlegget-home,https://www.mjosanlegget.no/hjem/,actor-primary,NO,read,Mjosanlegget turns food waste into wet fertilizer compost and biogas,Capacity/coverage claims need KPI handling,2026-06-24
src-car-007-bir-voss,https://bir.no/om-bir/vaare-anlegg/biogassanlegget/,actor-primary,NO,read,BIR Voss biogas plant combines food waste and manure,Opened late 2025; operating volumes need later data,2026-06-24
src-car-007-nibio-fiskeslam,https://www.nibio.no/tema/jord/organisk-avfall-som-gjodsel/fiskeslam,public-research,NO,read,Fish-sludge fertilizer potential and limitations context,Context only not actor verification,2026-06-24
src-car-007-brreg,https://data.brreg.no/enhetsregisteret/api/enheter,registry-api,NO,read,Org-number legal name municipality founding-year and status checks,NACE/activity is not circular impact proof,2026-06-24
src-car-008-reko-primary,https://www.rekonorge.no/organisasjon-reko-norge,actor-primary,NO,read,REKO national organization and autonomous local ring caveat,Not an audited producer count,2026-06-24
src-car-008-brreg-reko,https://data.brreg.no/enhetsregisteret/api/enheter/935472350,registry-api,NO,read,REKO Norge legal identity and founding date,Registry does not prove ring coverage,2026-06-24
src-car-008-r12-market-gardens,research/_status/R12-ACTOR-001-markedshager-og-smaaskala-gront.md,local-md,NO,read,Market garden and small-scale vegetable network candidates,Internal triage not verification source,2026-06-24
src-car-008-r12-csa,research/_status/R12-ACTOR-003-andelslandbruk-etter-2023.md,local-md,NO,read,Andelslandbruk directory candidates and count caveats,Directory candidates not active-farm proof,2026-06-24
src-car-008-kvann-about,https://kvann.no/om-oss/,actor-primary,NO,read,KVANN seed saving plant diversity and useful-plant network,No open farm/member ledger,2026-06-24
src-car-008-kvann-skoghage,https://kvann.no/2026/06/11/er-du-interessert-i-skoghage-eller-skogslandbruk-agroforestry/,actor-primary,NO,read,Forest garden/agroforestry interest mapping workstream,Invitation not participant verification,2026-06-24
src-car-008-solhatt-primary,https://solhatt.no/,actor-primary,NO,read,Organic seed offer and Norwegian-produced seed positioning,Product range not impact evidence,2026-06-24
src-car-008-root2fork,https://www.agroecologypartnership.eu/en/projects/root2fork/partners,project-page,Nordic,read,Root2Fork partner page with Norwegian Seed Savers/KVANN link,Project row not farm ledger,2026-06-24
src-car-008-nibio-genressurssenter,https://www.nibio.no/om-nibio/vare-fagdivisjoner/divisjon-for-kart-og-statistikk/norsk-genressurssenter,public-research,NO,read,Norsk genressurssenter genetic-resource mandate,Not a producer/practitioner list,2026-06-24
src-car-008-brreg,https://data.brreg.no/enhetsregisteret/api/enheter,registry-api,NO,read,Org-number and identity checks for selected practice actors,Registry identity not current practice proof,2026-06-24
src-car-009-innovasjon-gronn-plattform,https://www.innovasjonnorge.no/tjeneste/gronn-plattform,public-program,NO,read,Innovation Norway and Gronn plattform program evidence,Funding call does not prove actor impact,2026-06-24
src-car-009-forskningsradet-matbio,https://www.forskningsradet.no/portefoljer/landbasert-mat-miljo-og-bioressurser/portefoljeplanen-for-landbasert-mat-miljo-og-bioressurser/prioriteringer/prioriteringer-i-forholdet-til-eus-rammeprogram/,public-program,NO,read,Research Council food bioresources and circular economy portfolio context,Portfolio priorities are not project outcomes,2026-06-24
src-car-009-forskningsradet-gronn-plattform,https://www.forskningsradet.no/finansiering/gronn-plattform/,public-program,NO,read,Gronn plattform scope and operators,Broad green instrument not food-specific by default,2026-06-24
src-car-009-forskningsradet-baerekraftig-for,https://www.forskningsradet.no/utlysninger/2025/kunnskapsgrunnlag-regelverksutvikling-barekraftig-for-husdyr/,public-call,NO,read,Sustainable feed mission and circular/raw-material knowledge gaps,Goal and call text do not prove adoption,2026-06-24
src-car-009-siva-katapult,https://siva.no/vekstkraft/en-katapult-inn-i-fremtiden-2/,public-instrument,NO,read,Siva biofermentation and innovation infrastructure role,Use for mechanism not current funding totals,2026-06-24
src-car-009-katapult-ocean-investments,https://www.katapultocean.com/investments,actor-primary,NO,read,Katapult Ocean circular resources food and water investment thesis,Portfolio claims require company-level verification,2026-06-24
src-car-009-kavlifondet-matsentralen,https://www.kavlifondet.no/no/prosjekter/vi-stotter-matsentralen,foundation-primary,NO,read,Kavlifondet support for Matsentralen establishment and development,Grant support is not redistribution KPI proof,2026-06-24
src-car-009-axfoundation-future-food,https://www.axfoundation.se/en/program/future-food,foundation-primary,SE,read,Nordic circular food/feed do-tank reference,Sweden/context only,2026-06-24
src-car-009-nibio-one-health,https://www.nibio.no/tema/mat/en-helse-i-landbruks-og-matproduksjonen,research-primary,NO,read,NIBIO food feed bioresource and circular economy research role,Not actor-output source,2026-06-24
src-car-009-sintef-biookonomi,https://www.sintef.no/fagomrader/sirkulaer_biookonomi/,research-primary,NO,read,SINTEF circular bioeconomy and side-stream framing,Research area not production,2026-06-24
src-car-009-norsus-matsvinn,https://norsus.no/en/forskningsomrade/matsvinn/,research-primary,NO,read,NORSUS food-waste research scope across value chain,Research role only,2026-06-24
src-car-009-brreg,https://data.brreg.no/enhetsregisteret/api/enheter,registry-api,NO,read,Org-number municipality legal identity and status checks,NACE/incorporation not circular-food role proof,2026-06-24
src-car-010-brreg-roles,https://data.brreg.no/enhetsregisteret/api/enheter/{orgnr}/roller,registry-api,NO,read,Role endpoints for selected Norwegian actors,Role identity not circular impact proof,2026-06-24
src-car-010-tgtg-history,https://www.toogoodtogo.com/en-us/about-us/our-history,actor-primary,Global/NO,read,Too Good To Go global history and Mette Lykke role context,Do not import secondary global founder lists into Norway row,2026-06-24
src-car-010-matvett-contact,https://www.matvett.no/kontakt,actor-primary,NO,read,Matvett key people,Governance context not throughput,2026-06-24
src-car-010-matvett-about,https://www.matvett.no/om-matvett,actor-primary,NO,read,Matvett ownership/stakeholder structure,Sector ownership not operational output,2026-06-24
src-car-010-pronofa-about,https://pronofa.no/en/about/,actor-primary,NO,read,Pronofa leadership and ownership context,Do not revive older insect framing,2026-06-24
src-car-010-invertapro-about,https://www.invertapro.com/en/om-oss,actor-primary,NO,read,Invertapro team and co-founder source basis,Avoid secondary investor claims,2026-06-24
src-car-010-seaweed-solutions-story,https://seaweedsolutions.com/our-story,actor-primary,NO,read,Seaweed Solutions founder/source story,No volume inference,2026-06-24
src-car-010-arctic-seaweed-about,https://aseaweed.com/portfolio/about-us/,actor-primary,NO,read,Arctic Seaweed CEO/founder/team context,Not food-producer proof,2026-06-24
src-car-010-hoff-about,https://www.hoff.no/om-oss/,actor-primary,NO,read,HOFF leadership and cooperative ownership context,Do not treat all rest resources as human-food upcycling,2026-06-24
src-car-010-biomega-gcrieber,https://biomegagroup.com/gc-rieber-kjoper-biomega/,actor-primary,NO,read,Biomega acquisition announcement by GC Rieber,Do not call completed without completion source,2026-06-24
src-car-010-hbc-annual,https://hofsethbiocare.com/uploads/images/669694_Hofseth-Biocare-2025-Annual-report.pdf,annual-report,NO,read,Hofseth BioCare shareholder and governance context,No clinical/market claims imported,2026-06-24
src-car-010-pelagia-management,https://www.pelagia.com/info/management,actor-primary,NO,read,Pelagia management roles,Not high-value utilization proof,2026-06-24
src-car-010-alginor-capital,https://alginor.no/2025/04/capital-raise-and-changes-in-management/,actor-primary,NO,read,Alginor management/shareholder context,Do not infer production from financing,2026-06-24
src-car-011-gruten-official,https://www.gruten.no/om-gruten,actor-primary,NO,read,Gruten wind-down and closure context,Brreg entity match unresolved,2026-06-24
src-car-011-gront-brreg,https://data.brreg.no/enhetsregisteret/api/enheter/928487512,registry-api,NO,read,Gront fra Nord reconstruction proceedings and legal identity,Does not explain restructuring cause/outcome,2026-06-24
src-car-011-pronofa-annual-2022,https://pronofa.no/wp-content/uploads/2023/06/Pronofa-ASA-Annual-Report-2022.pdf,annual-report,NO,read,Ecoprot acquisition context and Pronofa structure,Historic filing; current operating status needs follow-up,2026-06-24
src-car-011-enorm-official,https://enormbiofactory.com/,actor-primary,DK,read,ENORM BSF mechanism and CVR/contact identity,Site may be stale after bankruptcy,2026-06-24
src-car-011-enorm-agfunder,https://agfundernews.com/breaking-danish-insect-ag-firm-enorm-declared-bankrupt-after-failed-reconstruction-process,trade-media,DK,read,ENORM bankruptcy after failed reconstruction,Secondary source,2026-06-24
src-car-011-mycorena-bankruptcy,https://www.mynewsdesk.com/se/mycorena-ab/pressreleases/mycorena-ab-files-for-bankruptcy-towards-making-strategic-efforts-to-continue-operations-under-new-ownership-3334599,actor-primary-press,SE,read,Mycorena bankruptcy filing and new-ownership intent,Press release not court register,2026-06-24
src-car-011-veos-mycorena,https://www.veos-group.com/en/node/82,acquirer-primary,SE/BE,read,Naplasol/VEOS acquisition of Mycorena,Asset perimeter unspecified,2026-06-24
src-car-011-eat-winddown,https://eatforum.org/press_release/norwegian-eat-foundation-to-wind-down-in-2026-while-exploring-newpathways-for-flagship-initiatives/,actor-primary,NO,read,EAT orderly 2026 wind-down announcement,Future/process status not completed closure,2026-06-24
src-car-011-ksv-infarm,https://www.ksvadvisory.com/docs/default-source/insolvency-case-documents/infarm-indoor-urban-farming/noi-proceedings/reports/first-report-of-the-proposal-trustee-dated-november-8-2023---final.pdf?sfvrsn=6f363be1_4,insolvency-report,Global,read,Infarm Canada proceedings and operations evidence,Canada-specific not full global status,2026-06-24
src-car-011-local-evidence-pack,research/evidence-pack/sirkular-konkurser/,local-evidence,Nordic,read,Secondary/local evidence-pack failure leads for Ljusgarda DUG Hooked and Stockeld,Needs official legal follow-up,2026-06-24
src-car-012-existing-verified,research/_status/circular-food-actor-registry/CAR-registry-verified.csv,local-csv,CAR,read/write,Verified export source and output for final dedupe,Final export is not complete market coverage,2026-06-24
src-car-012-batch-deltas,research/_status/circular-food-actor-registry/CAR-00{4..11}-registry-delta.csv,local-csv,CAR,read,Batch deltas used for dedupe and coverage counts,Candidate/context rows remain unverified,2026-06-24
