actor_id,canonical_name,aliases,org_number,country,county,municipality,website,actor_kind,circular_category,value_chain_stage,r_ladder_level,circular_mechanism,product_or_stream,status,founding_year,founders_or_key_people,employee_count,revenue_latest,strongest_source,weakest_point,source_class,gap_type,gate,registry_decision,confidence,ikke_si,last_checked
car-no-kavlifondet,Kavlifondet,,,NO,,,https://kavlifondet.no,foundation,finansiering/støtte,support,unknown,grant funding for food and social projects,matrelaterte prosjekter,active,,,,,research/intake/perplexity-2026-04-20-runde2/new-actors.json,Specific circular food grants need source,B,Type A,source-shortlist,needs_brreg,medium,Do not infer actor impact from funding mandate,2026-06-24
car-no-the-magic-factory,The Magic Factory,Den Magiske Fabrikken,,NO,Vestfold,Tønsberg,,project,biogass/digestat,waste,R8,food waste to biogas and biofertilizer,matavfall husdyrgjødsel digestat,active,,,,,research/exa-circular-actors-2026-04-21.md,Facility ownership and capacity need primary PCQ,B,Type A,PCQ,needs_brreg,medium,Do not use 70000 tonnes/year without primary facility source,2026-06-24
car-no-greve-biogass-lindum,Greve Biogass / Lindum,,,NO,Vestfold,,,company,biogass/digestat,waste,R8,regional biogas from food and agricultural waste,matavfall og husdyrgjødsel,active,,,,,research/exa-circular-actors-2026-04-21.md,Separate legal entities and ownership must be split later,B,Type A,source-shortlist,needs_brreg,medium,Do not keep combined row in verified export,2026-06-24
car-no-oslo-kommune-biogas,Oslo kommune biogas,,,NO,Oslo,Oslo,https://www.oslo.kommune.no,municipal,biogass/digestat,waste,R8,municipal food waste to biogas,matavfall,active,,,,,research/exa-circular-actors-2026-04-21.md,Needs specific facility/source locator,B,Type A,source-shortlist,candidate,medium,Do not treat municipal infrastructure as company actor,2026-06-24
car-no-norsus,NORSUS,,,NO,Østfold,Fredrikstad,https://norsus.no,research,FoU/nettverk,research,unknown,LCA and food-waste research,matavfall og LCA,active,,,,,research/exa-circular-actors-2026-04-21.md,Project-specific claims need source,B,Type A,source-shortlist,needs_brreg,medium,Do not treat research institute as producer,2026-06-24
car-no-gront-fra-nord,Grønt fra Nord,,,NO,Nordland,,,company,CEA/vertical farming,primary,R2,controlled-environment vegetable production,grøntproduksjon,restructured,,,,,research/exa-circular-actors-2026-04-21.md,Restructuring status needs primary/legal source,B,Type A,source-shortlist,needs_brreg,low,Do not mark bankruptcy/restructuring without primary confirmation,2026-06-24
car-no-nomy,Norwegian Mycelium,NoMy,,NO,,,,company,mykoprotein/fermentering,processing,R2,mycoprotein startup,mykoprotein,unknown,,,,,research/exa-circular-actors-2026-04-21.md,Legal name and org number unclear,B,Type A,source-shortlist,needs_brreg,low,Do not import founder or active status until entity is identified,2026-06-24
car-no-reko-norge,REKO Norge,,,NO,,,https://www.rekonorge.no/organisasjon-reko-norge,network,regenerativ/lokal praksis,distribution,R1,direct sales network,lokalmat og direkte salg,active,2025,,,,research/external/r12/R12-ACTOR-002-reko-norge-2025-2026.md,Updated ring/producer/customer counts not closed,A/B,Type A,source-shortlist,candidate,medium,Do not use 2020 numbers as 2025/2026 status,2026-06-24
car-no-markedshager-norge,Markedshager Norge,,,NO,,,https://www.markedshage.no/markedshager-i-fylkene/,network,regenerativ/lokal praksis,primary,R2,market garden map and network,småskala grønt,active,,,,,research/_status/R12-ACTOR-001-markedshager-og-smaaskala-gront.md,Map is not complete producer register,A/B,Type B,actor-gate,candidate,medium,Do not treat map points as verified active producers,2026-06-24
car-no-smaskala-gront-norge,Småskala Grønt Norge,,,NO,,,https://www.markedshage.no/nb/nyheter/2026/06/smaskala-gront-norge-har-apnet-for-innmelding/,network,regenerativ/lokal praksis,support,R2,producer organization for small-scale vegetables,grønt frukt urter bær blomster,active,2026,,,,research/_status/R12-ACTOR-001-markedshager-og-smaaskala-gront.md,Member list and coverage not open,A/B,Type B,actor-gate,candidate,medium,Do not infer national membership coverage,2026-06-24
car-no-kvann,KVANN / Norwegian Seed Savers,KVANN,,NO,,,https://kvann.no,network,regenerativ/lokal praksis,support,R2,seed saving and useful plant network,frø og nytteplanter,active,,,,,research/external/r12/R12-ACTOR-004-kvann-skogshage-og-fronettverk.md,Membership/farm list not open,A/B,Type B,actor-gate,candidate,medium,Do not treat organization as complete garden/farm list,2026-06-24
car-no-norsk-genressurssenter,Norsk genressurssenter,,,NO,,,https://www.nibio.no,public,FoU/nettverk,research,unknown,genetic resources institution,plantegenetiske ressurser,active,,,,,research/external/r12/R12-ACTOR-004-kvann-skogshage-og-fronettverk.md,Institution role only; not a producer list,A,Type A,source-shortlist,candidate,high,Do not use as local food actor,2026-06-24
car-no-solhatt-okologiske-fro,Solhatt økologiske frø,Solhatt,,NO,,,https://solhatt.no,company,regenerativ/lokal praksis,input,R2,organic seed production and sales,frø,active,,,,,research/external/r12/R12-ACTOR-004-kvann-skogshage-og-fronettverk.md,Volume and supplier network need actor verification,B,Type B,actor-gate,candidate,medium,Do not infer seed-network scale,2026-06-24
car-no-root2fork,Root2Fork,,,Nordic,,,,project,regenerativ/lokal praksis,research,R2,multi-strata agroforestry project,skogshage/agroforestry,active,,,,,research/external/r12/R12-ACTOR-004-kvann-skogshage-og-fronettverk.md,Norwegian farm nodes need own locator,A/B,Type B,actor-gate,context,medium,Do not import project as farm actor,2026-06-24
car-no-andelslandbruk-okoguiden,Økoguiden andelslandbruk candidates,Andelslandbruk,,NO,,,https://okologisknorge.no/oekoguiden/,network,regenerativ/lokal praksis,primary,R2,CSA candidate map,andelslandbruk,unknown,,,,,research/_status/R12-ACTOR-003-andelslandbruk-etter-2023.md,71/72 candidate hits are not verified active farms,A/B,Type B,actor-gate,candidate,medium,Do not treat candidate map count as active farm total,2026-06-24
car-no-kaffegrut-datagap,Kaffegrut urban side-stream data gap,,,NO,,,,project,sidestrøm/upcycling,waste,R2,coffee grounds side-stream mapping,kaffegrut,unknown,,,,,research/external/r12/R12-WASTE-004-kaffegrut-og-urbane-sidestrommer.md,No specific actor throughput found,C,Type C,parkert,parked,medium,Do not create actor rows from mass-balance estimates alone,2026-06-24
car-se-axfoundation,Axfoundation,,,SE,,,https://www.axfoundation.se,foundation,finansiering/støtte,support,multi,circular food and feed do-tank,feed sidestream innovation,active,,,,,research/intake/perplexity-2026-04-20/new-actors.json,Nordic context only for v1; not Norway coverage,B,Type A,source-shortlist,context,medium,Do not count as Norwegian registry coverage,2026-06-24
car-fi-volare,Volare,,,FI,,,https://volare.fi,company,insekter,processing,R2,BSF from food industry side-streams,insect protein,scaling,,,,,research/intake/perplexity-2026-04-20-runde2/new-actors.json,Nordic context and funding/status need primary source,B,Type A,source-shortlist,context,medium,Do not use funding as realized production,2026-06-24
car-fi-enifer,Enifer,,,FI,,,https://enifer.com,company,mykoprotein/fermentering,processing,R2,PEKILO mycoprotein from industrial side-streams,mykoprotein,scaling,,,,,research/intake/perplexity-2026-04-20-runde2/new-actors.json,Nordic context only and factory status needs primary source,B,Type A,source-shortlist,context,medium,Do not use planned capacity as production,2026-06-24
car-dk-enorm-biofactory,ENORM BioFactory,Enorm Biofactory,,DK,,,,company,konkurs/failure case,processing,R2,BSF insect protein factory,insect protein,bankrupt,,,,,research/intake/perplexity-2026-04-20-runde2/new-actors.json,Bankruptcy needs legal/primary source before external claim,B,Type A,source-shortlist,context,medium,Do not treat bankruptcy as proof insect protein cannot work,2026-06-24
car-se-mycorena,Mycorena AB,Mycorena,,SE,,,https://mycorena.com,company,konkurs/failure case,processing,R2,mycoprotein startup,mykoprotein,bankrupt,,,,,research/intake/perplexity-2026-04-20/new-actors.json,Bankruptcy/acquisition needs primary/legal source,B,Type A,source-shortlist,context,medium,Do not erase acquired IP/successor status,2026-06-24
car-dk-kaffe-bueno,Kaffe Bueno,,,DK,,,https://kaffebueno.com,company,sidestrøm/upcycling,processing,R2,spent coffee grounds biorefinery,kaffegrut,scaling,,,,,research/intake/perplexity-2026-04-20-runde2/new-actors.json,Nordic context only; capacity needs primary source,B,Type A,source-shortlist,context,medium,Do not transfer Denmark capacity to Norway,2026-06-24
car-se-nordic-seafarm,Nordic SeaFarm,,,SE,,,https://www.nordicseafarm.com,company,tang/tare,primary,R2,macroalgae cultivation,kelp,active,,,,,research/intake/perplexity-2026-04-20-runde2/new-actors.json,Nordic context only,B,Type A,source-shortlist,context,medium,Do not count as Norwegian seaweed coverage,2026-06-24
car-fo-ocean-rainforest,Ocean Rainforest,,,FO,,,https://oceanrainforest.com,company,tang/tare,primary,R2,offshore macroalgae farming,seaweed,active,,,,,research/intake/perplexity-2026-04-20-runde2/new-actors.json,Nordic context only,B,Type A,source-shortlist,context,medium,Do not count as Norway coverage,2026-06-24
