id,pakke,k_kode,land,verdikjedeledd,pastand,type,tall,enhet,aar,kilde_url,utgiver,publisert,lokator,sitat,kildetype,status,relevans,kommentar
G2-FI-008,G2,K2,FI,hele kjeden,YTS: kompetanse hos bedrifter og offentlige organisasjoner skal sikres også i emergens.,policy_mål,,,2017,https://turvallisuuskomitea.fi/wp-content/uploads/2018/04/YTS_2017_english.pdf,Turvallisuuskomitea,2017,security of supply,Competence essential for business operators and public organisations and their capacity to produce innovations is also safeguarded in emergencies.,primær,lest_i_kilde,søknad,
G2-DK-001,G2,K2,DK,foredling,"Fødevarestyrelsens fødevareberedskap håndterer tilbaketrekking og utbrudd, ikke primært forsyningsvolum.",fakta,,,,https://foedevarestyrelsen.dk/kost-og-foedevarer/foedevaresikkerhed/foedevareberedskab,Fødevarestyrelsen,u.å.,ingress,"sikre, at farlige fødevarer, foder og fødevarekontaktmaterialer (FKM) bliver trukket tilbage fra markedet",primær,lest_i_kilde,aktørkart,
G2-DK-002,G2,K2,DK,hele kjeden,FVST er dansk kontaktpunkt for EU Crises Coordinators for foder og fødevarer.,fakta,,,,https://foedevarestyrelsen.dk/kost-og-foedevarer/foedevaresikkerhed/foedevareberedskab,Fødevarestyrelsen,u.å.,Opgaver,Kontaktpunkt for EU Crises Coordinators i forbindelse med EU Kommissionens beredskabsforanstaltninger for foder og fødevarer,primær,lest_i_kilde,søknad,
G2-DK-003,G2,K2,DK,hele kjeden,FVST sender forhåndsutdannet forbindelsesofficer til NOST ved behov.,implementert,,,,https://foedevarestyrelsen.dk/om-os/nationalt-og-internationalt-samarbejde/nationale-samarbejder/foedevarestyrelsen-og-det-nationale-beredskab,Fødevarestyrelsen,u.å.,NOST,en på forhånd udpeget og uddannet forbindelsesofficer (FO),primær,lest_i_kilde,indikator,
G2-DK-004,G2,K2,DK,primærproduksjon,"FVST samfunnskritiske funksjoner inkluderer produksjon og forsyning av fødevarer, foder og dyr.",fakta,,,,https://foedevarestyrelsen.dk/om-os/nationalt-og-internationalt-samarbejde/nationale-samarbejder/foedevarestyrelsen-og-det-nationale-beredskab/foedevarestyrelsens-beredskabsplaner,Fødevarestyrelsen,u.å.,samfundskritiske funktioner,"Produktion og forsyning af fødevarer, foder og levende dyr",primær,lest_i_kilde,aktørkart,
G2-DK-005,G2,K2,DK,hele kjeden,FVST skal evaluere løpende under hendelser/kriser og øvelser.,implementert,,,,https://foedevarestyrelsen.dk/om-os/nationalt-og-internationalt-samarbejde/nationale-samarbejder/foedevarestyrelsen-og-det-nationale-beredskab/foedevarestyrelsens-beredskabsplaner,Fødevarestyrelsen,u.å.,Evaluering,evaluering under en hændelse eller krise og øvelser,primær,lest_i_kilde,indikator,
G2-DK-006,G2,K2,DK,hele kjeden,Beredskapsplaner sendes til Beredskabsstyrelsen minst hvert fjerde år.,implementert,4,år,,https://foedevarestyrelsen.dk/om-os/nationalt-og-internationalt-samarbejde/nationale-samarbejder/foedevarestyrelsen-og-det-nationale-beredskab/foedevarestyrelsens-beredskabsplaner,Fødevarestyrelsen,u.å.,Revision,"Ved væsentlig opdatering indsendes beredskabsplaner til Beredskabsstyrelsen, dog mindst hvert fjerde år",primær,lest_i_kilde,bakgrunn,Beredskabsloven
G2-IS-001,G2,K2,IS,hele kjeden,"Almannavarnir (NCIP) har daglig rolle inkl. planning, training and equipment.",implementert,,,,https://www.almannavarnir.is/english/about-the-department-of-civil-protection-and-emergency-management/,Almannavarnir / NCIP,u.å.,day-to-day functions,"planning, training and equipment",primær,lest_i_kilde,aktørkart,
G2-IS-002,G2,K2,IS,hele kjeden,Lög um almannavarnir krever at staðfestar viðbragðsáætlanir skal æves.,lov,,,2008,https://www.althingi.is/lagas/141b/2008082.html,Alþingi,2008-06-12,§17,skal hún æfð eftir því sem frekast er kostur,primær,lest_i_kilde,indikator,Lagasafn-versjon kan være eldre
G2-IS-003,G2,K2,IS,import og innsatsvarer,Almannavarna- og öryggismálaráð skal omtale nødvendige birgðir for nasjonens livsgrunnlag.,lov,,,2008,https://www.althingi.is/lagas/141b/2008082.html,Alþingi,2008,§3,nauðsynlegar birgðir til þess að tryggja lífsafkomu þjóðarinnar á hættutímum,primær,lest_i_kilde,hvitbok_kap7,
G2-IS-004,G2,K2,IS,distribusjon og handel,§27 gir hjemmel til å regulere salg/distribusjon eller ekspropriere matvæli i fare.,lov,,,2008,https://www.althingi.is/lagas/141b/2008082.html,Alþingi,2008,§27,"taka eignarnámi matvæli, eldsneyti, varahluti, lyf og aðrar nauðsynjar",primær,lest_i_kilde,aktørkart,
G2-IS-005,G2,K2,IS,hele kjeden,Ríkislögreglustjóri skal forestå þjálfun og fræðsla innen almannavarnir.,lov,,,2008,https://www.althingi.is/lagas/141b/2008082.html,Alþingi,2008,§7,annast ríkislögreglustjóri þjálfun og fræðslu á sviði almannavarna,primær,lest_i_kilde,søknad,
G2-IS-006,G2,K2,IS,hele kjeden,Island deltar i EFSCM via matdepartement og Food and Veterinary Authority.,fakta,,,,https://agriculture.ec.europa.eu/common-agricultural-policy/agri-food-supply-chain/ensuring-global-food-supply-and-food-security_en,European Commission DG AGRI,u.å.,Non-EU countries,"Ministry of Food, Agriculture and Fisheries / The Icelandic Food and Veterinary Authority",primær,lest_i_kilde,aktørkart,
G2-NX-001,G2,K2,Norden,hele kjeden,Karlstad-erklæringen (19.06.2024) forplikter til dypere nordisk matberedskapssamarbeid og felles kunnskap.,policy_mål,,,2024,https://www.regeringen.se/artiklar/2024/06/deklaration-om-beredskapsfragor-robusthet-och-resiliens-beslutad-pa-ministerradsmote-mr-fjls/,Regeringen.se / MR-FJLS,2024-06-20,artikkel,"fördjupat nordiskt samarbete kring frågor gällande beredskap, robusthet och resiliens",primær,lest_i_kilde,hvitbok_kap10,Full norden.org-tekst Cloudflare-blokkert
G2-NX-002,G2,K2,Norden,hele kjeden,Nordisk deklarasjon om försörjningsberedskap undertegnet 02.09.2026.,vedtak,,,2026,https://www.regeringen.se/pressmeddelanden/2026/09/nordisk-deklaration-om-forsorjningsberedskap-undertecknad/,Regeringskansliet (SE),2026-09-02,pressemelding,Den nordiska deklarationen om försörjningsberedskap undertecknades den 2 september 2026,primær,lest_i_kilde,søknad,NSSN / Nordic Supplies Summit
G2-NX-003,G2,K2,Norden,distribusjon og handel,"02.09.2026-erklæringen skal sikre fungerende produksjon, logistikk, distribusjon og handel i krise/krig.",policy_mål,,,2026,https://www.regeringen.se/pressmeddelanden/2026/09/nordisk-deklaration-om-forsorjningsberedskap-undertecknad/,Regeringskansliet,2026-09-02,ingress,"säkerställa fungerande produktion, logistik, distribution och handel även under allvarliga kriser",primær,lest_i_kilde,hvitbok_kap10,
G2-EU-001,G2,K2,EU,hele kjeden,EU Preparedness Union Strategy (26.03.2025) lanserer 30 tiltak og preparedness-by-design.,policy_mål,30,tiltak,2025,https://civil-protection-humanitarian-aid.ec.europa.eu/news-stories/news/eu-preparedness-union-strategy-prevent-and-react-emerging-threats-and-crises-2025-03-26_en,European Commission / ECHO,2025-03-26,Key objectives,30 key actions and a detailed Action Plan,primær,lest_i_kilde,søknad,
G2-EU-002,G2,K2,EU,"forbruk, storhusholdning og kjøkken",Strategien anbefaler preparedness i skolepensum og EU Preparedness Day.,policy_mål,,,2025,https://civil-protection-humanitarian-aid.ec.europa.eu/news-stories/news/eu-preparedness-union-strategy-prevent-and-react-emerging-threats-and-crises-2025-03-26_en,European Commission,2025-03-26,Population Preparedness,Integrate preparedness lessons into school curricula and introduce an EU Preparedness Day,primær,lest_i_kilde,søknad,
G2-EU-003,G2,K2,EU,hele kjeden,Strategien vil gjennomføre regelmessige EU-wide preparedness exercises på tvers av sektorer.,policy_mål,,,2025,https://civil-protection-humanitarian-aid.ec.europa.eu/news-stories/news/eu-preparedness-union-strategy-prevent-and-react-emerging-threats-and-crises-2025-03-26_en,European Commission,2025-03-26,Civil-Military,"Conduct regular EU-wide preparedness exercises, uniting armed forces, civil protection, police, security, healthcare workers, and firefighters",primær,lest_i_kilde,indikator,
G2-EU-004,G2,K2,EU,import og innsatsvarer,Niinistö Safer Together anbefaler kartlegging av essential inputs inkl. foodstuffs og minimum preparedness targets.,anbefaling,,,2024,https://commission.europa.eu/document/download/5bb2881f-9e29-42f2-8b77-8739b19d047c_en?filename=2024_Niinisto-report_Book_VF.pdf,Sauli Niinistö / European Commission,2024,Executive Summary stockpiling,"essential inputs (e.g. foodstuffs, energy, critical raw materials, emergency response equipment, medical countermeasures)",primær,lest_i_kilde,hvitbok_kap7,
G2-EU-005,G2,K2,EU,hele kjeden,Niinistö anbefaler å styrke EUs exercise and training culture og PP simulation exercises.,anbefaling,,,2024,https://commission.europa.eu/document/download/5bb2881f-9e29-42f2-8b77-8739b19d047c_en?filename=2024_Niinisto-report_Book_VF.pdf,Sauli Niinistö,2024,Executive Summary,Enhance the EU’s exercise and training culture. / joint public-private training and simulation exercises,primær,lest_i_kilde,søknad,
G2-EU-006,G2,K2,EU,hele kjeden,EFSCM samler offentlige og private aktører for matforsyningsberedskap.,implementert,,,2021,https://agriculture.ec.europa.eu/common-agricultural-policy/agri-food-supply-chain/ensuring-global-food-supply-and-food-security_en,European Commission DG AGRI,2021+,EFSCM ingress,brings together public and private actors of the food chain to improve preparedness to threats to EU food security,primær,lest_i_kilde,aktørkart,NO/SE/FI/DK/IS listet
G2-EU-007,G2,K2,EU,import og innsatsvarer,"COM stockpiling strategy: EFSCM skal dypes for info, transparens og solidaritet i agri-food stockpiling.",policy_mål,,,2025,https://civil-protection-humanitarian-aid.ec.europa.eu/document/download/c57d4067-1900-4616-9239-ca4598b55d69_en?filename=COM_2025_528_1_EN_ACT_combined.pdf,European Commission,2025,s.4–5 agri-food,"EFSCM should be deepened and operationalised to enhance information exchange, transparency and solidarity in stockpiling",primær,lest_i_kilde,hvitbok_kap7,
