priority,country,theme,source_title,source_type,local_status,recommended_target,action,notes
P1,Denmark,climate_policy,"Green Tripartite Agreement / Aftale om et Gront Danmark",official_policy,"report seed added; local note linked; CountryMetric seeds added for nominal tax rates, compensation share and expected 2030 reduction","Report + CountryMetric","attach official document/PDF if needed; verify effective-rate interpretation before use","Core source for Danish agriculture climate tax and land conversion."
P1,Denmark,feed_import,"Danish soy import and traceability report",research_report,"report seed added; CountryMetric seeds added for soybean meal imports, feed-use share, traceability/certification and 2023 climate-footprint scenarios","Report + CountryMetric","attach PDF/source snapshot if needed; later connect to Danish Alliance/company actors","Needed for claims about soy volume and physical traceability."
P1,Denmark,biogas,"Biogas Danmark statistics/outlook",industry_statistics,"Evida 2024 and Biogas Outlook 2024 seeded as Report + CountryMetric; metrics added for gas-grid actuals, gas-consumption share, scenario production, net climate effect, phosphorus recycling and nitrogen leaching","SourceDoc + CountryMetric","later extract official Energistyrelsen/Statistics Denmark tables and detailed substrat data","Needed for production, feedstock and circular nutrient indicators."
P1,Sweden,agriculture_ghg,"Riksrevisionen 2025 report on agriculture climate policy",audit_report,"report seed added; CountryMetric seeds added for 2023 emissions and source shares","Report + CountryMetric","attach official PDF if needed","Key for claim about weak instruments for agriculture emissions."
P1,Sweden,food_waste,"Naturvardsverket livsmedelsavfall 2024/2025",official_statistics,"report seed added; CountryMetric seeds added for 2024 retail/consumer-stage split","SourceDoc + CountryMetric","later attach statistics sheet/PDF and primary/industry data when available","Needed for household/retail/restaurant waste split."
P1,Sweden,consumption,"Jordbruksverket food and meat consumption statistics",official_statistics,"report seed added; CountryMetric seeds added for 2024 diet and nutrient-supply indicators","SourceDoc + CountryMetric","later attach detailed tables/API extract","Needed for meat, dairy and food balance trends."
P1,Finland,peatlands,"Luke / Finnish climate reports on cultivated peat soils",official_research,"report seed added; CountryMetric seeds added for peat-soil emission shares and 2050 pathway potentials","Report + CountryMetric","later attach roadmap PDF/full text if needed","Core Finnish agriculture climate issue."
P1,Finland,kosthold,"Finnish Nutrition Recommendations 2024",official_guidelines,"report seed added with ISBN; metrics not extracted","Report + CountryMetric","attach full document/PDF and extract recommendation metrics","Needed for 350 g red meat and legumes recommendations."
P1,Finland,biogas,"Finnish Biocycle and Biogas Association investment pipeline",industry_statistics,"report seed added; Statistics Finland actual production report added; CountryMetric seeds added for 2024 production/consumption/flaring plus 2024-2027 pipeline and 2030/2035/2040 forecasts","Report + CountryMetric","attach PDF/table snapshots if needed; later extract StatFin table 127t by plant type","Needed for 52 planned plants and biomethane potential."
P1,Finland,industry,"Valio annual/climate report 2024",company_report,"report seed added; CountryMetric seeds added for Valio climate programme, scale, Carbo calculator, regenerative farming area and manure-biogas target","Report + Actor + CountryMetric","create/link Actor/Company profile later","Needed for soy-free dairy and climate programme claims."
P1,Norway,food_waste,"Landbruksdirektoratet matsvinn jordbruk 2024",official_statistics,"listed as missing locally","Report/SourceDoc + CountryMetric","retrieve when available","Known gap from local matsvinn status note."
P1,Norway,food_waste,"SSB avfallshandtering ved avfallsanlegg",official_statistics,"listed as missing locally","SourceDoc + CountryMetric","retrieve/extract","Needed for waste treatment and biowaste handling."
P1,Norway,research,"NIBIO sustainability analysis of Norwegian agriculture",research_report,"listed as missing locally","Report","retrieve/import","Useful for Norway sustainability chapter."
P1,Iceland,food_policy,"Government of Iceland Food Policy and 2024 action plan",official_policy,"not confirmed structured","Report","retrieve/import","Core source for Icelandic food-system policy."
P1,Iceland,food_waste,"Matís / Environment Agency food waste measurement",official_research,"weak/partial","Report + CountryMetric","retrieve/import","Needed because Iceland data is weakest."
P1,Iceland,food_supply,"Statistics Iceland food flow / food supply statistics",official_statistics,"source registry covers area","SourceDoc + CountryMetric","extract relevant tables","Needed for import dependence and food availability."
P1,Iceland,circularity,"Iceland Ocean Cluster seafood utilization sources",industry/research_source,"partly present as source doc","SourceDoc + Actor","verify/import latest","Needed for fish by-product and 99 percent utilization claims."
P2,Nordic,sidestrømmer,"Nordic side-stream and bioeconomy reports",mixed,"scattered","Report + CountryMetric","build separate source pack","Needed for myse, fish rests, slaughter by-products, spent grain and vegetable waste."
P2,Nordic,nutrients,"Nitrogen/phosphorus runoff and circular nutrient sources",mixed,"scattered","SourceDoc + CountryMetric","build source pack","Needed for Baltic Sea, Oslofjord, manure and digestate indicators."
P2,Nordic,aquaculture_feed,"Aquaculture feed and soy/protein-source reports",mixed,"Norway strongest; others weak","Report + CountryMetric","build source pack","Needed for Norway/Iceland aquaculture and ILUC risk."
P2,Nordic,actors,"Nordic food-system institutions and companies",actor_registry,"partial","Actor + Company relations","create actor import list","Luke, Matís, Mistra, CONCITO, Valio, Arla, Biogas Danmark, etc."
