priority,nmr_priority,focus_area,indicator_code,indicator_label_working,food_systems_relevance,project_coverage,local_data_handles,coverage_status,next_action,official_source
P2,Green Nordic Region,Life on land,1.4.3,Agricultural landscape bird index,high,None,"none",gap,"Finn nordiske biodiversitetsproxyer for jordbruk eller marker som datagap",src-167
P2,Green Nordic Region,Life below water,1.5.1,Protected marine areas,medium,Weak,"sjomatnotater; Oslofjord/Ostersjo-spor",gap,"Koble marine verneomrader til fiskeri, akvakultur og fôr",src-167
P1,Green Nordic Region,Life below water,1.5.2,Baltic Sea eutrophication load,high,Weak,"NPK/fosfornotater; nutrient-flow-analyse; Ostersjo-spor",gap,"Bygg nutrient-loop datapakke for nitrogen, fosfor og avrenning",src-167
P1,Green Nordic Region,Life below water,1.5.3,Arctic and Barents fish stock status,high,Weak,"sjomat- og akvakulturnotater",gap,"Lag akvatisk matsystempakke med bestander, fangst, oppdrett og fôr",src-167
P3,Competitive Nordic Region,Quality education,2.1.1,College/university education attainment,low,None,"none",out_of_scope,"Hold som bred kompetansekontekst",src-167
P3,Competitive Nordic Region,Quality education,2.1.2,Early education leaving,low,None,"none",out_of_scope,"Ikke prioriter i forste Vision-brief",src-167
P3,Competitive Nordic Region,Quality education,2.1.3,Adult participation in continuing education,medium,Weak,"arbeidslivsnotater",gap,"Kun relevant hvis omstillingskompetanse blir eget spor",src-167
P2,Competitive Nordic Region,Decent work and economic growth,2.2.1,Employment rate,medium,Weak,"arbeidslivsnotater; verdikjedeanalyse",gap,"Koble til matsektor-sysselsetting hvis sosial baerekraft inkluderes",src-167
P2,Competitive Nordic Region,Decent work and economic growth,2.2.2,Circular/bioeconomy employment share,high,Weak,"src-92; biookonomi-notater; sidestrøm-spor",gap,"Hent sysselsetting i sirkulaer okonomi/biookonomi og vurder matandel",src-167
P3,Competitive Nordic Region,Decent work and economic growth,2.2.3,Annual GDP growth,low,None,"none",out_of_scope,"Bruk kun som makrokontekst",src-167
P2,Competitive Nordic Region,Industry innovation and infrastructure,2.3.1,R&D expenditure share of GDP,medium,Weak,"NordForsk/NKJ/Food Innovation-notater",gap,"Koble til foodtech, forskning og innovasjonsvirkemidler hvis relevant",src-167
P2,Competitive Nordic Region,Industry innovation and infrastructure,2.3.2,Environmental technology patent applications,medium,Weak,"Nordic Innovation- og foodtech-notater",gap,"Vurder kun som innovasjonsproxy; krever ny datainnhenting",src-167
P2,Competitive Nordic Region,Industry innovation and infrastructure,2.3.3,Digital economy and society index,medium,Partial,"analysis-panel; source registry; graf/dataflaten",partial,"Bruk som kontekst for digital integrasjon, ikke matsystemindikator",src-167
P3,Competitive Nordic Region,Sustainable cities and communities,2.4.1,Passenger transport share on buses/trains,low,None,"none",out_of_scope,"Ikke prioriter for matsystembrief",src-167
P3,Competitive Nordic Region,Sustainable cities and communities,2.4.2,Urban fine particulate exposure,low,None,"none",out_of_scope,"Hold utenfor scope med mindre logistikk/helse kobles inn",src-167
P3,Competitive Nordic Region,Sustainable cities and communities,2.4.3,Public open spaces in cities,low,None,"none",out_of_scope,"Ikke prioriter; NMR oppgir uansett svak statistikkdekning",src-167
P2,Competitive Nordic Region,Freedom of movement,2.5.1,Intra-Nordic immigration,medium,None,"none",gap,"Kun relevant for arbeidskraft/integrasjon; kan holdes utenfor forste brief",src-167
P1,Competitive Nordic Region,Freedom of movement,2.5.2,Imports from Nordic countries,high,Runtime all five countries,"CountryMetric.intraNordicImportShare; research/data/nordic/trade-groups/normalized/intra-nordic-food-import-share-annual.csv; research/norden/nordic-vision-2030-intra-nordic-import-queue-2026-04-29.csv",db_integrated,"DK/FI/IS/NO/SE er refetchet eller merged og seeded til CountryMetric; bruk andeler innen land, ikke verdinivåer på tvers",src-167
P2,Competitive Nordic Region,Freedom of movement,2.5.3,Intra-Nordic cross-border commuting,medium,None,"none",gap,"Vurder for arbeidskraftspor, ikke kjerneindikator",src-167
P1,Socially Sustainable Nordic Region,Good health and well-being,3.1.1,Life expectancy at birth,medium,None,"none",gap,"Bruk som helsebakgrunn; ikke matsystemspesifikk uten kostholdsdata",src-167
P1,Socially Sustainable Nordic Region,Good health and well-being,3.1.2,Self-rated health,medium,Partial proxy,"NNR Report+PDF; NORMO CountryMetric.dietFrequency + healthOutcome",supplementary_proxy,"Bruk NORMO/NNR som kosthold/helse-proxy; ikke presenter som direkte self-rated-health måling",src-167
P1,Socially Sustainable Nordic Region,Good health and well-being,3.1.3,Preventable and treatable mortality before 75,medium,Weak,"NORMO-note; NNR-note",gap,"Bruk kun med tydelig bro til kosthold og folkehelse",src-167
P2,Socially Sustainable Nordic Region,Gender equality,3.2.1,Gender-segregated labour market,medium,Weak,"kjonn/matarbeid-notat; arbeidslivsnotater",gap,"Lag sosial baerekraft-kildepakke hvis arbeidsliv skal inn",src-167
P2,Socially Sustainable Nordic Region,Gender equality,3.2.2,Fathers' parental leave share,low,None,"none",out_of_scope,"Ikke prioriter for matsystembrief",src-167
P3,Socially Sustainable Nordic Region,Gender equality,3.2.3,Women in national parliaments,low,None,"none",out_of_scope,"Hold som bred samfunnskontekst",src-167
P1,Socially Sustainable Nordic Region,Reduced inequalities,3.3.1,Gini coefficient,medium,Weak,"HICP matpris; matfattigdom-notater",gap,"Koble matprispress, lavinntekt og tilgang",src-167
P1,Socially Sustainable Nordic Region,Reduced inequalities,3.3.2,Risk of poverty or social exclusion,high,Weak,"HICP matpris; matfattigdom-notater",gap,"Finn food affordability-data eller bygg proxy med pris/lavinntekt",src-167
P2,Socially Sustainable Nordic Region,Reduced inequalities,3.3.3,Unemployment/inactivity gap for non-EU born population,medium,None,"none",gap,"Kun relevant ved arbeidslivs-/integrasjonsspor",src-167
P3,Socially Sustainable Nordic Region,Peace justice and institutions,3.4.1,Social trust,medium,None,"none",gap,"Bruk som nordisk modell-kontekst; ikke matspesifikk",src-167
P3,Socially Sustainable Nordic Region,Peace justice and institutions,3.4.2,General election turnout,low,None,"none",out_of_scope,"Hold utenfor matsystembrief",src-167
P3,Socially Sustainable Nordic Region,Peace justice and institutions,3.4.3,Local crime violence and vandalism experience,low,None,"none",out_of_scope,"Hold utenfor matsystembrief",src-167
P3,Socially Sustainable Nordic Region,Strong cultural scene,3.5.1,Culture-related imports from Nordic countries,low,None,"none",out_of_scope,"Ikke relevant for Food Systems 2026",src-167
P3,Socially Sustainable Nordic Region,Strong cultural scene,3.5.2,Public culture expenditure share of GDP,low,None,"none",out_of_scope,"Ikke relevant for Food Systems 2026",src-167
P3,Socially Sustainable Nordic Region,Strong cultural scene,3.5.3,Household cultural expenditure index,low,None,"none",out_of_scope,"Ikke relevant for Food Systems 2026",src-167
