priority,status,action,name,key,mentions,sources,score,context,source_examples
HIGH,actor_contact_only,decide_promote_to_person_profile_or_keep_actor_contact,Anja Loekken Stokke,anja-loekken-stokke,3,1,28,Leder digitalisering - NCE Heidner Biocluster,NCE Heidner Biocluster
HIGH,actor_contact_only,decide_promote_to_person_profile_or_keep_actor_contact,Gurill Narum Mediaa,gurill-narum-mediaa,3,1,28,Leder - NCE Heidner Biocluster,NCE Heidner Biocluster
HIGH,actor_contact_only,decide_promote_to_person_profile_or_keep_actor_contact,Selina Juul,selina-juul,3,1,28,Grunnlegger og leder - Stop Spild Af Mad,Stop Spild Af Mad
HIGH,actor_contact_only,decide_promote_to_person_profile_or_keep_actor_contact,Mattias Lindahl,mattias-lindahl,3,1,28,Professor - Linkoeping University,Linkoeping University
HIGH,missing_candidate,manual_validate_then_promote,Ramkumar Nair,ramkumar-nair,4,3,27,", ikke insekt, men caset er relevant som parallell i «alternative proteins».[^16][^17] ### Gründere og profil - Mycorena ble grunnlagt i Sverige, med bl.a. **Ramkumar Nair** som sentral grunnlegger og CEO, og posisjonert",research/bibliotek/forskningsrunde-2026-04-20-r2/p18-insektindustri-norden-2026-04-20.md; research/evidence-pack/sirkular-konkurser/mycorena/analysis-mycostories.md; research/evidence-pack/sirkular-konkurser/mycorena/media-vegconomist-2024.md
HIGH,missing_candidate,manual_validate_then_promote,Tom Johansson,tom-johansson,4,2,26,", developed multiple product lines, and secured listings with major retailers in Sweden and Germany, but ultimately failed to achieve financial sustainability. Tom Johansson, Founder &amp; CEO, confirmed the outcome in p",research/evidence-pack/sirkular-konkurser/hooked-foods/media-ppti.md; research/evidence-pack/sirkular-konkurser/hooked-foods/media-vegconomist.md
HIGH,missing_candidate,manual_validate_then_promote,Mona Mortensen Krane,mona-mortensen-krane,4,2,26,026) Innst. 9 S (2025-2026) Innst. 10 S (2025-2026) Se alle Stortinget Postboks 1700 Sentrum 0026 Oslo Sentralbord: 23 31 30 50 Ansvarlig redakt&oslash;r:&nbsp;Mona Mortensen Krane Nettredakt&oslash;r: Lars Henie Barstad,research/evidence-pack/stortinget/innst-130s-2025-2026.md; research/evidence-pack/stortinget/innst-173s-2023-2024.md
HIGH,actor_contact_only,decide_promote_to_person_profile_or_keep_actor_contact,Thea Simone Ingvaldsen,thea-simone-ingvaldsen,3,1,24,Intern (NMBU Biooekonomi),ActorContact
HIGH,actor_contact_only,decide_promote_to_person_profile_or_keep_actor_contact,Martin Saetra,martin-saetra,3,1,24,Intern (NMBU Biooekonomi),ActorContact
HIGH,missing_candidate,manual_validate_then_promote,Peppi Segersven,peppi-segersven,4,4,24,"ingskjede, Beredskap og Logistikk (Finland & Sverige) / Forfatter(e) / År / Institusjon / Tittel / Relevans & Lenke / / :--- / :--- / :--- / :--- / :--- / / **Peppi Segersven** / 2024 / LUT (FI) / *Development of risk ma",research/bibliotek/MASTER-PHD-BACKLOG-2026.md; research/intake/food-research-process-2026-04-20/promotion-preview-thesis.csv; research/intake/food-research-process-2026-04-20/promotion-preview-thesis.json; research/intake/food-research-process-2026-04-20/thesis-review.csv
HIGH,missing_candidate,manual_validate_then_promote,Kari Juntunen,kari-juntunen,3,3,24,"rsonfokusert informasjon, men noen navn går igjen i forbindelse med Roals enzymvirksomhet: - En bransjeartikkel om Roals FoU i mat- og fôr-enzymer viser til **Dr. Kari Juntunen**, Senior Research Scientist, som beskriver",research/bibliotek/forskningsrunde-2026-04-20/roal-oy-enzymer-finland-2026-04-20.md; research/intake/perplexity-2026-04-20/new-actors.json; research/perplexity-20-04-26/rolaere-finland-sirkulaer-for.md
HIGH,missing_candidate,manual_validate_then_promote,Jarna Hyvönen,jarna-hyvonen,3,3,24,"n – medgründer og CTO (Chief Technology Officer); ansvarlig for teknologi og prosess, omtaler selv løsningen som «upcycling i sin reneste form».[^10][^7] - Jarna Hyvönen – medgründer og nåværende CEO (tidligere COO); pre",research/bibliotek/forskningsrunde-2026-04-20-r2/p17-volare-selskapsdossier-2026-04-20.md; research/evidence-pack/sirkular-konkurser/enorm-biofactory/analysis-sifted-ynsect.md; research/exa-circular-actors-2026-04-21.md
HIGH,missing_candidate,manual_validate_then_promote,Simen Aardal Ulsaker,simen-aardal-ulsaker,3,3,24,"kademikere * **Annechen Bahr Bugge (SIFO/OsloMet):** Ledende forsker på nordmenns spisevaner og hvordan prisstigning (""dyrtid"") endrer forbrukeratferd. * **Simen Aardal Ulsaker (NHH):** Konkurranseøkonom som spesialisere","research/bibliotek/nordisk-mat-tenkere.md; research/interviews/nordisk-aktorkart-perplexity-2026.md; research/perpl-17-03/Nordiske avhandlinger og masteroppgaver om matsystemer, dagligvare og matpolitikk (2010–2026).md"
HIGH,missing_candidate,manual_validate_then_promote,Helena Hansson,helena-hansson,3,2,21,", Earth system science / Teoretisk rammeverk for barekraftig mat / / Mistra Food Futures / SE / Forskningsprogram / Barekraft og beredskap i svensk matsystem / Helena Hansson (SLU) leder / / AgriFood Economics Centre / S",research/interviews/nordisk-aktorkart-perplexity-2026.md; research/perpl-17-03/Nordisk aktørkart for matsystemkartlegging 2026.md
HIGH,missing_candidate,manual_validate_then_promote,Nesli Sozer,nesli-sozer,3,2,21,"rser / Jordbruk, matressurser, Food Vision 2040 / Finsk landbruks- og matressursforskning / / VTT / FI / Teknologiforskning / Matforskningsstrategi 2021-2035 / Nesli Sozer leder; nye proteinkilder / / SYKE / FI / Miljoef",research/interviews/nordisk-aktorkart-perplexity-2026.md; research/perpl-17-03/Nordisk aktørkart for matsystemkartlegging 2026.md
HIGH,missing_candidate,manual_validate_then_promote,Annikka Hurme,annikka-hurme,3,2,21,"rofessor) / FI / Finlands matforskningsstrategi 2021-2035 / / Minna Kaljonen / SYKE (research professor) / FI / Just Food, FoodTriggers, Food Strategy 2040 / / Annikka Hurme / Valio (CEO) / FI / Food 2.0-styringsgruppe; ",research/interviews/nordisk-aktorkart-perplexity-2026.md; research/perpl-17-03/Nordisk aktørkart for matsystemkartlegging 2026.md
HIGH,missing_candidate,manual_validate_then_promote,Erling Hjelmeng,erling-hjelmeng,3,2,19,"den — Utredning fra Dagligvarelovutvalget - **Forfatter/utgiver:** Dagligvarelovutvalget, oppnevnt ved kongelig resolusjon 26. oktober 2012. Ledet av professor Erling Hjelmeng (UiO). Avgitt til Landbruks- og matdeparteme",research/RESEARCH-AUDIT.md; research/bibliotek/nou-stortingsdok-juridisk.md
MEDIUM,meeting_participant_only,decide_if_internal_participant_should_be_profiled,Einar Kleppe Holthe,einar-kleppe-holthe,12,7,63,"c Circular Hotspot AS (St Halvards Gate 33, 0192 Oslo) - **Signed:** 16. oktober 2025 - Sindre Stemshaug Bornstein (Managing Director, Nordic Innovation) - Einar Kleppe Holthe (Nordic Circular Hotspot / Natural State) - ","Transition Groups — Kapasiteter og roller; Prosjektoppstart Food Systems TG; Strategisk ledergruppe Marked — roller, leveranser og nordisk retning; docs/meetings/TRANSITION GROUPS - Møte 13-04-26.md; research/analyse/meeting-4-research-focus.md; research/external/nch-contract/contract-201-2503-P25013.md"
MEDIUM,meeting_participant_only,decide_if_internal_participant_should_be_profiled,Jan Thomas Odegard,jan-thomas-odegard,15,10,62,Meeting participant: Transition Groups — Kapasiteter og roller,"Transition Groups — Kapasiteter og roller; JT + Gabriel — R9-rammeverk, sirkularitetssporsmal og for; Transition Groups — Mandat, scoping, aktorkartlegging og plattformstatus; Strategisk ledergruppe Marked — roller, leveranser og nordisk retning; JT + Gabriel — Arbeidsmote: Food-fokus og verdikjede; docs/meetings/JT-GABRIEL - Arbeidsmøte 13-04-26.md"
MEDIUM,meeting_participant_only,decide_if_internal_participant_should_be_profiled,Gabriel Freeman,gabriel-freeman,19,11,61,Meeting participant: Oppstart og dokumentgjennomgang,"Oppstart og dokumentgjennomgang; Transition Groups — Kapasiteter og roller; Prosjektoppstart Food Systems TG; JT + Gabriel — R9-rammeverk, sirkularitetssporsmal og for; TG-metodikk og strategisk retning; Transition Groups — Mandat, scoping, aktorkartlegging og plattformstatus"
MEDIUM,meeting_participant_only,decide_if_internal_participant_should_be_profiled,Martin Hagen,martin-hagen,13,7,61,"aker 3 Hvordan skal vi transkribere dette møtet? Speaker 1 Dette ser jo ganske riktig ut. Det er bare prosjektleder. Det er jo ingen titler, alt er topp. Martin Hagen er ikke prosjektleder bare. Det er du som er prosjekt","Oppstart og dokumentgjennomgang; Prosjektoppstart Food Systems TG; TG-metodikk og strategisk retning; Strategisk ledergruppe Marked — roller, leveranser og nordisk retning; docs/meetings/CITIES AND FOOD - Markedsmøte 16-03.md; docs/meetings/Strategisk ledergruppe Marked 16 mars 2026.md"
MEDIUM,meeting_participant_only,decide_if_internal_participant_should_be_profiled,Cathrine Barth,cathrine-barth,12,8,54,Meeting participant: Transition Groups — Kapasiteter og roller,"Transition Groups — Kapasiteter og roller; TG-metodikk og strategisk retning; Transition Groups — Mandat, scoping, aktorkartlegging og plattformstatus; Strategisk ledergruppe Marked — roller, leveranser og nordisk retning; docs/meetings/TRANSITION GROUPS - Møte 13-04-26.md; docs/meetings/TRANSITION GROUPS - Møte 21-04-26.md"
MEDIUM,meeting_participant_only,decide_if_internal_participant_should_be_profiled,Thea Martinsen,thea-martinsen,12,8,54,Meeting participant: Transition Groups — Kapasiteter og roller,"Transition Groups — Kapasiteter og roller; Transition Groups — Mandat, scoping, aktorkartlegging og plattformstatus; Strategisk ledergruppe Marked — roller, leveranser og nordisk retning; JT + Gabriel — Arbeidsmote: Food-fokus og verdikjede; docs/meetings/JT-GABRIEL - Arbeidsmøte 13-04-26.md; docs/meetings/TRANSITION GROUPS - Møte 13-04-26.md"
MEDIUM,meeting_participant_only,decide_if_internal_participant_should_be_profiled,Jan Thomas,jan-thomas,8,4,54,"e kontakter, caser, problemstillinger 6. Einar: reversere JT kapasitetsreduksjon 7. Gabriel: verdikjedeoversikt per nordisk land (volum, avtrykk, sårbarhet) 8. Jan Thomas: definere 3–5 prioriterte sirkularitetstemaer for",docs/meetings/MØTEOVERSIKT.md; docs/project/mandates/decision-log-food-tg.md; docs/project/mandates/tg-charter-food-2026.md; research/analyse/meeting-4-research-focus.md
MEDIUM,meeting_participant_only,decide_if_internal_participant_should_be_profiled,Kristian Johnsrud,kristian-johnsrud,6,4,32,Meeting participant: Transition Groups — Kapasiteter og roller,"Transition Groups — Kapasiteter og roller; Transition Groups — Mandat, scoping, aktorkartlegging og plattformstatus; docs/meetings/TRANSITION GROUPS - Møte 13-04-26.md; docs/meetings/TRANSITION GROUPS - Møte 21-04-26.md"
MEDIUM,missing_candidate,manual_review,Metro State,metro-state,2,2,16,"er mapping, det er omgivelseskartlegging, det er temakartlegging, det er metodikkartlegging, det er intern kartlegging av tidligere arbeidere innenfor temaet i Metro State eller operativ selskap. Det er kartlegging av pa",docs/meetings/CITIES AND FOOD - Markedsmøte 16-03.md; docs/meetings/Strategisk ledergruppe Marked 16 mars 2026.md
MEDIUM,missing_candidate,manual_review,Alexandra Mörner,alexandra-morner,2,2,16,"ontfigur i kommunikasjon om stiftelsens rolle som «motståndsrörelse mot likgiltighet, handlingsförlamning och byråkratisk stagnation».[^3] - **Styrets leder:** Alexandra Mörner, fremhevet som styreleder i både nyhetssake",research/bibliotek/forskningsrunde-2026-04-20/ax-foundation-kartlegging-2026-04-20.md; research/perplexity-20-04-26/ax-foundation-matsystem-program.md
MEDIUM,missing_candidate,manual_review,Maria Smith,maria-smith,2,2,16,"sk stagnation».[^3] - **Styrets leder:** Alexandra Mörner, fremhevet som styreleder i både nyhetssaker og på «Om oss»-siden.[^12][^2] - **Generalsekretær/VD:** Maria Smith, rekruttert 2019 fra ICA og siden 2019 generalse",research/bibliotek/forskningsrunde-2026-04-20/ax-foundation-kartlegging-2026-04-20.md; research/perplexity-20-04-26/ax-foundation-matsystem-program.md
MEDIUM,missing_candidate,manual_review,Roals FoU,roals-fou,2,2,16,"B Enzymes Finland Det fins relativt lite personfokusert informasjon, men noen navn går igjen i forbindelse med Roals enzymvirksomhet: - En bransjeartikkel om Roals FoU i mat- og fôr-enzymer viser til **Dr. Kari Juntunen*",research/bibliotek/forskningsrunde-2026-04-20/roal-oy-enzymer-finland-2026-04-20.md; research/perplexity-20-04-26/rolaere-finland-sirkulaer-for.md
MEDIUM,missing_candidate,manual_review,Margareth Øverland,margareth-verland,2,2,16,"160–200+ mill. NOK over 8–10 år, men eksakt tall må hentes i Forskningsrådets prosjektarkiv eller sluttrapport).[^1] - PI / nøkkelperson: Ledet av professor **Margareth Øverland** (senterleder).[^1] - Innhold og resultat",research/bibliotek/forskningsrunde-2026-04-20-r2/p05-nordiske-forskningsprogrammer-2026-04-20.md; research/bibliotek/forskningsrunde-2026-04-20-r2/p49-phd-prosjekter-norden-2026-04-20.md
MEDIUM,missing_candidate,manual_review,Alltech Fennoaqua,alltech-fennoaqua,2,2,16,"offtake‑avtale med Skretting, en global leder innen akvafeed.[^4][^17][^3] - Delta i en 150 000 kg pilot for insektfôret regnbueørret i Finland sammen med Alltech Fennoaqua, Kalankasvatus Vääräniemi og Kalavapriikki.[^4]",research/bibliotek/forskningsrunde-2026-04-20-r2/p17-volare-selskapsdossier-2026-04-20.md; research/intake/perplexity-2026-04-20-runde2/new-actors.json
MEDIUM,missing_candidate,manual_review,ETH Zürich,eth-zurich,2,2,16,"for svartvann-separasjon vs. konvensjonell VA > 7. Replikerbarhet: finnes det lignende prosjekter i andra nordiske byer? (Jenfelder Au i Hamburg, NoMix-piloten ETH Zürich) > 8. Nøkkelpersoner: prosjektleder, forskere, ko",research/bibliotek/forskningsrunde-2026-04-20-r2/p26-helsingborg-recolab-2026-04-20.md; research/rammeverk/perplexity-promptpack-møte7-2026-04-20.md
MEDIUM,missing_candidate,manual_review,Kilder: NSVA,kilder-nsva,2,2,16,"sjekter i andra nordiske byer? (Jenfelder Au i Hamburg, NoMix-piloten ETH Zürich) > 8. Nøkkelpersoner: prosjektleder, forskere, kommunale beslutningstagere > > Kilder: NSVA (Nordvästra Skånes VA), IVL Svenska Miljöinstit",research/bibliotek/forskningsrunde-2026-04-20-r2/p26-helsingborg-recolab-2026-04-20.md; research/rammeverk/perplexity-promptpack-møte7-2026-04-20.md
MEDIUM,missing_candidate,manual_review,Nordvästra Skånes VA,nordvastra-skanes-va,2,2,16,"a nordiske byer? (Jenfelder Au i Hamburg, NoMix-piloten ETH Zürich) > 8. Nøkkelpersoner: prosjektleder, forskere, kommunale beslutningstagere > > Kilder: NSVA (Nordvästra Skånes VA), IVL Svenska Miljöinstitutet, Helsingb",research/bibliotek/forskningsrunde-2026-04-20-r2/p26-helsingborg-recolab-2026-04-20.md; research/rammeverk/perplexity-promptpack-møte7-2026-04-20.md
MEDIUM,missing_candidate,manual_review,IVL Svenska Miljöinstitutet,ivl-svenska-miljoinstitutet,2,2,16,"lder Au i Hamburg, NoMix-piloten ETH Zürich) > 8. Nøkkelpersoner: prosjektleder, forskere, kommunale beslutningstagere > > Kilder: NSVA (Nordvästra Skånes VA), IVL Svenska Miljöinstitutet, Helsingborg kommun, EU HORIZON-",research/bibliotek/forskningsrunde-2026-04-20-r2/p26-helsingborg-recolab-2026-04-20.md; research/rammeverk/perplexity-promptpack-møte7-2026-04-20.md
MEDIUM,missing_candidate,manual_review,Forskning: NMBU,forskning-nmbu,2,2,16,"> 3. Volum: areal under regenerativ drift per land (ha) — hvis data finnes > 4. Støtteordninger: tilskudd, Jordbruksavtalen (NO), CAP-pillarer (SE/DK/FI) > 5. Forskning: NMBU, SLU, Aarhus Universitet, NIBIO — hvem forske",research/bibliotek/forskningsrunde-2026-04-20-r2/p47-regenerativt-landbruk-norden-2026-04-20.md; research/rammeverk/perplexity-promptpack-møte7-2026-04-20.md
MEDIUM,missing_candidate,manual_review,Kilder: Regenerative Nordics,kilder-regenerative-nordics,2,2,16,", Aarhus Universitet, NIBIO — hvem forsker på dette? > 6. Kommersielle produkter: «regenerativt» som merkevare — hvem bruker det? (Arla, TINE, Lantmännen?) > > Kilder: Regenerative Nordics, Savory Institute Europe, 4 per",research/bibliotek/forskningsrunde-2026-04-20-r2/p47-regenerativt-landbruk-norden-2026-04-20.md; research/rammeverk/perplexity-promptpack-møte7-2026-04-20.md
MEDIUM,missing_candidate,manual_review,Line Gordon,line-gordon,2,2,16,"nte Axelsson:** Agronom og nasjonal samordner for ""Fossilfritt Sverige"", sentral i debatten om landbrukets klimatomstilling. ### Forskere og Akademikere * **Line Gordon (Stockholm Resilience Centre):** Verdenskjent forsk",research/bibliotek/nordisk-mat-tenkere.md; research/interviews/nordisk-aktorkart-perplexity-2026.md
MEDIUM,missing_candidate,manual_review,Helgi Eyleifur,helgi-eyleifur,2,2,16,tir (Universitetet på Island):** Professor som i 2025 ledet arbeidet med den knusende matsikkerhetsrapporten som krevde etablering av nasjonale nødlagre. * **Helgi Eyleifur Þorvaldsson (Landbrukshøgskolen - AUI):** Forsk,research/bibliotek/nordisk-mat-tenkere.md; research/evidence-pack/beredskap/beredskap-island-melmolle-2025.md
MEDIUM,missing_candidate,manual_review,Ivar Gaasland,ivar-gaasland,2,2,16,priser har «begrenset effekt» og kan gi hoyre priser (ref. Oslo Economics) - Jordbrukspolitikken koster husholdningene ca. 45 000 kr arlig (ref. BI-professor Ivar Gaasland) - Tollmurer trekker ogsa prisene pa andre varer,research/bibliotek/tenketanker-ngo.md; research/interviews/nordisk-aktorkart-perplexity-2026.md
MEDIUM,missing_candidate,manual_review,Quality Controller Key Account Manager,quality-manager,2,2,16,"her commercial activities, according to statements provided to the national broadcaster RÚV. ## **Years of delays and denied permits** Rannveig Hrólfsdóttir, Quality Manager at Kornax, [told RÚV](https://www.ruv.is/frett",research/evidence-pack/beredskap/beredskap-island-melmolle-2025.md; research/evidence-pack/sirkular-konkurser/plantagon/media-hortidaily.md
MEDIUM,missing_candidate,manual_review,Om Helsedirektoratet Om,om-forbrukerradet-om,2,2,16,"liv i en forbrukervennlig retning gjennom dialog, påvirkningsarbeid og utredninger. Digitale rettigheter Bærekraft Mat Forbrukerrettigheter Strøm Bolig Økonomi Om Forbrukerrådet Om oss Kontakt oss Jobb hos oss Personvern",research/evidence-pack/bransje/forbrukerradet-matsikkerhet-2026.md; research/evidence-pack/offentlig/helsedirektoratet-skolemaltid-2024.md
MEDIUM,missing_candidate,manual_review,Opinion European,opinion-european,2,2,16,"time in the sense that customers are ready to buy, all the legislation is here, basically the market is open,” says Hyvönen. Advertisement Editor&#x27;s picks Opinion European founders are obsessed with Silicon Valley. H",research/evidence-pack/sirkular-konkurser/enorm-biofactory/analysis-sifted-ynsect.md; research/evidence-pack/sirkular-konkurser/infarm-dk/media-sifted.md
MEDIUM,missing_candidate,manual_review,Podcast OpenAI,podcast-openai,2,2,16,", basically the market is open,” says Hyvönen. Advertisement Editor&#x27;s picks Opinion European founders are obsessed with Silicon Valley. Here’s why I’m not Podcast OpenAI&#x27;s Laura Modiano on hackathons, Lovable a",research/evidence-pack/sirkular-konkurser/enorm-biofactory/analysis-sifted-ynsect.md; research/evidence-pack/sirkular-konkurser/infarm-dk/media-sifted.md
MEDIUM,missing_candidate,manual_review,Laura Modiano,laura-modiano,2,2,16,"is open,” says Hyvönen. Advertisement Editor&#x27;s picks Opinion European founders are obsessed with Silicon Valley. Here’s why I’m not Podcast OpenAI&#x27;s Laura Modiano on hackathons, Lovable and how startups can par",research/evidence-pack/sirkular-konkurser/enorm-biofactory/analysis-sifted-ynsect.md; research/evidence-pack/sirkular-konkurser/infarm-dk/media-sifted.md
MEDIUM,missing_candidate,manual_review,News EIF,news-eif,2,2,16,"re obsessed with Silicon Valley. Here’s why I’m not Podcast OpenAI&#x27;s Laura Modiano on hackathons, Lovable and how startups can partner with the tech giant News EIF launches €15bn fund of funds to back 100 growth-sta",research/evidence-pack/sirkular-konkurser/enorm-biofactory/analysis-sifted-ynsect.md; research/evidence-pack/sirkular-konkurser/infarm-dk/media-sifted.md
MEDIUM,missing_candidate,manual_review,Ebba Fröling,ebba-froling,2,2,16,"attributed to its failed attempts to raise Series B funding with SEB and Pareto Securities in 2022-2023. In July, it filed for bankruptcy. COO and co-founder Ebba Fröling highlighted: ""T he past few years have been extre",research/evidence-pack/sirkular-konkurser/mycorena/media-tech-eu-2024.md; research/evidence-pack/sirkular-konkurser/mycorena/media-vegconomist-2024.md
MEDIUM,missing_candidate,manual_review,Representantordninger Interparlamentariske,representantordninger-interparlamentariske,2,2,16,g komiteer Representanter og komiteer Stortingets presidentskap Representantene Dagens møtende Innvalgte fra 1945 - Biografier Salplassering Om representantene Representantordninger Interparlamentariske delegasjoner Dele,research/evidence-pack/stortinget/innst-130s-2025-2026.md; research/evidence-pack/stortinget/innst-173s-2023-2024.md
MEDIUM,missing_candidate,manual_review,Saksgangen Valg,saksgangen-valg,2,2,16,ikumsgalleriet Lukk Om Stortinget Om Stortinget Storting og regjering Kort om Stortinget Regjeringsdanning Folkestyret Fordeling av makt Parlamentarismen i dag Saksgangen Valg og konstituering Stortingsvalg Konstituering,research/evidence-pack/stortinget/innst-130s-2025-2026.md; research/evidence-pack/stortinget/innst-173s-2023-2024.md
