node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
eikra-okologiske-gard,EIKRA ØKOLOGISKE GARD FOSSBAKKEN,gaard,okologi-sertifisering,okologisk-produsent,NO,"Brreg-registrert aktor i okologi-sertifisering med 01.190 (Dyrking av ettårige vekster ellers). Utleige av jord, grasproduksjon.",,2026,925280771,https://data.brreg.no/enhetsregisteret/api/enheter/925280771,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 01.190; navn/NACE indikerer okologisk produsent; Debio-sertifikat maa kontrolleres foer hard claim-lock.
hotvedt-persephone-okologiske-gronnsaker,HOTVEDT PERSEPHONE ØKOLOGISKE GRØNNSAKER,gaard,okologi-sertifisering,okologisk-produsent,NO,"Brreg-registrert aktor i okologi-sertifisering med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Produksjon og salg av økologiske grønnsaker.",,2026,929442792,https://data.brreg.no/enhetsregisteret/api/enheter/929442792,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 01.130; navn/NACE indikerer okologisk produsent; Debio-sertifikat maa kontrolleres foer hard claim-lock.
kviljo-okologiske-gard-senum,KVILJO ØKOLOGISKE GÅRD SENUM,gaard,okologi-sertifisering,okologisk-produsent,NO,"Brreg-registrert aktor i okologi-sertifisering med 01.110 (Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster). Dyrking av korn (unntatt ris), belgvekster, oljeholdige vekster, pil, bær og grønnsaker, samt gårdsbutikk og kursvirksomhet.",,2026,988433020,https://data.brreg.no/enhetsregisteret/api/enheter/988433020,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 01.110; navn/NACE indikerer okologisk produsent; Debio-sertifikat maa kontrolleres foer hard claim-lock.
stiftelsen-ullandhaug-okologiske-gard,STIFTELSEN ULLANDHAUG ØKOLOGISKE GÅRD,gaard,okologi-sertifisering,okologisk-produsent,NO,"Brreg-registrert aktor i okologi-sertifisering med 01.190 (Dyrking av ettårige vekster ellers). Butikkhandel med dagligvarer, videreforedling av jord- og hagebruksprodukter, jord- og hagebruk.",,2026,980049515,https://data.brreg.no/enhetsregisteret/api/enheter/980049515,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 01.190; navn/NACE indikerer okologisk produsent/demonstrasjonsgaard; Debio-sertifikat maa kontrolleres foer hard claim-lock.
holte-oko-egg-as,HOLTE ØKO EGG AS,gaard,okologi-sertifisering,okologisk-produsent,NO,"Brreg-registrert aktor i okologi-sertifisering med 01.479 (Annet fjørfehold). Produksjon av økologisk egg for salg i butikk, og alt som står i naturlig forbindelse med dette.",,2026,927168014,https://data.brreg.no/enhetsregisteret/api/enheter/927168014,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 01.479; navn/NACE indikerer okologisk eggprodusent; Debio-sertifikat maa kontrolleres foer hard claim-lock.
vestfold-oko-egg-as,VESTFOLD ØKO EGG AS,gaard,okologi-sertifisering,okologisk-produsent,NO,"Brreg-registrert aktor i okologi-sertifisering med 01.471 (Hold av verpehøner for konsumeggproduksjon). Hold av verpehøner for konsumeggproduksjon, økologisk.",,2026,934176952,https://data.brreg.no/enhetsregisteret/api/enheter/934176952,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 01.471; navn/NACE indikerer okologisk eggprodusent; Debio-sertifikat maa kontrolleres foer hard claim-lock.
oko-hvitlok-i-vestfold-ahmadi,ØKO HVITLØK I VESTFOLD AHMADI,gaard,okologi-sertifisering,okologisk-produsent,NO,"Brreg-registrert aktor i okologi-sertifisering med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Dyrking av grønnsaker og poteter.",,2026,837723922,https://data.brreg.no/enhetsregisteret/api/enheter/837723922,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 01.130; navn/NACE indikerer okologisk produsent; Debio-sertifikat maa kontrolleres foer hard claim-lock.
okohonning-as,ØKOHONNING AS,gaard,okologi-sertifisering,okologisk-produsent,NO,"Brreg-registrert aktor i okologi-sertifisering med 01.489 (Husdyrhold ikke nevnt annet sted). Produksjon av honning, bisamfunn, og andre landbruksprodukter. Engrosalg, gårdsutsalg og salg til sluttkunder vi netthandel.",,2026,912363597,https://data.brreg.no/enhetsregisteret/api/enheter/912363597,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 01.489; navn/NACE indikerer okologisk honningprodusent; Debio-sertifikat maa kontrolleres foer hard claim-lock.
solbakken-okogard,SOLBAKKEN ØKOGARD,gaard,okologi-sertifisering,okologisk-produsent,NO,"Brreg-registrert aktor i okologi-sertifisering med 01.410 (Melkeproduksjon på storfe og oppdrett av melkekyr). Jordbruksvirksomhet med mjølke og kjøttproduksjon på storfe, og kjøttproduksjon på sau.",,2026,820052242,https://data.brreg.no/enhetsregisteret/api/enheter/820052242,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 01.410; navn/NACE indikerer okologisk gaard; Debio-sertifikat maa kontrolleres foer hard claim-lock.
skjonhaugbruket-biodynamisk-drift-ans,SKJØNHAUGBRUKET - BIODYNAMISK DRIFT ANS,gaard,okologi-sertifisering,okologisk-produsent,NO,"Brreg-registrert aktor i okologi-sertifisering med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Småskala jordbruksproduksjon, i første omgang grønnsaksproduksjon. Intensjonen er på sikt å også starte med småskala dyrehold for melkeproduksjon til eget gårdsysteri. Avsetning gjennom direktesalg til kunder via abonnementsordninger og Rekoring.",,2026,826078022,https://data.brreg.no/enhetsregisteret/api/enheter/826078022,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 01.130; navn/NACE indikerer biodynamisk/okologisk produsent; Demeter/Debio-status maa kontrolleres foer hard claim-lock.
