decision,name,key,status,suggested_bucket,suggested_import_target,reason,mentions,sources,score,context_score,evidence,source_examples,notes
,Alexandra Leeper,alexandra-leeper,actor_contact_only,REVIEW_ECOSYSTEM_PERSON_PROFILE,ActorContact_or_PersonProfile,Finnes som ActorContact og har leder-/ekspertkontekst som kan være relevant for personkatalogen.,3,1,28,2,CEO - Iceland Ocean Cluster,Iceland Ocean Cluster,
,Anja Loekken Stokke,anja-loekken-stokke,actor_contact_only,REVIEW_ECOSYSTEM_PERSON_PROFILE,ActorContact_or_PersonProfile,Finnes som ActorContact og har leder-/ekspertkontekst som kan være relevant for personkatalogen.,3,1,28,2,Leder digitalisering - NCE Heidner Biocluster,NCE Heidner Biocluster,
,Gurill Narum Mediaa,gurill-narum-mediaa,actor_contact_only,REVIEW_ECOSYSTEM_PERSON_PROFILE,ActorContact_or_PersonProfile,Finnes som ActorContact og har leder-/ekspertkontekst som kan være relevant for personkatalogen.,3,1,28,2,Leder - NCE Heidner Biocluster,NCE Heidner Biocluster,
,Karin Beukel,karin-beukel,actor_contact_only,REVIEW_ECOSYSTEM_PERSON_PROFILE,ActorContact_or_PersonProfile,Finnes som ActorContact og har leder-/ekspertkontekst som kan være relevant for personkatalogen.,3,1,28,2,Co-Founder - Agrain,Agrain,
,Kristian S. Ottesen,kristian-s-ottesen,actor_contact_only,REVIEW_ECOSYSTEM_PERSON_PROFILE,ActorContact_or_PersonProfile,Finnes som ActorContact og har leder-/ekspertkontekst som kan være relevant for personkatalogen.,3,1,28,2,Director Process Optimization & Resource Utilization - Royal Greenland,Royal Greenland,
,Linn Indrestrand,linn-indrestrand,actor_contact_only,REVIEW_ECOSYSTEM_PERSON_PROFILE,ActorContact_or_PersonProfile,Finnes som ActorContact og har leder-/ekspertkontekst som kan være relevant for personkatalogen.,3,1,28,2,Head of Fishery & Maritime Services - Danish Ocean Cluster,Danish Ocean Cluster,
,Mattias Lindahl,mattias-lindahl,actor_contact_only,REVIEW_ECOSYSTEM_PERSON_PROFILE,ActorContact_or_PersonProfile,Finnes som ActorContact og har leder-/ekspertkontekst som kan være relevant for personkatalogen.,3,1,28,2,Professor - Linkoeping University,Linkoeping University,
,Michaela Lindstrom,michaela-lindstrom,actor_contact_only,REVIEW_ECOSYSTEM_PERSON_PROFILE,ActorContact_or_PersonProfile,Finnes som ActorContact og har leder-/ekspertkontekst som kan være relevant for personkatalogen.,3,1,28,2,CEO & Co-founder - Hailia Nordic,Hailia Nordic,
,Monika Poulsen,monika-poulsen,actor_contact_only,REVIEW_ECOSYSTEM_PERSON_PROFILE,ActorContact_or_PersonProfile,Finnes som ActorContact og har leder-/ekspertkontekst som kan være relevant for personkatalogen.,3,1,28,2,Cluster Manager - Arctic Cluster Team,Arctic Cluster Team,
,Selina Juul,selina-juul,actor_contact_only,REVIEW_ECOSYSTEM_PERSON_PROFILE,ActorContact_or_PersonProfile,Finnes som ActorContact og har leder-/ekspertkontekst som kan være relevant for personkatalogen.,3,1,28,2,Grunnlegger og leder - Stop Spild Af Mad,Stop Spild Af Mad,
,Ramkumar Nair,ramkumar-nair,missing_candidate,REVIEW_ECOSYSTEM_PERSON_PROFILE,PersonProfile,Leder-/gründer-/styringskontekst i matsystemrelatert virksomhet; må valideres mot kilde.,4,3,27,7,", ikke insekt, men caset er relevant som parallell i «alternative proteins».[^16][^17] ### Gründere og profil - Mycorena ble grunnlagt i Sverige, med bl.a. **Ramkumar Nair** som sentral grunnlegger og CEO, og posisjonerte seg som produsent av mykoprotein og fett for matindustrien.[^16] - Selskapet bygde opp en demofabrikk i Göteb",research/bibliotek/forskningsrunde-2026-04-20-r2/p18-insektindustri-norden-2026-04-20.md; research/evidence-pack/sirkular-konkurser/mycorena/analysis-mycostories.md; research/evidence-pack/sirkular-konkurser/mycorena/media-vegconomist-2024.md,
,Mona Mortensen Krane,mona-mortensen-krane,missing_candidate,EXCLUDE_SOURCE_FOOTER_NOISE,Exclude,"Treffet ser ut som redaksjonell footer/kildeeier, ikke en matsystem- eller selskapsrolle.",4,2,26,8,026) Innst. 9 S (2025-2026) Innst. 10 S (2025-2026) Se alle Stortinget Postboks 1700 Sentrum 0026 Oslo Sentralbord: 23 31 30 50 Ansvarlig redakt&oslash;r:&nbsp;Mona Mortensen Krane Nettredakt&oslash;r: Lars Henie Barstad Om stortinget Stortinget Postboks 1700 Sentrum 0026 Oslo Sentralbord: 23 31 30 50 Kontakt oss Ansvarlig redakt&oslash;r:&nbsp;Mona,research/evidence-pack/stortinget/innst-130s-2025-2026.md; research/evidence-pack/stortinget/innst-173s-2023-2024.md,
,Tom Johansson,tom-johansson,missing_candidate,REVIEW_ECOSYSTEM_PERSON_PROFILE,PersonProfile,Leder-/gründer-/styringskontekst i matsystemrelatert virksomhet; må valideres mot kilde.,4,2,26,8,", developed multiple product lines, and secured listings with major retailers in Sweden and Germany, but ultimately failed to achieve financial sustainability. Tom Johansson, Founder &amp; CEO, confirmed the outcome in public statements and a LinkedIn post published the same day, describing the decision as difficult but inevitable",research/evidence-pack/sirkular-konkurser/hooked-foods/media-ppti.md; research/evidence-pack/sirkular-konkurser/hooked-foods/media-vegconomist.md,
,Peppi Segersven,peppi-segersven,missing_candidate,REVIEW_ACADEMIC_PROFILE,PersonProfile,Akademisk eller forskningsbasert ekspertkontekst; kandidat for profil hvis kunnskapsaktører er innenfor scope.,4,4,24,4,"ingskjede, Beredskap og Logistikk (Finland & Sverige) / Forfatter(e) / År / Institusjon / Tittel / Relevans & Lenke / / :--- / :--- / :--- / :--- / :--- / / **Peppi Segersven** / 2024 / LUT (FI) / *Development of risk management and resilience of supply chains in Finnish food industry post-COVID-19* / Kartlegger skiftet til langsikt",research/bibliotek/MASTER-PHD-BACKLOG-2026.md; research/intake/food-research-process-2026-04-20/promotion-preview-thesis.csv; research/intake/food-research-process-2026-04-20/promotion-preview-thesis.json; research/intake/food-research-process-2026-04-20/thesis-review.csv,
,Jarna Hyvönen,jarna-hyvonen,missing_candidate,REVIEW_ECOSYSTEM_PERSON_PROFILE,PersonProfile,Leder-/gründer-/styringskontekst i matsystemrelatert virksomhet; må valideres mot kilde.,3,3,24,6,"n – medgründer og CTO (Chief Technology Officer); ansvarlig for teknologi og prosess, omtaler selv løsningen som «upcycling i sin reneste form».[^10][^7] - Jarna Hyvönen – medgründer og nåværende CEO (tidligere COO); presenteres som Chief Executive Officer og «co‑founder» som leder global skalering, fundraising og partnerskap.[",research/bibliotek/forskningsrunde-2026-04-20-r2/p17-volare-selskapsdossier-2026-04-20.md; research/evidence-pack/sirkular-konkurser/enorm-biofactory/analysis-sifted-ynsect.md; research/exa-circular-actors-2026-04-21.md,
,Kari Juntunen,kari-juntunen,missing_candidate,REVIEW_ACADEMIC_PROFILE,PersonProfile,Akademisk eller forskningsbasert ekspertkontekst; kandidat for profil hvis kunnskapsaktører er innenfor scope.,3,3,24,6,"rsonfokusert informasjon, men noen navn går igjen i forbindelse med Roals enzymvirksomhet: - En bransjeartikkel om Roals FoU i mat- og fôr-enzymer viser til **Dr. Kari Juntunen**, Senior Research Scientist, som beskriver at hovedmarkedene er fôr (xylanase, fytase) og mat (amylase, protease, pektinase).[^1] - Historikken viser at Roal",research/bibliotek/forskningsrunde-2026-04-20/roal-oy-enzymer-finland-2026-04-20.md; research/intake/perplexity-2026-04-20/new-actors.json; research/perplexity-20-04-26/rolaere-finland-sirkulaer-for.md,
,Simen Aardal Ulsaker,simen-aardal-ulsaker,missing_candidate,REVIEW_ACADEMIC_PROFILE,PersonProfile,Akademisk eller forskningsbasert ekspertkontekst; kandidat for profil hvis kunnskapsaktører er innenfor scope.,3,3,24,6,"kademikere * **Annechen Bahr Bugge (SIFO/OsloMet):** Ledende forsker på nordmenns spisevaner og hvordan prisstigning (""dyrtid"") endrer forbrukeratferd. * **Simen Aardal Ulsaker (NHH):** Konkurranseøkonom som spesialiserer seg på vertikale relasjoner og kjøpermakt i dagligvaremarkedet. * **Birger Svihus (NMBU):** Professor i ernæring","research/bibliotek/nordisk-mat-tenkere.md; research/interviews/nordisk-aktorkart-perplexity-2026.md; research/perpl-17-03/Nordiske avhandlinger og masteroppgaver om matsystemer, dagligvare og matpolitikk (2010–2026).md",
,Martin Saetra,martin-saetra,actor_contact_only,KEEP_ACTOR_CONTACT,ActorContact,Finnes allerede som kontakt/intern rolle; promoter bare hvis personen skal være ekstern profil.,3,1,24,0,Intern (NMBU Biooekonomi),ActorContact,
,Thea Simone Ingvaldsen,thea-simone-ingvaldsen,actor_contact_only,KEEP_ACTOR_CONTACT,ActorContact,Finnes allerede som kontakt/intern rolle; promoter bare hvis personen skal være ekstern profil.,3,1,24,0,Intern (NMBU Biooekonomi),ActorContact,
,Annikka Hurme,annikka-hurme,missing_candidate,REVIEW_ECOSYSTEM_PERSON_PROFILE,PersonProfile,Leder-/gründer-/styringskontekst i matsystemrelatert virksomhet; må valideres mot kilde.,3,2,21,6,"rofessor) / FI / Finlands matforskningsstrategi 2021-2035 / / Minna Kaljonen / SYKE (research professor) / FI / Just Food, FoodTriggers, Food Strategy 2040 / / Annikka Hurme / Valio (CEO) / FI / Food 2.0-styringsgruppe; industriell frontfigur / ### Globale stemmer / Person / Tilknytning / Land / Relevans / /--------/-------------",research/interviews/nordisk-aktorkart-perplexity-2026.md; research/perpl-17-03/Nordisk aktørkart for matsystemkartlegging 2026.md,
,Helena Hansson,helena-hansson,missing_candidate,REVIEW_ACADEMIC_PROFILE,PersonProfile,Akademisk eller forskningsbasert ekspertkontekst; kandidat for profil hvis kunnskapsaktører er innenfor scope.,3,2,21,6,", Earth system science / Teoretisk rammeverk for barekraftig mat / / Mistra Food Futures / SE / Forskningsprogram / Barekraft og beredskap i svensk matsystem / Helena Hansson (SLU) leder / / AgriFood Economics Centre / SE / Okonomiforskning / Matpriser, jordbrukspolitikk (SLU + Lund) / Komparativ nordisk okonomi / / RISE / SE / Anve",research/interviews/nordisk-aktorkart-perplexity-2026.md; research/perpl-17-03/Nordisk aktørkart for matsystemkartlegging 2026.md,
,Nesli Sozer,nesli-sozer,missing_candidate,REVIEW_ACADEMIC_PROFILE,PersonProfile,Akademisk eller forskningsbasert ekspertkontekst; kandidat for profil hvis kunnskapsaktører er innenfor scope.,3,2,21,6,"rser / Jordbruk, matressurser, Food Vision 2040 / Finsk landbruks- og matressursforskning / / VTT / FI / Teknologiforskning / Matforskningsstrategi 2021-2035 / Nesli Sozer leder; nye proteinkilder / / SYKE / FI / Miljoeforskning / Just Food, FoodTriggers / Minna Kaljonen; transformativ governance / / EAT Foundation / NO / Stiftel",research/interviews/nordisk-aktorkart-perplexity-2026.md; research/perpl-17-03/Nordisk aktørkart for matsystemkartlegging 2026.md,
,Erling Hjelmeng,erling-hjelmeng,missing_candidate,REVIEW_ACADEMIC_PROFILE,PersonProfile,Akademisk eller forskningsbasert ekspertkontekst; kandidat for profil hvis kunnskapsaktører er innenfor scope.,3,2,19,5,"den — Utredning fra Dagligvarelovutvalget - **Forfatter/utgiver:** Dagligvarelovutvalget, oppnevnt ved kongelig resolusjon 26. oktober 2012. Ledet av professor Erling Hjelmeng (UiO). Avgitt til Landbruks- og matdepartementet, Barne-, likestillings- og inkluderingsdepartementet, og Fornyings-, administrasjons- og kirkedepartementet 30",research/RESEARCH-AUDIT.md; research/bibliotek/nou-stortingsdok-juridisk.md,
