id,theme,priority,question,geo,source_target,expected_output,primary_source_hint,known_caveat,gate,next_artifact,status
R13-WASTE-007,food-waste,P1,"Kartlegg industrielle næringssidestrømmer (bryggeri, meieri, slakteri): volum, dagens bruk og R-stige-nivå",NO,"industry and research sources","side-stream ledger","Nofima, bransjeaktører, Animalia","volum per fraksjon er ofte B; skill bruk og potensial","source-shortlist","research/external/r13/","planned"
R13-WASTE-008,food-waste,P2,"Lukk R12-WASTE-005: prevention-tiltak mot matsvinn — krev baseline og målemetode per tiltak før effektpåstand",Nordic,"policy and intervention studies","prevention effect catalogue","Matvett, EU, Nordic councils","prevention-effekt krever målt baseline","source-shortlist","research/external/r13/","planned"
R13-PROT-001,protein-alt,P1,"Lag aktørledger for insektprotein i Norge/Norden: realisert volum vs kapasitet vs pilot, godkjenningsstatus",Nordic,"company and regulatory docs","actor ledger","Invertapro, Pure Salmon Kaldnes, Mattilsynet/EFSA","kapasitet er ikke realisert; novel/fôr-godkjenning skiller seg","source-shortlist","research/external/r13/","planned"
R13-PROT-002,protein-alt,P1,"Kartlegg single-cell/fermenterings-/gjærprotein-aktører i Norden: kapasitet, realisert og regulatorisk status",Nordic,"company and project docs","technology readiness table","selskapsmeldinger, Nofima, fundingdatabaser","plan og pilot er ikke realisert produksjon","source-shortlist","research/external/r13/","planned"
R13-PROT-003,protein-alt,P1,"Lukk R12-FEED-005: musling, tang og tare som protein/fôr — realisert volum vs FoU vs hypotese",Nordic,"research and project docs","technology readiness table","FHF, Nofima, Nordic project databases","ikke volumclaim uten primærkilde","source-shortlist","research/external/r13/","planned"
R13-PROT-004,protein-alt,P1,"Kartlegg plantebasert humanprotein i Norge: produsenter, volum, markedsandel og råvareimport",NO,"market and company sources","plant protein profile","produsentdata, NielsenIQ/bransje, SSB import","markedsandel er ofte B; råvareimport kan være C","source-shortlist","research/external/r13/","planned"
R13-PROT-005,protein-alt,P2,"Kartlegg presisjonsfermentering og dyrket kjøtt i Norden: status, regulatorisk (Novel Food), realisert = null/pilot",Nordic,"regulatory and company docs","status memo","EFSA Novel Food, selskapsmeldinger, Nordic Innovation","realisert kommersielt volum er trolig null; ikke fremskriv","forstaelse","research/forstaelse/","planned"
R13-PROT-006,protein-alt,P1,"Kartlegg hva som faktisk erstatter soya/SPC i norsk fôr og bærekraftssertifisering av importert protein",NO,"feed industry and trade","feed protein substitution memo","Felleskjøpet, Denofa, ProTerra/RTRS, Landbruksdirektoratet","sertifisert er ikke avskoging-fri; skill volum og andel","PCQ","research/external/r13/","planned"
R13-PROT-007,protein-alt,P1,"Beregn proteinselvforsyning for Norge: andel fôr- og matprotein innenlands vs import med metodeetikett",NO,"official statistics","protein self-sufficiency memo","NIBIO, Landbruksdirektoratet, SSB","rå vs fôrkorrigert metode må skilles","PCQ","research/external/r13/","planned"
R13-PROT-008,protein-alt,P2,"Kartlegg norsk dyrking av bønner, erter og åkerbønne: areal, volum, foredlingskjede og gap",NO,"agriculture statistics","grain legume profile","SSB, NIBIO, Norsk Landbruksrådgiving","areal/volum kan svinge; skill matkorn og fôr","source-shortlist","research/external/r13/","planned"
R13-INNO-001,innovation,P1,"Kartlegg CEA/vertikalt landbruk i Norge: aktører, realisert produksjon vs ambisjon og eierskap",NO,"company and procurement docs","CEA actor ledger","Avisomo, ONNA, Coop, selskapsregnskap","ambisjon er ikke realisert produksjon","source-shortlist","research/external/r13/","planned"
R13-INNO-002,innovation,P1,"Kartlegg agritech/foodtech-økosystem i Norge: startups, klynger og kapital",NO,"cluster and funding sources","ecosystem map","NCE Heidner Biocluster, Innovasjon Norge, klyngedata","kapitaltall kan være B; ikke påstå suksess av runde alene","source-shortlist","research/external/r13/","planned"
R13-INNO-003,innovation,P1,"Kartlegg finansiering og virkemidler relevant for matsystem-omstilling uten å endre analyseformålet",Nordic,"funding programmes","funding fit matrix","Innovasjon Norge, Forskningsrådet, EU Horizon, Nordic Innovation","ikke funding for fundingens skyld","internal","docs/project/mandates/","planned"
R13-INNO-004,innovation,P1,"Bygg failure/survival-ledger for sirkulære/altprotein/CEA-aktører (Plantagon, Infarm, Mycorena, Rest) med primærkilde",International,"registry and press","failure/survival ledger","konkursregistre, selskapsmeldinger, presse","konkurs er ikke bevis mot teknologi alene","source-shortlist","research/external/r13/","planned"
R13-INNO-005,innovation,P2,"Kartlegg konverteringsbarrierer: forskning og pilot som ikke skalerer, og mønstre på tvers",International,"case literature","conversion failure memo","akademiske reviews, case-litteratur","enkeltcase generaliserer ikke alene","source-shortlist","research/external/r13/","planned"
R13-INNO-006,innovation,P1,"Kartlegg FoU-aktører og forskningsmiljøer i norsk matsystem og deres pågående prosjekter",NO,"research institution sources","R&D actor map","NMBU, Nofima, NIBIO, SINTEF, Ruralis, Forskningsrådet","prosjekt er ikke implementert resultat","source-shortlist","research/external/r13/","planned"
R13-INNO-007,innovation,P2,"Kartlegg offentlig innovasjonsetterspørsel: innovative anskaffelser i mat og kommunale piloter",NO,"procurement sources","public innovation memo","LUP/Innovative anskaffelser, Doffin, kommuner","pilot er ikke skalert tiltak","source-shortlist","research/external/r13/","planned"
R13-OKO-001,ecology,P1,"Kartlegg økologisk areal og produksjon i Norge: areal, andel, utvikling og mål vs realisert",NO,"official agriculture statistics","organic area profile","Debio, Landbruksdirektoratet, SSB","skill sertifisert areal og under omlegging","PCQ","research/external/r13/","planned"
R13-OKO-002,ecology,P1,"Kartlegg agroøkologi/regenerativ metrikk i Norge: hva måles (jordhelse, karbon, biodiversitet), hvem måler, datagap",NO,"research and program sources","metric inventory","NIBIO, NMBU, Regenerativt Norge","selvrapportert metrikk merkes B; ikke målt = C","forstaelse","research/forstaelse/","planned"
R13-OKO-003,ecology,P1,"Kartlegg jordhelse og karbon i jord: måleprogrammer, baseline og dekning i Norge",NO,"research and monitoring","soil carbon memo","NIBIO jordovervåking, Carbon farming-prosjekter","modellert karbon er ikke målt karbon","PCQ","research/external/r13/","planned"
R13-OKO-004,ecology,P2,"Kartlegg biodiversitet i jordbrukslandskap: indikatorer, kilder og trend",NO,"monitoring sources","biodiversity indicator memo","NIBIO 3Q, Artsdatabanken, Miljødirektoratet","indikator er proxy; ikke kausal påstand","source-shortlist","research/external/r13/","planned"
R13-OKO-005,ecology,P1,"Kartlegg sertifiserings- og merkeordninger for mat: Debio, Nyt Norge, lokalmatmerker — omfang og troverdighet",NO,"certification bodies","certification map","Debio, Matmerk/Nyt Norge, Stiftelsen Norsk Mat","merke ≠ verifisert miljøeffekt; skill omfang og krav","source-shortlist","research/external/r13/","planned"
R13-OKO-006,ecology,P2,"Kartlegg beite-, utmark- og husdyr-økologi: arealbruk, karbon og metan i norsk kontekst",NO,"research sources","grazing ecology memo","NIBIO, NMBU, Miljødirektoratet","metan-/karbonregnskap er metodefølsomt","source-shortlist","research/external/r13/","planned"
R13-OKO-007,ecology,P1,"Kartlegg policy-mål for økologi og bærekraft: nasjonale mål, EU Farm-to-Fork-kobling og måloppnåelse",NO,"policy documents","policy target memo","LMD, Meld. St., EU Farm to Fork","skill forslag og vedtatt mål; måloppnåelse kan være B","PCQ","research/external/r13/","planned"
R13-LAND-001,landscape,P1,"Kartlegg makt- og eierkonsentrasjon på tvers av dagligvare, grossist, foredling og fôr som struktur",NO,"competition and registry","concentration structure map","KT, Brreg, NILF/NIBIO, årsrapporter","konsentrasjon er struktur, ikke intensjon","PCQ","research/external/r13/","planned"
R13-LAND-002,landscape,P1,"Kartlegg verdikjede-integrasjon og vertikal kontroll: hvem eier hva oppstrøms og nedstrøms",NO,"registry and annual reports","vertical integration map","Brreg, konsernregnskap, KT","eierandel-tolkning må kildedateres","PCQ","research/external/r13/","planned"
R13-LAND-003,landscape,P1,"Lag helsystem-kart/aktørtypologi som kobler aktørkart, waste, protein, innovasjon og økologi til ett landskap",NO,"R13 synthesis","system map underlag","R13 outputs, R12 intake-indeks","syntese er ikke faktastemme; behold gate per node","forstaelse","research/forstaelse/","planned"
R13-LAND-004,landscape,P1,"Bygg datagap-atlas: samle alle type-C-hull fra R4/R5/R6/R12/R13 til ett kart over hva som ikke måles og av hvem",Nordic,"prior round outputs","datagap atlas","DRO-indekser R4/R5/R6, R12 intake","type-C er funn; ikke skjul i pen figur","internal","docs/project/mandates/","planned"
R13-LAND-005,landscape,P2,"Kartlegg bevegelse- og nettverkskart: hvordan regenerativ/lokalmat/øko-bevegelsen henger sammen organisatorisk",NO,"org pages","movement network memo","Regenerativt Norge, Økologisk Norge, KVANN, andelslandbruk.no","organisatorisk kobling er ikke ideologisk enhet","source-shortlist","research/external/r13/","planned"
R13-LAND-006,landscape,P1,"Lag uttaks-/figurkandidat-oversikt for whitepaper: hvilke R13-funn kan bli figur, tabell eller casekort, med gate",Internal,"curated R13 evidence","figure candidate inventory","R13 outputs, claim-lock og PCQ-status","ingen figur uten gate/status og synlige tomme celler","internal","docs/project/mandates/","planned"
