gap_id,gap_theme,priority_tier,title,folder,source_path,evidence_role,quality_band,recommended_use,ingest_note
G-02,nutrient-loops,B,Response of food waste anaerobic digestion to the dimensions of micron-biochar under 30 g VS/L organic loading rate: Focus on gas production and microbial community structure,04_Food_Waste_And_Circularity,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Response of food waste anaerobic digestion to the dimensions of micron-biochar under 30 g VS_L organic loading rate_ Focus on gas production and microbial community structure - ScienceDirect.pdf,Digestion process-depth support,medium,use when technical detail is needed,import-from-review
G-02,nutrient-loops,C,NORSUS - OR 48.23 Biorest fra marine råstoffer og husdyrgjødsel (2024),04_Food_Waste_And_Circularity,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/NORSUS - OR 48.23 Biorest fra marine rastoffer og husdyrgjodsel (2024).pdf,Manual Norway-specific nutrient-loop candidate,unknown,use only after manual screening of metadata and quality,manual-folder-pickup
G-03,alternative-feed,A,The Nordic alternative protein research ecosystem - GFI Europe,05_Foodtech_Alt_Protein_And_Innovation,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/The Nordic alternative protein research ecosystem - GFI Europe.pdf,Nordic ecosystem map,strong,anchor research and commercialization landscape,import-from-review
G-03,alternative-feed,A,approval insect novel food - Food Safety - European Commission,05_Foodtech_Alt_Protein_And_Innovation,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/approval insect novel food - Food Safety - European Commission.pdf,Regulatory baseline,strong,use for what insect pathways are legally available,import-from-review
G-03,alternative-feed,A,BioMar | Powered by Partnership. Driven by Innovation.,05_Foodtech_Alt_Protein_And_Innovation,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/BioMar _ Powered by Partnership. Driven by Innovation_.pdf,Incumbent feed actor,medium,use to connect substitution claims to existing feed industry,import-from-review
G-03,alternative-feed,A,Hailia - Enabling the Blue Food Revolution,05_Foodtech_Alt_Protein_And_Innovation,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Hailia - Enabling the Blue Food Revolution.pdf,Marine side-stream feed case,medium,use as circular marine feed case,import-from-review
G-03,alternative-feed,B,Enorm - larvae for green development of the agricultural and food industry,05_Foodtech_Alt_Protein_And_Innovation,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Enorm - larvae for green development of the agricultural and food industry.pdf,Insect pathway case,medium,use as practical insect feed example,import-from-review
G-03,alternative-feed,B,Protix - Join the future of food today,05_Foodtech_Alt_Protein_And_Innovation,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Protix - Join the future of food today.pdf,Commercial comparator,low,use only as supporting commercialization context,import-from-review
G-03,alternative-feed,C,Danish insect ag firm ENORM declared bankrupt,05_Foodtech_Alt_Protein_And_Innovation,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Danish insect ag firm ENORM declared bankrupt.pdf,Commercialization barrier case,low,use only as secondary failure evidence,import-from-review
G-03,alternative-feed,C,French insect protein producer Ÿnsect enters judicial liquidation | PetfoodIndustry,05_Foodtech_Alt_Protein_And_Innovation,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/French insect protein producer Ÿnsect enters judicial liquidation _ PetfoodIndustry.pdf,Commercialization barrier case,low,use only as secondary failure evidence,import-from-review
G-04,fermentation-and-scale,A,Danish Action Plan for Plant-based Foods,05_Foodtech_Alt_Protein_And_Innovation,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/2023-Danish-Action-Plan-for-Plant-based-Foods.pdf,Policy-side transition anchor,strong,anchor policy support and public intervention discussion,import-from-review
G-04,fermentation-and-scale,A,The Nordic alternative protein research ecosystem - GFI Europe,05_Foodtech_Alt_Protein_And_Innovation,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/The Nordic alternative protein research ecosystem - GFI Europe.pdf,Ecosystem maturity baseline,strong,use to avoid over-reading isolated company outcomes,import-from-review
G-04,fermentation-and-scale,A,Enifer - Ingredients for a sustainable food chain,05_Foodtech_Alt_Protein_And_Innovation,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Enifer - Ingredients for a sustainable food chain.pdf,Industrial fermentation case,medium,use as live pathway example for mycoprotein and fermentation,import-from-review
G-04,fermentation-and-scale,B,Naplasol acquires Mycorena to boost the mycelium and alt-protein market - Tech.eu,05_Foodtech_Alt_Protein_And_Innovation,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Naplasol acquires Mycorena to boost the mycelium and alt-protein market - Tech.eu.pdf,Restructuring and consolidation case,low,use as support for industry consolidation pattern,import-from-review
G-04,fermentation-and-scale,B,Mycoprotein Producer Mycorena’s Bankruptcy: Setback or Fresh Start?,05_Foodtech_Alt_Protein_And_Innovation,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Mycoprotein Producer Mycorena’s Bankruptcy_ Setback or Fresh Start_.pdf,Barrier and restart case,low,use as support for scale-up barrier narrative,import-from-review
G-04,fermentation-and-scale,B,Mycorena Files for Bankruptcy, Seeks New Ownership to Continue Pioneering Mycoprotein Ingredients,05_Foodtech_Alt_Protein_And_Innovation,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Mycorena Files for Bankruptcy, Seeks New Ownership to Continue Pioneering Mycoprotein Ingredients - vegconomist - the vegan business magazine.pdf,Barrier case backup,low,use only as backup case evidence,import-from-review
G-04,fermentation-and-scale,B,"Lessons from vertical farming bankruptcies, layoffs, and closures in 2023",05_Foodtech_Alt_Protein_And_Innovation,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Lessons from vertical farming bankruptcies, layoffs, and closures in 2023.pdf,Adjacent capital-intensity warning,low,use as adjacent scale-up caution not direct proof,import-from-review
G-04,fermentation-and-scale,C,Infarm closes Copenhagen operations amid ongoing ‘strategy shift’,05_Foodtech_Alt_Protein_And_Innovation,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Infarm closes Copenhagen operations amid ongoing ‘strategy shift’.pdf,Nordic-adjacent operating failure example,low,use only for limited case color,import-from-review
G-04,fermentation-and-scale,C,Plantagon's Fall: Lessons for AgTech Innovators,05_Foodtech_Alt_Protein_And_Innovation,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Plantagon's Fall_ Lessons for AgTech Innovators.pdf,Agtech failure analogy,low,use only if broader foodtech caution section is needed,import-from-review
